name_algo,score
PPO-EDA,1367.72
BigLognormalDiscreteOnePlusOne,1301.3600000000004
PBIL,1290.48
DiscreteLengler2OnePlusOne,1288.8
DiscreteLengler3OnePlusOne,1284.9599999999998
NGOptSingle16,1282.22
NgLglr,1281.7800000000002
NGOptF2,1281.12
DiscreteLenglerOnePlusOne,1281.12
NGDSRW,1281.12
NGOpt,1281.12
NGOpt10,1281.12
NGOpt15,1281.12
NGOpt16,1281.12
NGOpt36,1281.12
NGOpt39,1281.12
NGOptF,1281.12
YoSmoothDiscreteLenglerOnePlusOne,1281.12
VastLengler,1281.12
UltraSmoothDiscreteLenglerOnePlusOne,1281.12
NGOptRW,1281.12
Wiz,1281.12
NgIoh,1281.12
NgIoh2,1281.12
NgIoh3,1281.12
NgIoh5,1281.12
SmoothDiscreteLenglerOnePlusOne,1281.12
SmootherDiscreteLenglerOnePlusOne,1281.12
SuperSmoothDiscreteLenglerOnePlusOne,1281.12
NGOptF5,1281.12
NGOptF3,1281.12
NGOptSingle9,1279.5400000000002
Carola10,1276.6399999999999
FCarola6,1275.1399999999999
SVMMetaModelLogNormal,1274.56
MetaModelLogNormal,1274.56
NeuralMetaModelLogNormal,1274.56
SmoothLognormalDiscreteOnePlusOne,1274.56
SmoothDiscreteLognormalOnePlusOne,1274.56
LognormalDiscreteOnePlusOne,1274.56
RFMetaModelLogNormal,1274.56
NLOPT_LN_PRAXIS,1274.3400000000001
RF1MetaModelLogNormal,1274.24
SVM1MetaModelLogNormal,1273.88
CmaFmin2,1273.56
NgRS,1271.4200000000003
Neural1MetaModelLogNormal,1270.3600000000001
Carola8,1270.34
MetaModelFmin2,1269.5400000000002
DiscreteLenglerHalfOnePlusOne,1267.3
discretememetic,1264.2999999999997
NgLn,1263.24
Carola9,1262.98
CMApara,1257.08
ManyLN,1254.6399999999999
Carola13,1251.8000000000002
NGOptSingle25,1247.6799999999998
RecombiningDiscreteLenglerOnePlusOne,1235.2200000000003
UltraSmoothRecombiningDiscreteLenglerOnePlusOne,1235.2200000000003
SuperSmoothRecombiningDiscreteLenglerOnePlusOne,1235.2200000000003
SmoothRecombiningDiscreteLenglerOnePlusOne,1235.2200000000003
SmallLognormalDiscreteOnePlusOne,1234.76
SmoothElitistRandRecombiningDiscreteLenglerOnePlusOne,1234.36
SuperSmoothElitistRecombiningDiscreteLenglerOnePlusOne,1233.2400000000002
SmoothElitistRecombiningDiscreteLenglerOnePlusOne,1233.2400000000002
