name_algo,score
HugeLognormalDiscreteOnePlusOne,2717.2
DiscreteLengler3OnePlusOne,2708.64
PPBIL,2705.02
BigLognormalDiscreteOnePlusOne,2688.66
DiscreteLengler2OnePlusOne,2671.4
DiscreteDE,2670.54
PBIL,2656.26
discretememetic,2645.44
DiscreteLenglerOnePlusOne,2639.7
SmoothDiscreteLenglerOnePlusOne,2639.7
SmootherDiscreteLenglerOnePlusOne,2639.7
SuperSmoothDiscreteLenglerOnePlusOne,2639.7
UltraSmoothDiscreteLenglerOnePlusOne,2639.7
YoSmoothDiscreteLenglerOnePlusOne,2639.7
LognormalDiscreteOnePlusOne,2638.08
SmoothDiscreteLognormalOnePlusOne,2638.08
SmoothLognormalDiscreteOnePlusOne,2638.08
SmoothElitistRandRecombiningDiscreteLenglerOnePlusOne,2632.72
RecombiningDiscreteLenglerOnePlusOne,2629.08
SmoothRecombiningDiscreteLenglerOnePlusOne,2629.08
SuperSmoothRecombiningDiscreteLenglerOnePlusOne,2629.08
UltraSmoothRecombiningDiscreteLenglerOnePlusOne,2629.08
MinRecombiningDiscreteLenglerOnePlusOne,2628.32
RandRecombiningDiscreteLenglerOnePlusOne,2621.6
DiscreteLenglerHalfOnePlusOne,2619.84
SmoothElitistRecombiningDiscreteLenglerOnePlusOne,2614.42
SuperSmoothElitistRecombiningDiscreteLenglerOnePlusOne,2614.42
UltraSmoothElitistRecombiningDiscreteLenglerOnePlusOne,2614.42
FastGADiscreteOnePlusOne,2611.7
OnePtRecombiningDiscreteLenglerOnePlusOne,2609.56
TwoPtRecombiningDiscreteLenglerOnePlusOne,2606.72
DiscreteDoerrOnePlusOne,2603.26
MaxRecombiningDiscreteLenglerOnePlusOne,2603.26
DiscreteLenglerFourthOnePlusOne,2598.44
AdaptiveDiscreteOnePlusOne,2591.34
SmoothAdaptiveDiscreteOnePlusOne,2591.34
DoubleFastGADiscreteOnePlusOne,2587.22
SuperSmoothTinyLognormalDiscreteOnePlusOne,2585.56
TinyLognormalDiscreteOnePlusOne,2585.56
DiscreteOnePlusOne,2583.96
SmoothDiscreteOnePlusOne,2583.96
SmallLognormalDiscreteOnePlusOne,2582.88
MultiDiscrete,2576.52
SparseDiscreteOnePlusOne,2569.8
SparseDoubleFastGADiscreteOnePlusOne,2559.58
RecombiningDiscreteLognormalOnePlusOne,2554.26
SuperSmoothRecombiningDiscreteLognormalOnePlusOne,2554.26
UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne,2534.84
SmoothElitistRandRecombiningDiscreteLognormalOnePlusOne,2525.48
RandRecombiningDiscreteLognormalOnePlusOne,2514.34
RecombiningPortfolioDiscreteOnePlusOne,2473.46
SmoothRecombiningPortfolioDiscreteOnePlusOne,2473.46
XLognormalDiscreteOnePlusOne,2405.72
BOA,2399.22
DiscreteBSOOnePlusOne,2370.82
MIMIC,2245.76
XSmallLognormalDiscreteOnePlusOne,2187.6
PortfolioDiscreteOnePlusOne,2119.04
SmoothPortfolioDiscreteOnePlusOne,2119.04
PEDA,1957.02
DiscreteNoisyInfSplits,1681.86
DiscreteNoisy13Splits,1195.12
FastGAOptimisticNoisyDiscreteOnePlusOne,1136.8
FastGANoisyDiscreteOnePlusOne,1129.12
DoubleFastGAOptimisticNoisyDiscreteOnePlusOne,1127.62
OptimisticDiscreteOnePlusOne,1059.32
PortfolioDiscreteOnePlusOneT,963.1
SADiscreteOnePlusOneExp09,907.94
SADiscreteOnePlusOneExp099,907.94
SADiscreteOnePlusOneLin100,907.94
SADiscreteLenglerOnePlusOneExp09,896.76
SADiscreteLenglerOnePlusOneExp099,896.76
SADiscreteLenglerOnePlusOneExp09Auto,896.76
SADiscreteLenglerOnePlusOneLin1,896.76
SADiscreteLenglerOnePlusOneLin100,896.76
SADiscreteLenglerOnePlusOneLinAuto,896.76
PortfolioNoisyDiscreteOnePlusOne,851.98
RecombiningPortfolioOptimisticNoisyDiscreteOnePlusOne,846.36
RecombiningOptimisticNoisyDiscreteOnePlusOne,841.08
PortfolioOptimisticNoisyDiscreteOnePlusOne,801.98
OLNDiscreteOnePlusOne,801.74
DiscreteLenglerOnePlusOneT,579.1
NoisyDiscreteOnePlusOne,523.94
DiscreteOnePlusOneT,432.52
AnisotropicAdaptiveDiscreteOnePlusOne,60.2
