problem,N,K,M,mean,median,q1,q3,p2,p98
NK,256,2,1,0.725489,0.725878,0.719363,0.732030,0.707942,0.740817
NK,128,1,1,0.704370,0.705378,0.699361,0.715083,0.659701,0.731448
NK,256,1,1,0.701114,0.702894,0.690088,0.711965,0.682016,0.718005
NK,256,8,1,0.714288,0.713510,0.709128,0.719746,0.699121,0.734771
NK,128,8,1,0.715817,0.714277,0.706479,0.723981,0.692410,0.737213
NK,128,2,1,0.724461,0.723788,0.715790,0.733426,0.705374,0.745846
NK,128,4,1,0.737989,0.739041,0.731070,0.743930,0.708110,0.763323
NK,64,4,1,0.736123,0.737167,0.724092,0.748057,0.695295,0.776198
NK,64,1,1,0.707069,0.695363,0.678341,0.742415,0.665998,0.756775
NK,256,4,1,0.731230,0.732752,0.723333,0.737935,0.711306,0.748958
NK,64,2,1,0.735431,0.732733,0.718086,0.749116,0.689412,0.804430
NK,64,8,1,0.716009,0.712756,0.705071,0.727971,0.685974,0.748801
NK,256,2,2,0.734083,0.734902,0.729434,0.740849,0.717950,0.748493
NK,128,1,2,0.709023,0.710096,0.703782,0.718158,0.669683,0.732592
NK,256,1,2,0.706570,0.708274,0.695447,0.716866,0.686450,0.723031
NK,256,8,2,0.725080,0.725272,0.721210,0.728765,0.712716,0.738050
NK,128,8,2,0.729009,0.729302,0.721534,0.735811,0.709695,0.749495
NK,128,2,2,0.734111,0.736324,0.727609,0.741430,0.712626,0.750526
NK,128,4,2,0.749905,0.749808,0.740546,0.759001,0.730599,0.770697
NK,64,4,2,0.749258,0.749223,0.737237,0.759712,0.720958,0.775424
NK,64,1,2,0.710429,0.696073,0.682450,0.746570,0.672571,0.761317
NK,256,4,2,0.748030,0.747607,0.742588,0.754138,0.733419,0.764445
NK,64,2,2,0.742189,0.740538,0.718529,0.756168,0.699958,0.804430
NK,64,8,2,0.735670,0.735284,0.724619,0.747833,0.702081,0.762204
NK,256,2,3,0.736778,0.737322,0.731469,0.743701,0.716667,0.748610
NK,128,1,3,0.710285,0.711161,0.707297,0.717965,0.671579,0.733607
NK,256,1,3,0.707941,0.710305,0.696588,0.718174,0.687148,0.724758
NK,256,8,3,0.731730,0.731770,0.727684,0.735437,0.721451,0.744612
NK,128,8,3,0.737266,0.737122,0.731194,0.744364,0.720093,0.757098
NK,128,2,3,0.736977,0.737650,0.731062,0.743879,0.717998,0.753480
NK,128,4,3,0.758042,0.757041,0.749826,0.768273,0.731235,0.782521
NK,64,4,3,0.753123,0.752859,0.742673,0.761998,0.728032,0.779563
NK,64,1,3,0.711286,0.697325,0.682401,0.747418,0.674036,0.761317
NK,256,4,3,0.754603,0.754791,0.747434,0.760917,0.740000,0.775988
NK,64,2,3,0.744250,0.741034,0.719519,0.758019,0.704731,0.810606
NK,64,8,3,0.742128,0.741916,0.732461,0.750264,0.709957,0.772749
NK,256,2,4,0.738791,0.740899,0.733957,0.745107,0.718854,0.749284
NK,128,1,4,0.711247,0.711669,0.708976,0.720493,0.672827,0.734019
NK,256,1,4,0.708642,0.711026,0.697082,0.719053,0.688739,0.725411
NK,256,8,4,0.735235,0.735374,0.729638,0.739634,0.724126,0.749152
NK,128,8,4,0.741970,0.742014,0.736451,0.746491,0.724120,0.764960
NK,128,2,4,0.738838,0.740125,0.734067,0.745109,0.719190,0.754598
NK,128,4,4,0.762289,0.763538,0.754479,0.769572,0.737294,0.782621
NK,64,4,4,0.755874,0.756868,0.744921,0.766541,0.728373,0.779608
NK,64,1,4,0.712039,0.701060,0.683541,0.747418,0.675136,0.761317
NK,256,4,4,0.756737,0.757673,0.749810,0.763040,0.740660,0.772334
NK,64,2,4,0.746209,0.742318,0.722696,0.761456,0.707828,0.811855
NK,64,8,4,0.746926,0.746783,0.739137,0.755783,0.721124,0.774683
NK,256,2,5,0.739744,0.741700,0.734842,0.745884,0.720829,0.751835
NK,128,1,5,0.711586,0.712570,0.710469,0.720493,0.673965,0.733230
NK,256,1,5,0.708918,0.712194,0.697446,0.719074,0.689287,0.725454
NK,256,8,5,0.735960,0.735363,0.731552,0.740031,0.721787,0.756556
NK,128,8,5,0.745072,0.744192,0.739287,0.751131,0.728552,0.766912
NK,128,2,5,0.739729,0.741179,0.734942,0.745488,0.721342,0.753188
NK,128,4,5,0.763960,0.763644,0.755550,0.772292,0.742615,0.785862
NK,64,4,5,0.758338,0.758310,0.749726,0.767108,0.735827,0.775122
NK,64,1,5,0.712213,0.701060,0.684422,0.747418,0.674256,0.761317
NK,256,4,5,0.759030,0.759381,0.753421,0.764988,0.742191,0.776196
NK,64,2,5,0.746469,0.742310,0.723402,0.760134,0.707973,0.810404
NK,64,8,5,0.750695,0.749459,0.741191,0.757758,0.727791,0.780257
NK,256,2,6,0.739875,0.742805,0.736016,0.745914,0.720129,0.749352
NK,128,1,6,0.711548,0.712520,0.708900,0.720493,0.673968,0.734477
NK,256,1,6,0.709132,0.711312,0.697559,0.719288,0.690395,0.725683
NK,256,8,6,0.735841,0.734967,0.731607,0.739369,0.725258,0.747367
NK,128,8,6,0.744887,0.744775,0.740440,0.749716,0.728589,0.758403
NK,128,2,6,0.740136,0.741320,0.736229,0.745766,0.721405,0.755179
NK,128,4,6,0.765104,0.766261,0.756431,0.774658,0.741728,0.782685
NK,64,4,6,0.759541,0.759725,0.753911,0.767475,0.732036,0.783116
NK,64,1,6,0.712273,0.701060,0.684535,0.747418,0.674937,0.761317
NK,256,4,6,0.759152,0.759482,0.753717,0.765177,0.744220,0.774071
NK,64,2,6,0.746217,0.743229,0.723427,0.758019,0.702852,0.810475
NK,64,8,6,0.752734,0.752065,0.744055,0.759263,0.732044,0.784967
NK,256,2,7,0.739502,0.741106,0.735799,0.745960,0.719164,0.749457
NK,128,1,7,0.711823,0.712718,0.710007,0.720479,0.674091,0.734477
NK,256,1,7,0.709098,0.712254,0.697396,0.719183,0.690467,0.725456
NK,256,8,7,0.733400,0.732525,0.728930,0.738147,0.719408,0.749697
