step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
60,-134.25999450683594,63.995018005371094,3.6684036254882812,88.55253028869629,-134.25999450683594,-131.5,24.401073455810547,-186.25999450683594,-169.34999084472656,-160.10000610351562,-153.0,-131.5,-121.75,-103.0,-97.95000457763672,-87.85997009277344
120,-151.6199951171875,63.98988342285156,3.739828586578369,88.54060554504395,-151.6199951171875,-152.5,23.88337516784668,-216.0399932861328,-190.39999389648438,-176.10000610351562,-164.25,-152.5,-134.75,-124.80000305175781,-116.85001373291016,-106.89997863769531
180,-159.72000122070312,63.98432540893555,3.8174452781677246,88.52787780761719,-159.72000122070312,-156.5,22.876222610473633,-216.0399932861328,-201.39999389648438,-186.39999389648438,-172.0,-156.5,-143.75,-133.89999389648438,-129.0,-124.85997009277344
240,-167.3199920654297,63.9787712097168,3.8965892791748047,88.51488876342773,-167.32000732421875,-164.0,24.422481536865234,-229.1999969482422,-216.0,-199.10000610351562,-177.5,-164.0,-151.0,-141.0,-133.85000610351562,-129.97999572753906
300,-171.63999938964844,63.972267150878906,3.9740142822265625,88.50089645385742,-171.63999938964844,-169.5,24.872282028198242,-229.1999969482422,-217.0500030517578,-209.3000030517578,-181.25,-169.5,-153.75,-144.70001220703125,-140.90000915527344,-130.95999145507812
360,-174.67999267578125,63.96641159057617,4.045909881591797,88.48758697509766,-174.67999267578125,-171.0,23.94112777709961,-229.1999969482422,-217.0500030517578,-209.3000030517578,-186.5,-171.0,-157.0,-148.89999389648438,-141.95001220703125,-138.8399658203125
420,-176.5,63.96058654785156,4.118524074554443,88.47437477111816,-176.5,-174.5,23.76699447631836,-229.1999969482422,-217.0500030517578,-209.3000030517578,-189.25,-174.5,-157.75,-149.0,-142.0,-140.79995727539062
480,-180.87998962402344,63.9543571472168,4.195666790008545,88.46026802062988,-180.8800048828125,-177.0,24.155860900878906,-239.02000427246094,-223.0500030517578,-216.10000610351562,-195.25,-177.0,-164.0,-151.89999389648438,-149.0,-141.7799530029297
540,-183.739990234375,63.94810104370117,4.274051666259766,88.44572639465332,-183.74000549316406,-180.5,24.412546157836914,-240.36000061035156,-224.25,-217.10000610351562,-197.25,-180.5,-167.75,-154.0,-150.90000915527344,-147.87997436523438
600,-184.63999938964844,63.94176483154297,4.348189353942871,88.43155860900879,-184.63999938964844,-182.0,23.98646354675293,-240.36000061035156,-224.25,-217.10000610351562,-197.25,-182.0,-169.75,-156.70001220703125,-150.90000915527344,-147.87997436523438
660,-186.67999267578125,63.934959411621094,4.418438911437988,88.41670036315918,-186.67999267578125,-184.0,24.89131736755371,-248.1999969482422,-229.5,-219.1999969482422,-199.0,-184.0,-171.0,-156.70001220703125,-150.90000915527344,-147.87997436523438
720,-188.47999572753906,63.92870330810547,4.492532730102539,88.40233612060547,-188.47999572753906,-185.5,24.53506851196289,-248.1999969482422,-239.0500030517578,-221.10000610351562,-199.0,-185.5,-171.0,-160.70001220703125,-151.95001220703125,-148.87997436523438
780,-189.0,63.92161178588867,4.569334983825684,88.38623237609863,-189.0,-185.5,24.191734313964844,-248.1999969482422,-239.0500030517578,-221.10000610351562,-199.25,-185.5,-171.0,-162.0,-152.0,-149.0
840,-190.25999450683594,63.91478729248047,4.642547607421875,88.3711166381836,-190.25999450683594,-186.0,24.20604133605957,-248.1999969482422,-239.0500030517578,-222.10000610351562,-201.5,-186.0,-173.0,-164.0,-153.90000915527344,-149.0
900,-191.8199920654297,63.906890869140625,4.716740608215332,88.35525894165039,-191.82000732421875,-188.0,23.973478317260742,-248.1999969482422,-239.0500030517578,-223.10000610351562,-205.5,-188.0,-176.75,-165.8000030517578,-156.75003051757812,-149.0
960,-193.25999450683594,63.90060043334961,4.7905592918396,88.3399715423584,-193.25999450683594,-188.0,24.644926071166992,-251.13999938964844,-240.0500030517578,-228.10000610351562,-207.5,-188.0,-177.0,-165.8000030517578,-160.85000610351562,-150.95999145507812
1020,-195.9199981689453,63.894832611083984,4.863231182098389,88.3250732421875,-195.9199981689453,-191.0,23.6743221282959,-251.13999938964844,-240.0500030517578,-229.0,-211.5,-191.0,-179.0,-170.89999389648438,-164.0,-161.97999572753906
1080,-196.6199951171875,63.88642501831055,4.939882755279541,88.30744743347168,-196.6199951171875,-192.0,23.54348373413086,-251.13999938964844,-240.0500030517578,-229.0,-213.0,-192.0,-179.75,-171.0,-164.0,-161.97999572753906
1140,-197.3000030517578,63.878868103027344,5.020921230316162,88.29019927978516,-197.3000030517578,-193.5,23.321020126342773,-251.13999938964844,-240.0500030517578,-229.0,-213.0,-193.5,-180.0,-171.0,-164.0,-161.97999572753906
1200,-198.1199951171875,63.869354248046875,5.087050914764404,88.27229118347168,-198.1199951171875,-194.5,22.760175704956055,-251.13999938964844,-240.0500030517578,-229.0,-213.0,-194.5,-182.0,-172.8000030517578,-166.85000610351562,-162.0
1260,-198.33999633789062,63.861839294433594,5.162724494934082,88.25520515441895,-198.33999633789062,-194.5,22.53895378112793,-251.13999938964844,-240.0500030517578,-229.0,-213.0,-194.5,-182.0,-173.0,-169.85000610351562,-163.95999145507812
1320,-198.67999267578125,63.85320281982422,5.241235256195068,88.23647689819336,-198.67999267578125,-194.5,22.392356872558594,-251.13999938964844,-240.0500030517578,-229.0,-213.0,-194.5,-182.0,-173.89999389648438,-170.95001220703125,-163.95999145507812
1380,-199.33999633789062,63.844459533691406,5.317176342010498,88.21778678894043,-199.33999633789062,-195.0,22.244199752807617,-251.13999938964844,-240.0500030517578,-229.10000610351562,-213.0,-195.0,-182.75,-174.89999389648438,-171.0,-164.0
1440,-200.67999267578125,63.836753845214844,5.382651329040527,88.20126342773438,-200.67999267578125,-195.5,22.344966888427734,-251.13999938964844,-241.34999084472656,-230.3000030517578,-213.25,-195.5,-184.0,-174.89999389648438,-172.90000915527344,-164.0
1500,-201.22000122070312,63.82862854003906,5.4661712646484375,88.18179512023926,-201.22000122070312,-197.0,22.148399353027344,-251.13999938964844,-241.34999084472656,-230.3000030517578,-214.25,-197.0,-184.75,-175.89999389648438,-172.90000915527344,-164.0
1560,-202.1599884033203,63.81917953491211,5.546487331390381,88.16117286682129,-202.16000366210938,-199.0,21.716686248779297,-251.13999938964844,-241.34999084472656,-230.3000030517578,-215.5,-199.0,-186.75,-177.8000030517578,-173.0,-164.0
1620,-202.75999450683594,63.81040573120117,5.625988006591797,88.14112854003906,-202.75999450683594,-199.0,21.67999839782715,-251.13999938964844,-241.34999084472656,-230.3000030517578,-217.25,-199.0,-187.75,-177.8000030517578,-173.0,-164.0
1680,-203.1199951171875,63.79986572265625,5.704579830169678,88.1199779510498,-203.1199951171875,-199.5,21.357563018798828,-251.13999938964844,-241.34999084472656,-230.3000030517578,-217.25,-199.5,-188.0,-178.89999389648438,-173.95001220703125,-170.85997009277344
