step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
48,-256.0199890136719,126.83262634277344,15.384057998657227,174.81341044108072,-256.0199890136719,-255.0,53.74290084838867,-362.5,-341.25,-310.29998779296875,-285.0,-255.0,-217.75,-187.0,-183.85000610351562,-172.8800048828125
96,-298.5199890136719,125.80827331542969,20.10712242126465,172.71026611328125,-298.5199890136719,-286.5,55.88908767700195,-485.17999267578125,-402.1499938964844,-354.79998779296875,-323.0,-286.5,-266.5,-241.0,-229.6999969482422,-212.9199981689453
144,-309.3800048828125,124.74754333496094,23.656429290771484,170.61426289876303,-309.3800048828125,-295.5,53.69130325317383,-485.17999267578125,-402.1499938964844,-373.20001220703125,-337.0,-295.5,-272.5,-257.8999938964844,-242.89999389648438,-234.74000549316406
192,-322.8599853515625,123.8119125366211,26.5792293548584,168.67845153808594,-322.8599853515625,-313.0,53.42434310913086,-485.17999267578125,-413.1000061035156,-387.3999938964844,-343.5,-313.0,-289.0,-265.8999938964844,-259.8999938964844,-245.0
240,-336.9599914550781,122.77593994140625,29.05892562866211,166.68017069498697,-336.9599914550781,-329.0,57.07975387573242,-494.4599914550781,-462.95001220703125,-405.20001220703125,-353.0,-329.0,-298.5,-276.8999938964844,-261.8999938964844,-256.9599914550781
288,-345.94000244140625,121.84135437011719,31.299072265625,164.77051289876303,-345.94000244140625,-337.0,53.03750228881836,-494.4599914550781,-462.95001220703125,-405.20001220703125,-363.5,-337.0,-315.0,-294.0,-280.8500061035156,-264.0
336,-354.7599792480469,120.94334411621094,33.23143005371094,162.9474080403646,-354.760009765625,-343.0,52.521636962890625,-494.4599914550781,-465.79998779296875,-411.29998779296875,-383.5,-343.0,-319.0,-298.79998779296875,-294.0,-266.94000244140625
384,-367.97998046875,120.03033447265625,35.05462646484375,161.0882364908854,-367.9800109863281,-358.0,49.334571838378906,-494.4599914550781,-465.79998779296875,-431.20001220703125,-396.25,-358.0,-333.0,-318.79998779296875,-296.8999938964844,-294.0
432,-374.6999816894531,119.0714340209961,36.63260269165039,159.23300170898438,-374.70001220703125,-362.5,50.733123779296875,-507.20001220703125,-481.20001220703125,-443.79998779296875,-402.0,-362.5,-337.75,-319.0,-299.0,-294.9800109863281
480,-387.6199951171875,118.06365966796875,37.97454833984375,157.35567220052084,-387.6199951171875,-380.0,51.171043395996094,-517.219970703125,-485.45001220703125,-462.29998779296875,-409.0,-380.0,-358.25,-329.79998779296875,-316.6499938964844,-301.0
528,-402.5,117.08746337890625,39.235626220703125,155.5336456298828,-402.5,-399.0,48.828372955322266,-517.219970703125,-486.5,-468.20001220703125,-428.0,-399.0,-366.0,-346.5,-332.8500061035156,-320.9200134277344
576,-415.97998046875,116.03633880615234,40.403690338134766,153.64127604166666,-415.9800109863281,-410.0,47.29756546020508,-517.219970703125,-503.0,-485.1000061035156,-451.0,-410.0,-382.5,-358.8999938964844,-350.95001220703125,-332.8999938964844
624,-435.03997802734375,115.06295013427734,41.49401092529297,151.80040995279947,-435.0400085449219,-426.5,53.86332702636719,-554.1799926757812,-521.3499755859375,-503.0,-470.5,-426.5,-399.0,-374.6000061035156,-362.8999938964844,-349.8399963378906
672,-453.55999755859375,114.02633666992188,42.453041076660156,149.9330800374349,-453.55999755859375,-449.0,51.12247085571289,-563.52001953125,-543.0,-513.4000244140625,-490.25,-449.0,-410.5,-390.8999938964844,-385.0,-383.7799987792969
720,-469.8599853515625,112.92289733886719,43.19679260253906,148.06797790527344,-469.8599853515625,-468.5,56.830631256103516,-617.52001953125,-559.2000122070312,-543.4000244140625,-500.25,-468.5,-427.0,-407.0,-392.79998779296875,-385.0
768,-487.5,111.8976058959961,43.95751953125,146.24849446614584,-487.5,-483.0,57.64833068847656,-631.239990234375,-617.2000122070312,-561.2000122070312,-515.5,-483.0,-441.5,-423.0,-416.8999938964844,-408.9599914550781
816,-510.739990234375,110.7856674194336,44.61589813232422,144.34607950846353,-510.739990234375,-496.0,66.42584228515625,-658.739990234375,-627.7999877929688,-609.7999877929688,-544.75,-496.0,-464.0,-437.0,-423.0,-420.8800048828125
864,-533.7799682617188,109.70195770263672,45.17504119873047,142.5228474934896,-533.780029296875,-521.0,70.58081817626953,-695.1599731445312,-653.25,-627.0,-588.0,-521.0,-480.5,-451.70001220703125,-439.45001220703125,-422.9599914550781
912,-554.8999633789062,108.66270446777344,45.71196746826172,140.77563985188803,-554.9000244140625,-541.5,71.23657989501953,-711.1400146484375,-677.9000244140625,-653.4000244140625,-608.5,-541.5,-497.25,-470.8999938964844,-460.6000061035156,-448.8599853515625
