step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
48,-255.8199920654297,64.0041732788086,11.983847618103027,86.9729175567627,-255.82000732421875,-244.0,56.08161544799805,-398.6199951171875,-363.29998779296875,-343.29998779296875,-285.0,-244.0,-218.0,-195.0,-186.85000610351562,-175.8800048828125
96,-291.8999938964844,63.99675750732422,16.125638961791992,85.53104591369629,-291.8999938964844,-284.0,55.151878356933594,-429.1199951171875,-398.1000061035156,-367.20001220703125,-327.5,-284.0,-246.75,-229.60000610351562,-218.9499969482422,-211.9600067138672
144,-307.97998046875,64.01094818115234,19.3055419921875,84.14602279663086,-307.9800109863281,-301.0,51.93938446044922,-429.1199951171875,-400.45001220703125,-369.70001220703125,-343.75,-301.0,-270.75,-245.0,-232.85000610351562,-225.97999572753906
192,-319.1399841308594,64.0229263305664,21.844566345214844,82.8397274017334,-319.1400146484375,-314.0,50.84565353393555,-429.1199951171875,-409.3500061035156,-386.3999938964844,-356.0,-314.0,-282.25,-263.3999938964844,-245.0,-232.86000061035156
240,-332.67999267578125,64.00313568115234,24.042417526245117,81.54731369018555,-332.67999267578125,-329.0,50.55845642089844,-435.7799987792969,-424.04998779296875,-398.20001220703125,-366.0,-329.0,-291.0,-269.79998779296875,-260.70001220703125,-253.86000061035156
288,-348.9599914550781,63.997962951660156,25.999982833862305,80.31229972839355,-348.9599914550781,-346.0,51.320735931396484,-464.20001220703125,-445.45001220703125,-421.29998779296875,-378.75,-346.0,-314.5,-290.29998779296875,-266.95001220703125,-260.9599914550781
336,-360.7799987792969,63.99406051635742,27.74262809753418,79.10382652282715,-360.7799987792969,-360.0,45.167816162109375,-464.20001220703125,-445.45001220703125,-421.29998779296875,-386.5,-360.0,-328.75,-309.70001220703125,-290.95001220703125,-283.82000732421875
384,-374.5199890136719,64.01090240478516,29.368545532226562,77.91670989990234,-374.5199890136719,-369.5,44.04122543334961,-473.0199890136719,-454.20001220703125,-429.20001220703125,-405.25,-369.5,-340.5,-322.8999938964844,-310.8999938964844,-302.739990234375
432,-387.1000061035156,64.03250122070312,30.89691925048828,76.73172378540039,-387.1000061035156,-378.5,53.981201171875,-487.260009765625,-474.29998779296875,-455.29998779296875,-415.25,-378.5,-349.0,-329.8999938964844,-316.8999938964844,-305.67999267578125
480,-393.8999938964844,64.03559875488281,32.249794006347656,75.57449340820312,-393.8999938964844,-392.5,51.83522033691406,-487.260009765625,-474.29998779296875,-463.1000061035156,-417.5,-392.5,-362.25,-331.0,-327.8999938964844,-308.94000244140625
528,-408.2799987792969,64.0288314819336,33.510780334472656,74.39809608459473,-408.2799987792969,-404.0,49.53162384033203,-500.1199951171875,-480.3500061035156,-471.1000061035156,-433.5,-404.0,-376.75,-350.8999938964844,-336.8999938964844,-327.739990234375
576,-416.7799987792969,64.0472412109375,34.767181396484375,73.2416763305664,-416.7799987792969,-411.0,51.78852844238281,-525.2999877929688,-498.75,-474.5,-444.5,-411.0,-381.5,-359.70001220703125,-346.6499938964844,-334.9200134277344
624,-432.94000244140625,64.07369995117188,35.85439682006836,72.17131614685059,-432.94000244140625,-424.5,51.44099807739258,-540.3800048828125,-521.2000122070312,-487.29998779296875,-467.5,-424.5,-398.0,-374.8999938964844,-359.8999938964844,-350.7799987792969
672,-446.3399963378906,64.08708953857422,36.93681335449219,71.04045104980469,-446.3399963378906,-443.5,51.311832427978516,-559.6199951171875,-534.1500244140625,-512.0999755859375,-477.25,-443.5,-405.75,-385.8999938964844,-382.70001220703125,-372.739990234375
720,-460.739990234375,64.10807037353516,37.98586654663086,69.93392562866211,-460.739990234375,-455.0,51.309181213378906,-563.7000122070312,-540.9500122070312,-526.5999755859375,-490.0,-455.0,-424.75,-399.79998779296875,-385.95001220703125,-383.9800109863281
768,-473.5,64.13232421875,38.900177001953125,68.893310546875,-473.5,-469.0,52.02278518676758,-598.1199951171875,-563.8499755859375,-537.0,-499.5,-469.0,-441.5,-408.8999938964844,-403.0,-389.8999938964844
816,-487.1199951171875,64.10627746582031,39.72935485839844,67.84917831420898,-487.1199951171875,-473.0,52.337806701660156,-598.1199951171875,-592.2000122070312,-560.0,-519.5,-473.0,-453.75,-421.3999938964844,-408.95001220703125,-403.0
