step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
96,-294.2799987792969,63.28441619873047,9.349161148071289,86.91992950439453,-294.2799987792969,-286.5,47.95561981201172,-390.0199890136719,-373.75,-361.79998779296875,-326.25,-286.5,-255.75,-234.5,-224.9499969482422,-221.97999572753906
192,-319.6000061035156,62.628753662109375,12.464640617370605,85.38107299804688,-319.6000061035156,-312.5,48.60843276977539,-435.32000732421875,-404.20001220703125,-388.0,-352.5,-312.5,-285.0,-261.79998779296875,-253.89999389648438,-248.97999572753906
288,-340.05999755859375,61.99238204956055,14.7571439743042,83.8972282409668,-340.05999755859375,-339.0,45.13996505737305,-435.32000732421875,-413.5,-391.3999938964844,-370.25,-339.0,-306.0,-285.6000061035156,-274.95001220703125,-259.8800048828125
384,-353.6399841308594,61.31856918334961,16.5766544342041,82.41525459289551,-353.6400146484375,-356.5,43.61296463012695,-451.1600036621094,-429.1000061035156,-408.3999938964844,-379.5,-356.5,-320.75,-300.6000061035156,-285.70001220703125,-271.6400146484375
480,-365.2599792480469,60.52191162109375,18.047679901123047,80.85049057006836,-365.260009765625,-366.5,43.459320068359375,-466.1600036621094,-435.79998779296875,-421.20001220703125,-390.0,-366.5,-334.0,-314.0,-304.6499938964844,-288.6600036621094
576,-382.5799865722656,59.70195007324219,19.348445892333984,79.2497444152832,-382.5799865722656,-380.5,40.03602981567383,-474.2200012207031,-461.1000061035156,-431.1000061035156,-401.75,-380.5,-359.5,-328.79998779296875,-318.95001220703125,-315.8599853515625
672,-405.97998046875,58.78806686401367,20.452213287353516,77.56434059143066,-405.9800109863281,-399.5,48.82806396484375,-494.4599914550781,-487.20001220703125,-474.5,-432.75,-399.5,-370.75,-354.8999938964844,-330.95001220703125,-316.8399963378906
768,-423.47998046875,57.802764892578125,21.417028427124023,75.81012153625488,-423.4800109863281,-415.5,46.71434020996094,-521.719970703125,-494.20001220703125,-485.1000061035156,-456.5,-415.5,-391.0,-367.6000061035156,-359.8999938964844,-338.8399963378906
864,-447.7599792480469,56.69794845581055,22.157827377319336,73.97719192504883,-447.760009765625,-441.0,50.08675003051758,-574.1400146484375,-533.25,-515.0999755859375,-480.25,-441.0,-412.75,-390.70001220703125,-373.8500061035156,-367.8399963378906
960,-481.239990234375,55.55971908569336,22.852130889892578,72.06548690795898,-481.239990234375,-481.0,55.7239875793457,-601.3800048828125,-581.7000122070312,-566.0999755859375,-509.5,-481.0,-435.75,-416.0,-400.0,-383.94000244140625
1056,-518.3999633789062,54.3371696472168,23.388813018798828,70.0983715057373,-518.4000244140625,-507.5,62.486637115478516,-649.4600219726562,-631.0999755859375,-596.5,-554.25,-507.5,-480.0,-440.5,-428.8999938964844,-420.760009765625
1152,-546.7000122070312,53.10877227783203,23.73204803466797,68.17469596862793,-546.7000122070312,-532.0,64.96160125732422,-661.5,-643.0499877929688,-632.0999755859375,-594.25,-532.0,-502.75,-467.8999938964844,-444.8999938964844,-435.70001220703125
1248,-573.739990234375,51.813865661621094,24.030643463134766,66.134521484375,-573.739990234375,-564.5,69.81627655029297,-741.2000122070312,-680.5,-651.4000244140625,-618.5,-564.5,-526.5,-487.8999938964844,-474.79998779296875,-454.6199951171875
1344,-610.2999877929688,50.55016326904297,24.26515769958496,64.15340328216553,-610.2999877929688,-604.5,74.30726623535156,-763.7999877929688,-728.3499755859375,-696.2000122070312,-667.75,-604.5,-560.25,-506.8999938964844,-496.6000061035156,-480.79998779296875
1440,-651.1199951171875,49.30396270751953,24.444290161132812,62.20103931427002,-651.1199951171875,-643.5,74.64238739013672,-785.5800170898438,-766.3499755859375,-752.5999755859375,-696.0,-643.5,-601.75,-556.5,-521.8499755859375,-513.9400024414062
1536,-678.9199829101562,48.01241683959961,24.496145248413086,60.22177314758301,-678.9199829101562,-677.5,72.33956909179688,-820.2000122070312,-809.0499877929688,-775.4000244140625,-725.0,-677.5,-629.5,-594.7999877929688,-574.75,-542.5999755859375
1632,-711.4199829101562,46.79192352294922,24.511899948120117,58.342543601989746,-711.4199829101562,-697.5,86.30622100830078,-885.1599731445312,-879.0499877929688,-836.2000122070312,-758.25,-697.5,-653.75,-618.0,-594.3499755859375,-574.719970703125
1728,-737.8399658203125,45.607269287109375,24.53437042236328,56.50154685974121,-737.8400268554688,-729.5,83.23385620117188,-917.1599731445312,-880.0499877929688,-847.5,-797.0,-729.5,-673.75,-636.4000244140625,-619.9000244140625,-610.760009765625
1824,-761.6399536132812,44.44559860229492,24.47607421875,54.701345443725586,-761.6400146484375,-754.5,82.43476867675781,-952.3400268554688,-886.5999755859375,-873.2999877929688,-813.0,-754.5,-696.5,-674.0,-654.25,-610.8800048828125
1920,-795.8399658203125,43.33517074584961,24.434329986572266,52.94915580749512,-795.8400268554688,-789.5,85.49311828613281,-1000.6599731445312,-953.3499755859375,-894.2999877929688,-843.0,-789.5,-731.25,-703.7999877929688,-681.9000244140625,-665.4600219726562
2016,-814.719970703125,42.21898651123047,24.3501033782959,51.18851089477539,-814.719970703125,-810.0,85.93009948730469,-1001.4199829101562,-963.7999877929688,-915.5999755859375,-864.25,-810.0,-758.5,-711.7000122070312,-690.5999755859375,-665.739990234375
2112,-836.6399536132812,41.1956787109375,24.24578094482422,49.551589012145996,-836.6400146484375,-834.0,84.87903594970703,-1002.6400146484375,-981.2999877929688,-944.2999877929688,-887.5,-834.0,-773.75,-733.9000244140625,-701.8499755859375,-687.9000244140625
2208,-855.8599853515625,40.17530059814453,24.100788116455078,47.94448375701904,-855.8599853515625,-856.5,85.25444793701172,-1035.0999755859375,-1006.2999877929688,-963.0,-902.0,-856.5,-799.25,-741.7999877929688,-732.5999755859375,-701.9400024414062
2304,-873.9199829101562,39.191097259521484,23.96749496459961,46.36048126220703,-873.9199829101562,-866.5,85.00149536132812,-1047.8399658203125,-1024.5,-997.0,-917.5,-866.5,-821.75,-766.5999755859375,-744.75,-737.6599731445312
2400,-889.699951171875,38.25920104980469,23.820297241210938,44.866087913513184,-889.7000122070312,-881.5,84.38797760009766,-1048.4000244140625,-1035.3499755859375,-1013.5999755859375,-932.5,-881.5,-827.75,-790.0,-772.9500122070312,-739.97998046875
2496,-909.0999755859375,37.36467742919922,23.641616821289062,43.41606426239014,-909.0999755859375,-905.5,85.12890625,-1117.0400390625,-1059.75,-1033.199951171875,-953.75,-905.5,-853.25,-795.0,-774.0,-772.9000244140625
2592,-923.0599975585938,36.526023864746094,23.49764633178711,42.02930927276611,-923.0599975585938,-923.0,86.04613494873047,-1119.56005859375,-1063.550048828125,-1035.4000244140625,-970.5,-923.0,-860.75,-816.0,-788.8499755859375,-773.0
2688,-940.4599609375,35.713134765625,23.348539352416992,40.66899585723877,-940.4600219726562,-933.0,86.750732421875,-1120.1600341796875,-1085.9000244140625,-1051.300048828125,-989.5,-933.0,-892.5,-827.4000244140625,-802.7000122070312,-788.6799926757812
2784,-955.1599731445312,34.876808166503906,23.148855209350586,39.31807804107666,-955.1599731445312,-944.0,90.12610626220703,-1145.800048828125,-1112.3499755859375,-1071.5999755859375,-1003.75,-944.0,-895.5,-837.7000122070312,-821.75,-788.780029296875
2880,-969.6399536132812,34.101715087890625,22.976470947265625,38.019155502319336,-969.6400146484375,-963.5,88.86084747314453,-1147.0400390625,-1123.300048828125,-1088.4000244140625,-1015.75,-963.5,-910.25,-861.0,-839.75,-812.9199829101562
2976,-980.9199829101562,33.38227462768555,22.83130645751953,36.76675319671631,-980.9199829101562,-975.5,86.9336166381836,-1164.6800537109375,-1129.25,-1101.199951171875,-1026.25,-975.5,-932.5,-872.0,-839.75,-827.6199951171875
3072,-991.8800048828125,32.70258331298828,22.681964874267578,35.594871520996094,-991.8800048828125,-983.5,84.46563720703125,-1164.6800537109375,-1129.3499755859375,-1112.199951171875,-1031.25,-983.5,-942.75,-882.9000244140625,-850.6500244140625,-838.9199829101562
3168,-1002.0399780273438,32.04879379272461,22.519878387451172,34.4519739151001,-1002.0399780273438,-990.0,83.9122085571289,-1169.0,-1136.449951171875,-1115.800048828125,-1046.75,-990.0,-949.75,-899.4000244140625,-878.0999755859375,-850.780029296875
3264,-1011.6799926757812,31.40968894958496,22.350120544433594,33.355064392089844,-1011.6799926757812,-1010.5,86.41248321533203,-1194.56005859375,-1147.199951171875,-1129.4000244140625,-1049.0,-1010.5,-951.75,-901.7999877929688,-881.8499755859375,-860.5800170898438
3360,-1021.5199584960938,30.795639038085938,22.199352264404297,32.252877712249756,-1021.52001953125,-1020.0,84.42623901367188,-1204.3599853515625,-1154.0999755859375,-1133.5999755859375,-1068.0,-1020.0,-966.75,-917.7000122070312,-901.7999877929688,-860.6400146484375
3456,-1028.47998046875,30.20480728149414,22.03750228881836,31.20564556121826,-1028.47998046875,-1021.5,84.57487487792969,-1210.3599853515625,-1156.25,-1133.5999755859375,-1076.75,-1021.5,-974.75,-935.7000122070312,-905.7999877929688,-869.4600219726562
3552,-1037.8199462890625,29.71260643005371,21.93568229675293,30.26682996749878,-1037.8199462890625,-1035.0,84.21703338623047,-1210.3599853515625,-1166.3499755859375,-1145.699951171875,-1086.25,-1035.0,-984.25,-937.9000244140625,-917.9000244140625,-901.0599975585938
3648,-1047.0,29.211910247802734,21.819189071655273,29.318092823028564,-1047.0,-1044.0,81.08378601074219,-1216.239990234375,-1173.5,-1152.300048828125,-1092.25,-1044.0,-988.25,-953.9000244140625,-938.7000122070312,-901.7999877929688
3744,-1055.260009765625,28.71987533569336,21.67720603942871,28.39854860305786,-1055.260009765625,-1048.5,80.55750274658203,-1217.0400390625,-1183.550048828125,-1155.5,-1098.5,-1048.5,-993.5,-959.7999877929688,-942.8499755859375,-932.1799926757812
3840,-1062.0999755859375,28.228355407714844,21.516845703125,27.48780584335327,-1062.0999755859375,-1056.0,80.59038543701172,-1238.5999755859375,-1183.550048828125,-1164.0999755859375,-1107.75,-1056.0,-1009.25,-966.5999755859375,-949.7999877929688,-942.02001953125
3936,-1068.239990234375,27.763158798217773,21.377538681030273,26.60941219329834,-1068.239990234375,-1061.0,79.87216186523438,-1238.5999755859375,-1183.550048828125,-1165.0999755859375,-1112.75,-1061.0,-1018.75,-973.7000122070312,-953.5999755859375,-942.02001953125
4032,-1075.5799560546875,27.312026977539062,21.226804733276367,25.769663333892822,-1075.5799560546875,-1074.0,78.78529357910156,-1238.5999755859375,-1183.550048828125,-1166.4000244140625,-1126.25,-1074.0,-1025.0,-979.5,-970.1500244140625,-944.9600219726562
