step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
96,-147.05999755859375,31.64631462097168,4.634493827819824,43.467063903808594,-147.05999755859375,-146.0,21.26679039001465,-186.0800018310547,-184.0500030517578,-178.10000610351562,-162.5,-146.0,-130.0,-120.0,-114.0,-105.95999908447266
192,-160.16000366210938,31.31696128845215,6.211593151092529,42.69233989715576,-160.16000366210938,-160.0,20.60617446899414,-202.1999969482422,-198.0,-186.39999389648438,-174.0,-160.0,-146.0,-135.8000030517578,-129.89999389648438,-127.80000305175781
288,-167.09999084472656,30.950286865234375,7.39169454574585,41.88516330718994,-167.10000610351562,-164.0,20.03272247314453,-212.0399932861328,-200.10000610351562,-192.10000610351562,-178.0,-164.0,-154.0,-144.6999969482422,-139.8000030517578,-133.9199981689453
384,-172.86000061035156,30.475461959838867,8.273585319519043,40.98988723754883,-172.86000061035156,-174.0,19.6280517578125,-214.36000061035156,-208.1999969482422,-198.0,-182.5,-174.0,-160.0,-148.0,-144.9499969482422,-141.83999633789062
480,-182.55999755859375,29.94027328491211,9.080445289611816,39.99467945098877,-182.55999755859375,-178.5,18.833120346069336,-232.10000610351562,-216.10000610351562,-204.39999389648438,-193.0,-178.5,-172.0,-161.8000030517578,-155.89999389648438,-151.9199981689453
576,-191.239990234375,29.270626068115234,9.707027435302734,38.85300159454346,-191.24000549316406,-186.0,23.619112014770508,-250.55999755859375,-238.10000610351562,-222.60000610351562,-199.0,-186.0,-175.0,-168.0,-164.0,-161.97999572753906
672,-200.8000030517578,28.52114486694336,10.197084426879883,37.62940788269043,-200.8000030517578,-198.0,23.506595611572266,-254.47999572753906,-240.10000610351562,-229.3000030517578,-214.0,-198.0,-184.0,-173.89999389648438,-169.89999389648438,-164.0
768,-210.1599884033203,27.750713348388672,10.551778793334961,36.38522911071777,-210.16000366210938,-208.5,25.188377380371094,-278.1600036621094,-250.1999969482422,-241.10000610351562,-226.5,-208.5,-192.0,-177.89999389648438,-175.89999389648438,-172.94000244140625
864,-219.0800018310547,27.03828239440918,10.829111099243164,35.21485233306885,-219.0800018310547,-216.0,25.905088424682617,-286.0,-261.1499938964844,-254.1999969482422,-234.75,-216.0,-200.0,-185.8000030517578,-178.9499969482422,-176.94000244140625
960,-227.89999389648438,26.31702995300293,11.072967529296875,34.003173828125,-227.89999389648438,-226.0,28.116010665893555,-293.1400146484375,-286.0,-260.3999938964844,-246.0,-226.0,-207.75,-195.8000030517578,-185.85000610351562,-179.97999572753906
1056,-235.1199951171875,25.602638244628906,11.26473617553711,32.822072982788086,-235.1199951171875,-228.5,27.943256378173828,-306.0,-286.3500061035156,-272.0,-253.25,-228.5,-214.75,-201.89999389648438,-198.9499969482422,-196.0
1152,-244.37998962402344,24.920995712280273,11.40491008758545,31.675241470336914,-244.3800048828125,-238.5,27.616943359375,-306.0,-293.04998779296875,-285.1000061035156,-260.5,-238.5,-223.75,-211.89999389648438,-205.85000610351562,-198.0
1248,-252.79998779296875,24.18378448486328,11.506093978881836,30.482056140899658,-252.8000030517578,-253.0,27.208824157714844,-306.0400085449219,-300.29998779296875,-292.0,-268.0,-253.0,-234.0,-218.6999969482422,-209.89999389648438,-205.8800048828125
