step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
96,-140.5399932861328,32.00983810424805,5.7930402755737305,43.549354553222656,-140.5399932861328,-140.0,24.77233123779297,-192.32000732421875,-186.0,-174.0,-154.0,-140.0,-122.0,-111.9000015258789,-100.9000015258789,-96.9800033569336
192,-154.3000030517578,32.00495147705078,7.783294200897217,42.86883354187012,-154.3000030517578,-152.0,25.82382583618164,-220.24000549316406,-196.60000610351562,-186.0,-168.5,-152.0,-135.75,-122.0,-119.94999694824219,-114.91999816894531
288,-164.6199951171875,32.01201629638672,9.383197784423828,42.19568729400635,-164.6199951171875,-160.0,25.66428565979004,-228.0800018310547,-212.39999389648438,-196.39999389648438,-180.0,-160.0,-148.0,-131.8000030517578,-127.9000015258789,-121.95999908447266
384,-173.239990234375,32.026451110839844,10.789595603942871,41.4923677444458,-173.24000549316406,-171.0,26.085674285888672,-232.0,-226.10000610351562,-210.1999969482422,-188.25,-171.0,-155.75,-143.60000610351562,-130.0,-129.0
480,-178.63999938964844,32.02885437011719,12.029546737670898,40.779579162597656,-178.63999938964844,-176.0,24.567262649536133,-232.0800018310547,-228.1999969482422,-212.0,-192.5,-176.0,-159.75,-149.89999389648438,-145.6999969482422,-134.89999389648438
576,-185.17999267578125,32.019222259521484,13.136248588562012,40.029592514038086,-185.17999267578125,-181.5,26.453876495361328,-236.1999969482422,-232.0,-218.1999969482422,-202.0,-181.5,-168.0,-156.89999389648438,-149.85000610351562,-135.97999572753906
672,-191.6599884033203,32.014915466308594,14.211278915405273,39.22413921356201,-191.66000366210938,-190.0,26.491592407226562,-246.52000427246094,-236.3000030517578,-226.1999969482422,-208.0,-190.0,-173.75,-162.6999969482422,-156.9499969482422,-149.8000030517578
768,-195.13999938964844,32.00468826293945,15.19227123260498,38.38942813873291,-195.13999938964844,-192.5,26.0679931640625,-246.52000427246094,-236.3000030517578,-232.0,-210.5,-192.5,-176.0,-164.0,-160.0,-158.82000732421875
864,-201.44000244140625,31.9982967376709,16.09177017211914,37.553964614868164,-201.44000244140625,-196.5,28.41560173034668,-272.3599853515625,-254.3000030517578,-234.1999969482422,-215.0,-196.5,-181.75,-168.0,-163.9499969482422,-161.9600067138672
960,-208.1199951171875,31.99264144897461,16.919231414794922,36.7067928314209,-208.1199951171875,-205.0,29.333011627197266,-272.3599853515625,-266.1000061035156,-252.1999969482422,-226.0,-205.0,-188.0,-171.89999389648438,-168.0,-163.97999572753906
1056,-215.22000122070312,31.993820190429688,17.679357528686523,35.864803314208984,-215.22000122070312,-209.5,31.229339599609375,-286.0799865722656,-272.1000061035156,-262.0,-234.5,-209.5,-193.75,-179.8000030517578,-170.85000610351562,-165.9600067138672
