step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
32,-122.25999450683594,31.541378021240234,5.190650939941406,43.229501724243164,-122.26000213623047,-122.0,26.828575134277344,-182.0399932861328,-168.0,-161.0,-138.0,-122.0,-104.0,-89.4000015258789,-81.9000015258789,-77.87999725341797
64,-139.36000061035156,31.134082794189453,6.869576930999756,42.28435516357422,-139.36000061035156,-140.5,25.87489891052246,-186.02000427246094,-182.10000610351562,-170.1999969482422,-156.25,-140.5,-119.5,-107.80000305175781,-100.94999694824219,-89.87999725341797
96,-148.45999145507812,30.757726669311523,8.09328842163086,41.40424919128418,-148.4600067138672,-148.0,26.507139205932617,-202.47999572753906,-187.5500030517578,-182.1999969482422,-162.25,-148.0,-130.0,-115.9000015258789,-107.94999694824219,-99.95999908447266
128,-155.13999938964844,30.381484985351562,9.052360534667969,40.54576015472412,-155.13999938964844,-152.0,24.98360252380371,-222.0800018310547,-199.0500030517578,-185.10000610351562,-168.0,-152.0,-138.0,-127.9000015258789,-116.94999694824219,-113.83999633789062
160,-161.9199981689453,29.97162628173828,9.845224380493164,39.66956043243408,-161.9199981689453,-156.5,24.97826385498047,-224.0399932861328,-202.39999389648438,-192.1999969482422,-177.25,-156.5,-146.0,-132.0,-129.89999389648438,-125.80000305175781
192,-168.95999145507812,29.54718780517578,10.541240692138672,38.77020072937012,-168.9600067138672,-168.0,25.284746170043945,-226.1999969482422,-219.14999389648438,-200.0,-184.25,-168.0,-150.0,-138.0,-131.9499969482422,-129.9600067138672
224,-174.33999633789062,29.110015869140625,11.077642440795898,37.901912689208984,-174.33999633789062,-170.0,24.6853084564209,-234.0399932861328,-224.10000610351562,-206.39999389648438,-188.25,-170.0,-156.0,-146.0,-139.89999389648438,-135.9199981689453
256,-179.1199951171875,28.684682846069336,11.52104377746582,37.06675052642822,-179.1199951171875,-176.0,23.671621322631836,-234.0399932861328,-226.0,-210.89999389648438,-192.0,-176.0,-163.0,-150.0,-146.0,-139.9600067138672
288,-184.39999389648438,28.23610496520996,11.914237022399902,36.19649124145508,-184.39999389648438,-182.0,25.775959014892578,-245.02000427246094,-234.10000610351562,-224.1999969482422,-197.25,-182.0,-167.5,-151.8000030517578,-147.89999389648438,-144.0
320,-191.59999084472656,27.72576141357422,12.18818187713623,35.315279960632324,-191.60000610351562,-189.5,24.885337829589844,-246.02000427246094,-236.0,-226.0,-206.0,-189.5,-172.0,-163.89999389648438,-151.89999389648438,-148.0
352,-197.37998962402344,27.30487632751465,12.521921157836914,34.47608184814453,-197.3800048828125,-192.5,25.916316986083984,-247.25999450683594,-237.39999389648438,-230.39999389648438,-218.0,-192.5,-177.75,-168.0,-160.0,-151.9199981689453
384,-203.0,26.818044662475586,12.746826171875,33.60647106170654,-203.0,-198.0,26.659332275390625,-260.260009765625,-246.0500030517578,-236.0,-223.0,-198.0,-182.0,-172.0,-170.0,-159.75999450683594
416,-209.44000244140625,26.398231506347656,12.919023513793945,32.83053112030029,-209.44000244140625,-207.0,27.30945587158203,-270.05999755859375,-258.1000061035156,-246.10000610351562,-230.0,-207.0,-186.0,-174.0,-172.0,-170.0
448,-217.22000122070312,25.968303680419922,13.075557708740234,32.04189491271973,-217.22000122070312,-215.0,29.10724449157715,-280.0400085449219,-270.1499938964844,-258.1000061035156,-236.0,-215.0,-195.5,-183.8000030517578,-174.0,-172.0
