step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
50,-538.6199951171875,0.0,0.0,0.0,-538.6199951171875,-527.0,125.43194580078125,-845.2000122070312,-771.7999877929688,-698.5,-592.25,-527.0,-444.25,-393.3999938964844,-365.0,-331.8800048828125
100,-602.760009765625,0.0,0.0,0.0,-602.760009765625,-580.0,104.14155578613281,-845.2000122070312,-783.2000122070312,-736.2000122070312,-659.25,-580.0,-545.0,-487.20001220703125,-465.8500061035156,-403.8999938964844
150,-633.8399658203125,0.0,0.0,0.0,-633.8400268554688,-627.5,96.96728515625,-851.0800170898438,-808.5999755859375,-753.9000244140625,-686.25,-627.5,-566.75,-514.0,-501.6499938964844,-474.9200134277344
200,-651.1599731445312,0.0,0.0,0.0,-651.1599731445312,-642.0,98.88282775878906,-904.6799926757812,-845.2999877929688,-783.5999755859375,-698.0,-642.0,-576.75,-543.4000244140625,-514.8499755859375,-501.6199951171875
250,-667.239990234375,0.0,0.0,0.0,-667.239990234375,-659.5,92.8283462524414,-904.6799926757812,-851.2000122070312,-798.7999877929688,-703.5,-659.5,-604.25,-565.5999755859375,-545.9500122070312,-511.79998779296875
300,-677.0399780273438,0.0,0.0,0.0,-677.0399780273438,-663.5,89.49747467041016,-904.6799926757812,-851.2000122070312,-798.7999877929688,-715.5,-663.5,-619.5,-573.7000122070312,-557.8499755859375,-545.97998046875
350,-685.8599853515625,0.0,0.0,0.0,-685.8599853515625,-673.5,87.86911010742188,-904.6799926757812,-851.2000122070312,-806.2000122070312,-733.0,-673.5,-627.25,-585.5,-565.8499755859375,-557.9400024414062
400,-691.8599853515625,0.0,0.0,0.0,-691.8599853515625,-678.0,88.74063110351562,-904.6799926757812,-851.2000122070312,-812.7999877929688,-738.75,-678.0,-629.0,-592.4000244140625,-578.5999755859375,-561.9199829101562
450,-701.47998046875,0.0,0.0,0.0,-701.47998046875,-686.5,86.77032470703125,-904.6799926757812,-851.2000122070312,-812.7999877929688,-758.0,-686.5,-635.75,-603.7000122070312,-586.7999877929688,-561.9199829101562
500,-704.8999633789062,0.0,0.0,0.0,-704.9000244140625,-693.0,85.25719451904297,-904.6799926757812,-851.2000122070312,-812.7999877929688,-758.0,-693.0,-645.75,-603.7000122070312,-586.7999877929688,-561.9199829101562
550,-719.0599975585938,0.0,0.0,0.0,-719.0599975585938,-701.5,88.41016387939453,-904.6799926757812,-865.3499755859375,-848.2999877929688,-772.75,-701.5,-656.0,-623.0999755859375,-600.8499755859375,-582.5800170898438
600,-723.3800048828125,0.0,0.0,0.0,-723.3800048828125,-707.5,86.18917846679688,-904.6799926757812,-865.3499755859375,-848.2999877929688,-772.75,-707.5,-660.5,-629.0,-603.7000122070312,-582.5800170898438
650,-732.1199951171875,0.0,0.0,0.0,-732.1199951171875,-720.5,85.09022521972656,-904.6799926757812,-870.0999755859375,-851.4000244140625,-784.5,-720.5,-665.75,-635.2999877929688,-623.4000244140625,-586.5
700,-738.97998046875,0.0,0.0,0.0,-738.97998046875,-732.0,85.98976135253906,-904.6799926757812,-894.2000122070312,-861.2999877929688,-794.25,-732.0,-675.25,-646.9000244140625,-627.7999877929688,-603.1599731445312
