step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
44,-520.7000122070312,127.88789367675781,8.783442497253418,176.85951614379883,-520.7000122070312,-505.0,111.13212585449219,-790.47998046875,-724.2999877929688,-674.2000122070312,-575.0,-505.0,-439.0,-389.8999938964844,-370.0,-349.59991455078125
88,-578.239990234375,127.77214050292969,10.099321365356445,176.59166717529297,-578.239990234375,-562.5,103.19390106201172,-790.47998046875,-782.0999755859375,-730.4000244140625,-644.0,-562.5,-504.25,-451.5,-433.7500305175781,-414.679931640625
132,-612.7999877929688,127.65267181396484,11.290499687194824,176.3145294189453,-612.7999877929688,-617.5,90.70391082763672,-801.260009765625,-784.1500244140625,-734.7000122070312,-664.25,-617.5,-543.5,-501.3000183105469,-481.9000244140625,-465.97998046875
176,-632.8200073242188,127.53773498535156,12.389491081237793,176.03796768188477,-632.8200073242188,-632.5,86.09162139892578,-801.260009765625,-787.1500244140625,-745.9000244140625,-696.25,-632.5,-572.0,-521.5999755859375,-504.8500061035156,-491.8799743652344
220,-648.9400024414062,127.42877197265625,13.34498119354248,175.7746124267578,-648.9400024414062,-642.5,85.5286865234375,-817.1599731445312,-801.0,-782.2000122070312,-714.75,-642.5,-588.25,-542.2999877929688,-509.7500305175781,-491.8799743652344
264,-670.2999877929688,127.3155746459961,14.262466430664062,175.50357055664062,-670.2999877929688,-655.5,82.34166717529297,-825.1400146484375,-801.6500244140625,-790.4000244140625,-731.0,-655.5,-607.0,-573.0,-547.9000244140625,-523.5599365234375
308,-681.9199829101562,127.19232177734375,15.117323875427246,175.2223243713379,-681.9199829101562,-666.5,80.4569091796875,-832.97998046875,-814.1500244140625,-796.2999877929688,-737.0,-666.5,-629.0,-584.9000244140625,-572.0501098632812,-547.5599365234375
352,-691.7000122070312,127.0703125,15.967272758483887,174.93601989746094,-691.7000122070312,-683.0,77.84876251220703,-881.1799926757812,-817.4000244140625,-799.2000122070312,-738.75,-683.0,-634.0,-601.9000244140625,-585.7000122070312,-553.8800048828125
396,-701.0999755859375,126.93814086914062,16.722274780273438,174.6450309753418,-701.0999755859375,-698.0,72.49296569824219,-881.1799926757812,-817.4000244140625,-799.2000122070312,-742.25,-698.0,-643.25,-613.4000244140625,-600.8500366210938,-588.9400024414062
440,-711.1799926757812,126.81535339355469,17.47123146057129,174.35924911499023,-711.1799926757812,-709.0,72.22968292236328,-881.1799926757812,-832.5499877929688,-803.2000122070312,-761.25,-709.0,-649.0,-625.4000244140625,-609.800048828125,-603.8800048828125
484,-715.7000122070312,126.70394897460938,18.18355941772461,174.08544540405273,-715.7000122070312,-714.5,69.8311538696289,-881.1799926757812,-832.5499877929688,-803.2000122070312,-764.0,-714.5,-651.75,-633.9000244140625,-625.5000610351562,-605.8399658203125
528,-726.6399536132812,126.57621765136719,18.893831253051758,173.7882957458496,-726.6400146484375,-723.5,72.744140625,-902.0,-881.4500122070312,-815.2000122070312,-779.5,-723.5,-665.5,-639.7999877929688,-633.9500122070312,-631.5599365234375
572,-728.0,126.44989013671875,19.597843170166016,173.49113845825195,-728.0,-723.5,72.27143096923828,-902.0,-881.4500122070312,-815.2000122070312,-781.25,-723.5,-668.0,-644.0,-634.0,-631.5599365234375
616,-733.7799682617188,126.32579040527344,20.232929229736328,173.19910049438477,-733.780029296875,-729.0,72.55255126953125,-902.0,-886.2000122070312,-843.5,-782.5,-729.0,-672.0,-648.9000244140625,-639.9000244140625,-632.5399169921875
660,-739.0599975585938,126.18758392333984,20.861515045166016,172.89399337768555,-739.0599975585938,-733.5,72.10822296142578,-902.0,-888.0999755859375,-848.2000122070312,-784.5,-733.5,-684.0,-650.7999877929688,-643.800048828125,-633.97998046875
704,-744.1399536132812,126.05584716796875,21.45882797241211,172.59369277954102,-744.1400146484375,-735.5,70.51992797851562,-902.0,-888.0999755859375,-848.2000122070312,-786.25,-735.5,-690.5,-654.7000122070312,-647.8500366210938,-643.9199829101562
748,-749.8800048828125,125.90983581542969,22.055198669433594,172.2829704284668,-749.8800048828125,-736.5,78.48583221435547,-902.0599975585938,-890.25,-851.5999755859375,-789.5,-736.5,-694.75,-662.2999877929688,-650.8500366210938,-643.9199829101562
792,-755.4599609375,125.76249694824219,22.64467430114746,171.9608612060547,-755.4600219726562,-739.5,77.55867767333984,-905.3400268554688,-895.3499755859375,-867.5,-794.0,-739.5,-700.25,-667.5999755859375,-652.0,-644.0
836,-760.3200073242188,125.6069564819336,23.222366333007812,171.6298370361328,-760.3200073242188,-745.0,75.32820129394531,-905.3400268554688,-895.3499755859375,-867.5,-794.5,-745.0,-707.75,-679.5999755859375,-664.0,-652.0
880,-762.3800048828125,125.44195556640625,23.783620834350586,171.2896842956543,-762.3800048828125,-746.0,74.48097229003906,-905.3400268554688,-895.3499755859375,-867.5,-794.5,-746.0,-714.25,-681.7999877929688,-664.0,-652.0
924,-765.0,125.27757263183594,24.316680908203125,170.9544563293457,-765.0,-752.5,73.78265380859375,-905.3400268554688,-895.3499755859375,-867.5,-796.5,-752.5,-715.75,-686.5,-667.800048828125,-652.0
968,-770.239990234375,125.1212387084961,24.87396812438965,170.6160125732422,-770.239990234375,-763.0,74.10413360595703,-914.1599731445312,-902.0,-881.5,-801.0,-763.0,-718.25,-687.9000244140625,-674.6500244140625,-655.9199829101562
1012,-775.4199829101562,124.9538803100586,25.385955810546875,170.2726821899414,-775.4199829101562,-770.0,76.28671264648438,-922.4000244140625,-905.4500122070312,-888.2000122070312,-805.75,-770.0,-726.0,-687.9000244140625,-674.6500244140625,-655.9199829101562
1056,-780.4400024414062,124.78533935546875,25.90279769897461,169.92400741577148,-780.4400024414062,-777.0,75.59422302246094,-941.02001953125,-914.25,-890.5,-814.25,-777.0,-731.0,-694.0,-681.9000244140625,-659.9199829101562
1100,-786.2799682617188,124.62762451171875,26.383865356445312,169.5953598022461,-786.280029296875,-780.0,76.2223129272461,-942.6599731445312,-919.1500244140625,-895.7000122070312,-817.5,-780.0,-737.0,-697.7000122070312,-688.550048828125,-659.9199829101562
1144,-800.3999633789062,124.43785095214844,26.87615966796875,169.22607421875,-800.4000244140625,-783.0,85.23638153076172,-1040.5,-943.25,-914.5,-844.0,-783.0,-744.25,-711.5,-693.9500122070312,-675.5999145507812
1188,-806.760009765625,124.25472259521484,27.3731746673584,168.86045837402344,-806.760009765625,-785.5,85.4111328125,-1040.5,-967.4000244140625,-914.7999877929688,-845.75,-785.5,-753.5,-725.2999877929688,-694.9500122070312,-675.5999145507812
1232,-806.7799682617188,124.07978820800781,27.87472915649414,168.49536514282227,-806.780029296875,-785.5,85.40042114257812,-1040.5,-967.4000244140625,-914.7999877929688,-845.75,-785.5,-753.5,-725.2999877929688,-694.9500122070312,-675.5999145507812
1276,-814.8800048828125,123.86608123779297,28.342100143432617,168.09806060791016,-814.8800048828125,-794.0,83.27872467041016,-1040.5,-967.4000244140625,-923.0999755859375,-852.25,-794.0,-761.0,-732.5,-718.6500244140625,-675.5999145507812
