step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
50,-0.5331181287765503,0.0,0.0,0.0,0.5331180691719055,0.5346171855926514,0.010726158507168293,0.5117013454437256,0.5150502324104309,0.5175792574882507,0.5265357494354248,0.5346171855926514,0.5403704643249512,0.5435251593589783,0.5509364008903503,0.5531126260757446
100,-0.5380879640579224,0.0,0.0,0.0,0.5380880236625671,0.5394928455352783,0.011437691748142242,0.5136992931365967,0.5198764204978943,0.5227557420730591,0.5295647382736206,0.5394928455352783,0.5463594198226929,0.5518859624862671,0.5531995892524719,0.5602508783340454
150,-0.5404723286628723,0.0,0.0,0.0,0.5404722690582275,0.5414371490478516,0.010777072049677372,0.5198274254798889,0.5213528275489807,0.5256097316741943,0.5340271592140198,0.5414371490478516,0.5473646521568298,0.5531618595123291,0.5560610890388489,0.5602508783340454
200,-0.5417693853378296,0.0,0.0,0.0,0.5417693853378296,0.5421388149261475,0.010301110334694386,0.521693229675293,0.5238088965415955,0.5260854959487915,0.5354166030883789,0.5421388149261475,0.5498835444450378,0.5537765622138977,0.5567065477371216,0.5613245964050293
250,-0.5426492691040039,0.0,0.0,0.0,0.5426492691040039,0.5444546937942505,0.010439065285027027,0.521693229675293,0.5245205163955688,0.5269386768341064,0.5356669425964355,0.5444546937942505,0.550425112247467,0.5538569092750549,0.5578454732894897,0.5630746483802795
300,-0.5432469248771667,0.0,0.0,0.0,0.5432469248771667,0.5445771217346191,0.010263696312904358,0.521693229675293,0.5256814956665039,0.5271084308624268,0.5376796722412109,0.5445771217346191,0.5506244897842407,0.5545825362205505,0.5578454732894897,0.5630746483802795
350,-0.5445646643638611,0.0,0.0,0.0,0.5445647239685059,0.5453433990478516,0.010509280487895012,0.5217261910438538,0.5261768102645874,0.5286245346069336,0.538989245891571,0.5453433990478516,0.5514156222343445,0.5567600727081299,0.561353325843811,0.5642995834350586
400,-0.545102059841156,0.0,0.0,0.0,0.545102059841156,0.5460050702095032,0.010365073569118977,0.5255386233329773,0.5270010828971863,0.528820812702179,0.5390748977661133,0.5460050702095032,0.5519595146179199,0.5567600727081299,0.561353325843811,0.5642995834350586
450,-0.545896589756012,0.0,0.0,0.0,0.5458965301513672,0.547327995300293,0.010132523253560066,0.5255748629570007,0.5270010828971863,0.530229389667511,0.5404027700424194,0.547327995300293,0.5526597499847412,0.5579335689544678,0.561353325843811,0.5642995834350586
500,-0.5462272763252258,0.0,0.0,0.0,0.5462272763252258,0.5478739738464355,0.010115163400769234,0.5256419777870178,0.5286375284194946,0.530229389667511,0.5409590005874634,0.5478739738464355,0.5535343885421753,0.5598366260528564,0.561353325843811,0.5642995834350586
550,-0.5466693043708801,0.0,0.0,0.0,0.5466692447662354,0.5483136177062988,0.010244881734251976,0.5256419777870178,0.5286590456962585,0.5307568311691284,0.5412949323654175,0.5483136177062988,0.5538961291313171,0.5599365234375,0.5630826950073242,0.5645549893379211
600,-0.5473388433456421,0.0,0.0,0.0,0.5473387837409973,0.5488243103027344,0.009985974989831448,0.5270191431045532,0.529950737953186,0.5319733619689941,0.5416674613952637,0.5488243103027344,0.5542129278182983,0.560107409954071,0.5637101531028748,0.5645549893379211
650,-0.5479568243026733,0.0,0.0,0.0,0.5479568243026733,0.5494210720062256,0.009754371829330921,0.5298290252685547,0.5307966470718384,0.5327402353286743,0.5419549345970154,0.5494210720062256,0.5545401573181152,0.560107409954071,0.5637101531028748,0.5645549893379211
700,-0.548527181148529,0.0,0.0,0.0,0.548527181148529,0.5501601696014404,0.010125243104994297,0.5298290252685547,0.5307966470718384,0.5327943563461304,0.5419549345970154,0.5501601696014404,0.5559910535812378,0.5612842440605164,0.5637897253036499,0.5646544694900513
750,-0.5486434102058411,0.0,0.0,0.0,0.5486434102058411,0.5506380796432495,0.010121339000761509,0.5298290252685547,0.5307966470718384,0.5327943563461304,0.5419549345970154,0.5506380796432495,0.5561419725418091,0.5612842440605164,0.5637897253036499,0.5646544694900513
800,-0.5488054752349854,0.0,0.0,0.0,0.5488054156303406,0.5508644580841064,0.01002502627670765,0.5301951766014099,0.5315955281257629,0.5327943563461304,0.5422185659408569,0.5508644580841064,0.5561419725418091,0.5612842440605164,0.5637897253036499,0.5646544694900513
850,-0.5490268468856812,0.0,0.0,0.0,0.5490268468856812,0.5510507822036743,0.00994833279401064,0.5302408933639526,0.5315955281257629,0.5329245924949646,0.5424578189849854,0.5510507822036743,0.5562662482261658,0.5612842440605164,0.5637897253036499,0.5646544694900513
900,-0.5491918325424194,0.0,0.0,0.0,0.5491917729377747,0.5510507822036743,0.009883173741400242,0.5305764079093933,0.5319920182228088,0.5341117978096008,0.5424578189849854,0.5510507822036743,0.5563547611236572,0.5612842440605164,0.5637897253036499,0.5646544694900513
950,-0.5495287775993347,0.0,0.0,0.0,0.5495287775993347,0.5510507822036743,0.009987578727304935,0.5308027863502502,0.5325343012809753,0.5355721712112427,0.5424578189849854,0.5510507822036743,0.5563788414001465,0.5617710947990417,0.5643054246902466,0.5648561120033264
1000,-0.5498877763748169,0.0,0.0,0.0,0.5498877167701721,0.5510507822036743,0.010104228742420673,0.5308027863502502,0.5325343012809753,0.5356770157814026,0.542563796043396,0.5510507822036743,0.5571382641792297,0.562482476234436,0.5645579695701599,0.5680339336395264
1050,-0.550089955329895,0.0,0.0,0.0,0.5500900149345398,0.5512923002243042,0.010148582980036736,0.5308027863502502,0.5325343012809753,0.5356770157814026,0.5425927042961121,0.5512923002243042,0.5580748319625854,0.562482476234436,0.5645579695701599,0.5680339336395264
1100,-0.5502138137817383,0.0,0.0,0.0,0.5502138137817383,0.5512923002243042,0.010151972994208336,0.5308027863502502,0.5325343012809753,0.5356770157814026,0.5427269339561462,0.5512923002243042,0.5584319829940796,0.562482476234436,0.5645579695701599,0.5680339336395264
1150,-0.5505420565605164,0.0,0.0,0.0,0.5505420565605164,0.5513089895248413,0.010508283972740173,0.5308027863502502,0.5325343012809753,0.5356770157814026,0.5427269339561462,0.5513089895248413,0.5589942932128906,0.5631551742553711,0.5646576881408691,0.5695599913597107
1200,-0.5507724285125732,0.0,0.0,0.0,0.5507724285125732,0.5513089895248413,0.01047712005674839,0.5308027863502502,0.5325343012809753,0.5362789630889893,0.5435417890548706,0.5513089895248413,0.5590637922286987,0.5635276436805725,0.5647885799407959,0.5695599913597107
1250,-0.55098956823349,0.0,0.0,0.0,0.55098956823349,0.5514360666275024,0.010529127903282642,0.5316855907440186,0.5325343012809753,0.5362852215766907,0.5435417890548706,0.5514360666275024,0.5595177412033081,0.5635276436805725,0.5647885799407959,0.5695599913597107
1300,-0.551226019859314,0.0,0.0,0.0,0.551226019859314,0.5516810417175293,0.010576186701655388,0.5316855907440186,0.5325343012809753,0.5362852215766907,0.5435417890548706,0.5516810417175293,0.5598095655441284,0.5635276436805725,0.5647885799407959,0.5695599913597107
1350,-0.5513975620269775,0.0,0.0,0.0,0.5513975620269775,0.5518959760665894,0.010694585740566254,0.5316855907440186,0.5325343012809753,0.5362852215766907,0.5435417890548706,0.5518959760665894,0.5599479079246521,0.5638161897659302,0.5653203129768372,0.5695599913597107
1400,-0.5513975620269775,0.0,0.0,0.0,0.5513975620269775,0.5518959760665894,0.010694585740566254,0.5316855907440186,0.5325343012809753,0.5362852215766907,0.5435417890548706,0.5518959760665894,0.5599479079246521,0.5638161897659302,0.5653203129768372,0.5695599913597107
1450,-0.5514904856681824,0.0,0.0,0.0,0.5514904856681824,0.5525707006454468,0.010636206716299057,0.5319824814796448,0.5327510833740234,0.5362852215766907,0.544154942035675,0.5525707006454468,0.5599479079246521,0.5638161897659302,0.5653203129768372,0.5695599913597107
