step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
91,-73.76000213623047,31.99993324279785,2.121630907058716,44.251003810337615,-73.76000213623047,-73.0,11.581985473632812,-96.18000030517578,-94.0,-89.0999984741211,-81.0,-73.0,-65.0,-59.0,-56.0,-53.939998626708984
182,-78.76000213623047,31.999582290649414,2.383408784866333,44.22168786185129,-78.76000213623047,-77.5,10.649995803833008,-103.04000091552734,-99.1500015258789,-94.0,-85.25,-77.5,-72.0,-65.0,-63.95000076293945,-61.939998626708984
273,-82.41999816894531,31.999074935913086,2.6153383255004883,44.192714146205354,-82.41999816894531,-82.0,9.473309516906738,-103.04000091552734,-99.1500015258789,-95.0,-89.0,-82.0,-76.0,-71.80000305175781,-67.0,-66.95999908447266
364,-84.4800033569336,31.998952865600586,2.8450727462768555,44.16188212803432,-84.4800033569336,-83.0,10.22397232055664,-107.12000274658203,-103.05000305175781,-97.19999694824219,-90.0,-83.0,-77.75,-73.0,-69.94999694824219,-67.0
455,-87.08000183105469,31.998733520507812,3.043745279312134,44.13271386282785,-87.08000183105469,-86.0,10.712310791015625,-113.08000183105469,-107.25,-102.0,-92.0,-86.0,-80.0,-73.9000015258789,-73.0,-69.9800033569336
546,-88.54000091552734,31.998441696166992,3.2430591583251953,44.10182680402483,-88.54000091552734,-88.5,10.6069974899292,-115.04000091552734,-112.05000305175781,-103.0,-94.0,-88.5,-81.0,-74.9000015258789,-73.0,-72.9800033569336
637,-89.66000366210938,31.99802589416504,3.420301914215088,44.07210486275809,-89.66000366210938,-89.0,10.575651168823242,-115.04000091552734,-112.05000305175781,-103.0999984741211,-95.0,-89.0,-82.0,-75.0,-73.0,-72.9800033569336
728,-91.04000091552734,31.998018264770508,3.595973491668701,44.04156221662249,-91.04000091552734,-90.0,10.886614799499512,-117.04000091552734,-113.0,-105.0,-96.25,-90.0,-83.75,-75.9000015258789,-73.0,-72.9800033569336
819,-92.19999694824219,31.997543334960938,3.769310712814331,44.00928224836077,-92.19999694824219,-91.0,10.567875862121582,-117.04000091552734,-113.0,-105.19999694824219,-98.25,-91.0,-85.0,-80.80000305175781,-75.9000015258789,-73.0
910,-93.27999877929688,31.997236251831055,3.927938222885132,43.97886112758091,-93.27999877929688,-91.0,9.984067916870117,-117.04000091552734,-113.0,-106.0999984741211,-99.0,-91.0,-87.0,-81.0,-79.0,-74.0
1001,-93.77999877929688,31.99795150756836,4.088283538818359,43.94794028145926,-93.77999877929688,-92.0,9.917237281799316,-117.04000091552734,-113.0,-106.0999984741211,-101.0,-92.0,-87.0,-81.9000015258789,-79.94999694824219,-78.0
1092,-94.04000091552734,31.99799156188965,4.254190444946289,43.91432135445731,-94.04000091552734,-92.0,10.095464706420898,-117.04000091552734,-113.0,-107.4000015258789,-101.25,-92.0,-87.0,-81.9000015258789,-79.94999694824219,-78.0
1183,-95.0199966430664,31.99740219116211,4.401734352111816,43.88267026628767,-95.0199966430664,-93.0,9.901494979858398,-117.04000091552734,-113.0999984741211,-112.0,-101.25,-93.0,-88.75,-83.0,-81.0,-79.9800033569336
1274,-95.81999969482422,31.996793746948242,4.554026126861572,43.849176679338726,-95.81999969482422,-94.0,9.666831016540527,-117.04000091552734,-114.05000305175781,-112.0,-102.0,-94.0,-89.0,-84.80000305175781,-82.0,-81.0
