step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
91,-0.5643872618675232,149.92257690429688,10.331621170043945,139.75265502929688,0.5643872022628784,0.5639771223068237,0.010185174643993378,0.544779896736145,0.547857403755188,0.5522615313529968,0.5565778017044067,0.5639771223068237,0.572323739528656,0.5779184103012085,0.5798526406288147,0.5823805332183838
182,-0.5689623355865479,149.84100341796875,11.953730583190918,139.29053388323103,0.5689622759819031,0.5692583918571472,0.009148391894996166,0.5525692105293274,0.5546665787696838,0.5570904016494751,0.5624528527259827,0.5692583918571472,0.5754654407501221,0.5799570083618164,0.5846903920173645,0.5885780453681946
273,-0.5726259350776672,149.7626953125,13.35773754119873,138.8356650216239,0.572625994682312,0.5714424848556519,0.009763017296791077,0.5528915524482727,0.557653546333313,0.561959445476532,0.5661107301712036,0.5714424848556519,0.578139066696167,0.5855242013931274,0.5889179110527039,0.5931848883628845
364,-0.5750882625579834,149.684326171875,14.600520133972168,138.38678196498327,0.5750882625579834,0.5738556385040283,0.009069795720279217,0.5602405667304993,0.5619656443595886,0.5642476081848145,0.5690902471542358,0.5738556385040283,0.5799018144607544,0.5870822072029114,0.5894673466682434,0.5963681936264038
455,-0.5768330097198486,149.6038818359375,15.767179489135742,137.92863246372767,0.5768330097198486,0.5756760239601135,0.008207161910831928,0.5641649961471558,0.5648406147956848,0.5671979784965515,0.5713893175125122,0.5756760239601135,0.5823857188224792,0.5882049202919006,0.5906808972358704,0.5963681936264038
546,-0.5782812237739563,149.5287628173828,16.831832885742188,137.48575701032365,0.5782812237739563,0.577477216720581,0.008054052479565144,0.5641760230064392,0.5672186613082886,0.569200336933136,0.572822630405426,0.577477216720581,0.5840158462524414,0.5889296531677246,0.5916110277175903,0.5963681936264038
637,-0.5794500112533569,149.4485626220703,17.81752586364746,137.03917149135046,0.5794499516487122,0.5780657529830933,0.008408913388848305,0.5667663812637329,0.5681203007698059,0.5699478983879089,0.573063850402832,0.5780657529830933,0.5848478078842163,0.5901566743850708,0.5949220061302185,0.599795937538147
728,-0.5801630616188049,149.37783813476562,18.738460540771484,136.6094730922154,0.5801630616188049,0.5798068046569824,0.00848393328487873,0.5667663812637329,0.5681203007698059,0.5701720714569092,0.5735877752304077,0.5798068046569824,0.5849126577377319,0.5906026363372803,0.5960786938667297,0.599795937538147
819,-0.5811920762062073,149.2940673828125,19.62172508239746,136.15822056361608,0.5811920762062073,0.5811723470687866,0.008132820948958397,0.5676441192626953,0.5685799717903137,0.5708619952201843,0.5752871632575989,0.5811723470687866,0.5856292247772217,0.59067702293396,0.5960786938667297,0.599795937538147
910,-0.5820827484130859,149.21217346191406,20.469074249267578,135.71039254324776,0.5820826888084412,0.5820392370223999,0.00821723323315382,0.5681782960891724,0.5703662037849426,0.5726404190063477,0.5764496922492981,0.5820392370223999,0.5861020088195801,0.591093897819519,0.5963290333747864,0.6031540632247925
