step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
91,-70.95999908447266,31.980857849121094,2.280682325363159,44.21443067278181,-70.95999908447266,-71.0,11.811790466308594,-102.04000091552734,-91.1500015258789,-84.19999694824219,-77.0,-71.0,-63.0,-58.0,-55.95000076293945,-50.900001525878906
182,-78.22000122070312,31.96002197265625,2.6935195922851562,44.14271981375558,-78.22000122070312,-75.5,11.499199867248535,-111.0,-102.05000305175781,-93.0999984741211,-84.25,-75.5,-71.0,-66.0,-64.0,-62.900001525878906
273,-82.16000366210938,31.939563751220703,3.0526726245880127,44.071454184395925,-82.16000366210938,-80.0,10.819168090820312,-111.0,-104.05000305175781,-97.0999984741211,-89.0,-80.0,-74.75,-70.0,-68.94999694824219,-67.9800033569336
364,-84.22000122070312,31.918643951416016,3.3647003173828125,44.00021253313337,-84.22000122070312,-81.0,11.017786026000977,-111.08000183105469,-105.0999984741211,-99.0999984741211,-91.25,-81.0,-75.75,-72.9000015258789,-70.0,-69.95999908447266
455,-86.22000122070312,31.896944046020508,3.6601955890655518,43.92714854649135,-86.22000122070312,-84.0,10.825507164001465,-111.08000183105469,-107.0,-101.0999984741211,-93.0,-84.0,-77.0,-73.0,-72.94999694824219,-70.9800033569336
546,-88.72000122070312,31.87723159790039,3.9452569484710693,43.85332271030971,-88.72000122070312,-89.0,10.890436172485352,-111.08000183105469,-107.0,-103.0,-96.25,-89.0,-79.0,-75.0,-73.0,-71.9800033569336
637,-89.76000213623047,31.85530662536621,4.209221839904785,43.7776985168457,-89.76000213623047,-90.5,10.544305801391602,-111.08000183105469,-107.0,-103.0999984741211,-97.0,-90.5,-81.75,-75.9000015258789,-73.94999694824219,-72.0
728,-91.04000091552734,31.828243255615234,4.460534572601318,43.69535773141043,-91.04000091552734,-91.0,10.660130500793457,-115.0,-107.19999694824219,-105.0,-99.25,-91.0,-83.0,-77.0,-75.0,-73.0
819,-91.9000015258789,31.8001708984375,4.708867073059082,43.611048562186106,-91.9000015258789,-91.0,11.212047576904297,-115.0999984741211,-111.0999984741211,-105.0,-100.0,-91.0,-83.75,-77.0,-75.0,-73.9800033569336
910,-92.91999816894531,31.7659912109375,4.928359031677246,43.52237919398716,-92.91999816894531,-92.5,10.8937406539917,-115.0999984741211,-111.0999984741211,-105.19999694824219,-100.0,-92.5,-84.0,-79.0,-76.94999694824219,-74.9800033569336
1001,-93.33999633789062,31.73227310180664,5.144459247589111,43.43223244803293,-93.33999633789062,-92.5,10.492111206054688,-115.0999984741211,-111.0999984741211,-105.19999694824219,-100.0,-92.5,-85.0,-80.9000015258789,-77.0,-75.9800033569336
1092,-94.86000061035156,31.69350814819336,5.3476386070251465,43.337863377162385,-94.86000061035156,-94.5,10.969977378845215,-120.0,-115.0,-109.19999694824219,-101.0,-94.5,-87.5,-81.9000015258789,-77.0,-75.9800033569336
1183,-95.45999908447266,31.656688690185547,5.56012487411499,43.24096243722098,-95.45999908447266,-96.0,10.674661636352539,-120.0,-115.0,-109.19999694824219,-102.0,-96.0,-88.75,-82.0,-79.0,-75.9800033569336
1274,-96.30000305175781,31.610456466674805,5.741949558258057,43.1391966683524,-96.30000305175781,-96.0,10.228880882263184,-120.0,-115.0,-109.19999694824219,-102.25,-96.0,-89.75,-83.0,-79.0,-76.9800033569336
1365,-96.9800033569336,31.562034606933594,5.953671455383301,43.025108337402344,-96.9800033569336,-97.0,10.235214233398438,-120.0,-115.0,-111.0,-103.0,-97.0,-91.0,-83.9000015258789,-81.8499984741211,-76.9800033569336
1456,-97.37999725341797,31.503278732299805,6.148952484130859,42.900573185511995,-97.37999725341797,-97.0,10.410360336303711,-120.0,-115.0,-112.0,-104.0,-97.0,-91.0,-83.9000015258789,-81.8499984741211,-77.9800033569336
1547,-98.0,31.442964553833008,6.325812339782715,42.77819170270647,-98.0,-97.5,10.1607084274292,-120.0,-115.0,-112.0,-104.25,-97.5,-91.0,-86.0,-82.9000015258789,-77.9800033569336
