step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
20,-440.8199768066406,128.00596618652344,12.080810546875,176.547119140625,-440.82000732421875,-427.5,119.29647064208984,-708.0,-653.5999755859375,-608.0,-507.25,-427.5,-348.75,-302.1000061035156,-269.29998779296875,-226.94000244140625
40,-516.4400024414062,127.99254608154297,14.629551887512207,176.10334014892578,-516.4400024414062,-503.5,112.65206146240234,-735.5599975585938,-708.0,-684.0,-578.5,-503.5,-437.75,-400.70001220703125,-351.3999938964844,-328.9200134277344
60,-559.4400024414062,127.99296569824219,16.569944381713867,175.72193145751953,-559.4400024414062,-539.0,117.04530334472656,-847.280029296875,-774.0,-709.2999877929688,-620.0,-539.0,-480.0,-426.79998779296875,-408.6499938964844,-393.1600036621094
80,-578.97998046875,127.98519897460938,18.203353881835938,175.36322784423828,-578.97998046875,-564.0,107.06950378417969,-847.280029296875,-774.0,-709.2999877929688,-639.75,-564.0,-500.75,-459.6000061035156,-444.70001220703125,-433.70001220703125
100,-592.719970703125,127.98475646972656,19.418779373168945,175.06842803955078,-592.719970703125,-577.0,106.60356903076172,-847.280029296875,-774.5999755859375,-736.0999755859375,-647.5,-577.0,-504.5,-472.0,-451.0,-438.9800109863281
120,-606.6400146484375,127.98678588867188,20.67935562133789,174.75440979003906,-606.6400146484375,-596.0,105.61302185058594,-847.280029296875,-786.0999755859375,-746.0999755859375,-679.0,-596.0,-530.75,-480.5,-460.5,-438.9800109863281
140,-624.8599853515625,127.99028015136719,21.816774368286133,174.46794891357422,-624.8599853515625,-620.0,113.63036346435547,-910.1599731445312,-846.5,-764.0999755859375,-688.0,-620.0,-546.75,-486.0,-472.0,-450.8800048828125
160,-630.0,127.98452758789062,22.674612045288086,174.22315216064453,-630.0,-621.0,111.45545959472656,-910.1599731445312,-846.5,-764.0999755859375,-688.5,-621.0,-552.25,-496.5,-480.75,-463.6600036621094
180,-643.1400146484375,127.98117065429688,23.552324295043945,173.97435760498047,-643.1400146484375,-631.5,106.26805877685547,-910.1599731445312,-846.5,-767.7000122070312,-699.0,-631.5,-571.0,-527.7999877929688,-491.8500061035156,-480.6600036621094
200,-655.239990234375,127.97830200195312,24.37281608581543,173.71820068359375,-655.239990234375,-641.5,104.08373260498047,-910.1599731445312,-846.5,-786.2000122070312,-708.0,-641.5,-578.0,-535.5999755859375,-506.6499938964844,-482.9599914550781
220,-665.0799560546875,127.97147369384766,25.17354965209961,173.47626495361328,-665.0800170898438,-653.0,100.47245025634766,-910.1599731445312,-846.5,-795.2000122070312,-714.5,-653.0,-594.5,-548.7000122070312,-529.7000122070312,-506.70001220703125
240,-671.5799560546875,127.97982025146484,25.980575561523438,173.22958374023438,-671.5800170898438,-658.0,95.69066619873047,-910.1599731445312,-846.5,-795.2000122070312,-717.25,-658.0,-603.0,-564.5,-535.7999877929688,-523.6799926757812
260,-678.0399780273438,127.97819519042969,26.709667205810547,172.98712921142578,-678.0399780273438,-666.0,92.01129150390625,-910.1599731445312,-846.5,-795.2000122070312,-724.5,-666.0,-617.75,-573.9000244140625,-559.8499755859375,-535.9199829101562
280,-682.3200073242188,127.98051452636719,27.417238235473633,172.75613403320312,-682.3200073242188,-678.5,90.87077331542969,-910.1599731445312,-846.5,-795.2000122070312,-732.75,-678.5,-617.75,-574.0,-560.0,-549.719970703125
300,-690.719970703125,127.98163604736328,28.096569061279297,172.51067352294922,-690.719970703125,-686.0,91.71696472167969,-910.1599731445312,-856.25,-817.5,-736.25,-686.0,-622.0,-578.0,-569.75,-559.9400024414062
320,-695.5199584960938,127.98345947265625,28.785396575927734,172.26908111572266,-695.52001953125,-688.5,90.78462982177734,-910.1599731445312,-856.25,-823.0,-737.25,-688.5,-631.0,-582.5999755859375,-572.8499755859375,-559.9400024414062
340,-697.239990234375,128.00149536132812,29.45425033569336,172.0336685180664,-697.239990234375,-690.0,90.83271026611328,-910.1599731445312,-856.25,-823.0,-740.0,-690.0,-631.0,-582.5999755859375,-572.8499755859375,-559.9400024414062
360,-701.0199584960938,127.98689270019531,30.02094078063965,171.81456756591797,-701.02001953125,-692.0,87.9970474243164,-910.1599731445312,-856.25,-823.0,-740.0,-692.0,-641.25,-592.0999755859375,-572.8499755859375,-559.9400024414062
380,-708.8399658203125,127.99476623535156,30.673383712768555,171.58319854736328,-708.8400268554688,-698.0,85.18412017822266,-910.1599731445312,-856.25,-823.0,-747.75,-698.0,-653.75,-618.7000122070312,-577.75,-559.9400024414062
400,-710.239990234375,127.97938537597656,31.239389419555664,171.3511199951172,-710.239990234375,-700.0,84.3759536743164,-910.1599731445312,-856.25,-823.0,-748.5,-700.0,-654.0,-621.7999877929688,-577.75,-559.9400024414062
420,-717.4199829101562,127.96548461914062,31.811811447143555,171.12188720703125,-717.4199829101562,-714.0,84.33423614501953,-910.1599731445312,-862.75,-833.2999877929688,-756.25,-714.0,-659.0,-630.0999755859375,-596.0499877929688,-569.7999877929688
440,-725.1399536132812,127.96861267089844,32.42045211791992,170.89747619628906,-725.1400146484375,-720.5,79.5473403930664,-910.1599731445312,-862.75,-833.2999877929688,-761.25,-720.5,-667.5,-638.9000244140625,-621.9000244140625,-577.8400268554688
460,-728.8200073242188,127.96405029296875,32.95066452026367,170.6751937866211,-728.8200073242188,-722.0,80.4853286743164,-910.1599731445312,-892.2000122070312,-845.0999755859375,-766.25,-722.0,-671.0,-644.7000122070312,-630.4500122070312,-577.8400268554688
480,-730.0799560546875,127.96280670166016,33.55270004272461,170.42350006103516,-730.0800170898438,-725.0,79.53485870361328,-910.1599731445312,-892.2000122070312,-845.0999755859375,-766.25,-725.0,-672.5,-644.7000122070312,-630.4500122070312,-605.4400024414062
500,-734.4199829101562,127.96817016601562,34.00151824951172,170.2187957763672,-734.4199829101562,-727.5,79.1693344116211,-910.1599731445312,-892.2000122070312,-845.0999755859375,-779.25,-727.5,-677.0,-647.0,-634.7999877929688,-605.4400024414062
520,-737.219970703125,127.98255157470703,34.584720611572266,169.9743194580078,-737.219970703125,-728.0,79.29029846191406,-910.1599731445312,-892.2000122070312,-846.0,-782.0,-728.0,-677.75,-649.7000122070312,-638.7999877929688,-605.4400024414062
540,-740.8599853515625,127.98016357421875,35.07846450805664,169.76399993896484,-740.8599853515625,-728.0,79.63153076171875,-910.1599731445312,-892.2000122070312,-847.0,-793.25,-728.0,-683.75,-652.7000122070312,-641.8499755859375,-605.4400024414062
560,-744.3999633789062,127.98095703125,35.65262222290039,169.51201629638672,-744.4000244140625,-728.5,77.47954559326172,-910.1599731445312,-892.2000122070312,-847.0,-793.25,-728.5,-689.75,-655.9000244140625,-646.9000244140625,-637.8599853515625
580,-751.3399658203125,127.98486328125,36.278533935546875,169.2478485107422,-751.3400268554688,-739.5,76.90308380126953,-910.1599731445312,-892.2000122070312,-848.7999877929688,-804.5,-739.5,-697.75,-667.5,-649.8499755859375,-637.8599853515625
600,-756.5,127.98907470703125,36.82622528076172,169.0116424560547,-756.5,-752.5,77.60818481445312,-910.1599731445312,-892.2000122070312,-856.4000244140625,-806.5,-752.5,-701.75,-667.5,-649.8499755859375,-637.8599853515625
