step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
45,-61.779998779296875,31.969039916992188,2.1283206939697266,44.21740468343099,-61.779998779296875,-59.0,12.444742202758789,-87.0,-83.0999984741211,-80.0,-69.5,-59.0,-54.0,-46.0,-43.95000076293945,-39.939998626708984
90,-70.58000183105469,31.945220947265625,2.369398593902588,44.16690317789713,-70.58000183105469,-69.0,12.18292236328125,-96.05999755859375,-93.05000305175781,-87.0,-79.0,-69.0,-61.0,-56.900001525878906,-51.900001525878906,-47.959999084472656
135,-76.1199951171875,31.925735473632812,2.5536093711853027,44.12454350789388,-76.12000274658203,-75.0,13.979472160339355,-115.12000274658203,-99.4000015258789,-90.19999694824219,-82.25,-75.0,-68.0,-61.0,-58.0,-54.97999954223633
180,-77.58000183105469,31.905712127685547,2.739915370941162,44.08038584391276,-77.58000183105469,-75.0,13.484197616577148,-115.12000274658203,-99.4000015258789,-92.0999984741211,-83.0,-75.0,-69.0,-62.0,-61.0,-59.900001525878906
225,-79.69999694824219,31.885128021240234,2.9011666774749756,44.037558237711586,-79.69999694824219,-78.0,13.01345443725586,-115.12000274658203,-105.0999984741211,-95.0999984741211,-83.25,-78.0,-71.0,-67.9000015258789,-61.0,-61.0
270,-80.77999877929688,31.866863250732422,3.021381139755249,44.000038146972656,-80.77999877929688,-79.5,12.637704849243164,-115.12000274658203,-105.0999984741211,-95.0999984741211,-84.0,-79.5,-74.0,-68.0,-61.0,-61.0
315,-82.55999755859375,31.848976135253906,3.1527934074401855,43.961212158203125,-82.55999755859375,-81.0,11.970229148864746,-115.12000274658203,-105.0999984741211,-95.0999984741211,-87.0,-81.0,-75.0,-70.80000305175781,-67.94999694824219,-65.9000015258789
360,-83.73999786376953,31.830373764038086,3.276923894882202,43.921546936035156,-83.73999786376953,-81.0,12.162747383117676,-115.12000274658203,-107.05000305175781,-96.0,-90.25,-81.0,-76.0,-71.0,-68.0,-66.9800033569336
405,-85.29999542236328,31.812023162841797,3.3914954662323,43.882914225260414,-85.30000305175781,-83.0,11.830046653747559,-115.12000274658203,-107.05000305175781,-99.19999694824219,-92.0,-83.0,-77.75,-73.9000015258789,-70.9000015258789,-67.9800033569336
450,-86.31999969482422,31.788925170898438,3.5053718090057373,43.83921559651693,-86.31999969482422,-83.0,12.034018516540527,-115.12000274658203,-107.05000305175781,-102.0999984741211,-93.0,-83.0,-78.75,-73.9000015258789,-70.9000015258789,-67.9800033569336
495,-87.05999755859375,31.7662410736084,3.6124916076660156,43.79584248860677,-87.05999755859375,-84.0,11.6840238571167,-115.12000274658203,-107.05000305175781,-102.0999984741211,-93.0,-84.0,-79.75,-74.9000015258789,-71.94999694824219,-68.95999908447266
540,-87.69999694824219,31.74481773376465,3.731652021408081,43.75287373860677,-87.69999694824219,-86.0,11.702563285827637,-115.12000274658203,-107.05000305175781,-103.0,-93.5,-86.0,-80.75,-74.9000015258789,-71.94999694824219,-68.95999908447266
585,-88.47999572753906,31.723731994628906,3.8466546535491943,43.7085927327474,-88.4800033569336,-87.0,11.65030574798584,-115.12000274658203,-107.05000305175781,-103.0,-95.0,-87.0,-81.0,-76.69999694824219,-71.94999694824219,-68.95999908447266
630,-89.29999542236328,31.698423385620117,3.9489409923553467,43.66241200764974,-89.30000305175781,-87.5,11.519983291625977,-115.12000274658203,-107.05000305175781,-103.0,-95.0,-87.5,-82.0,-77.0,-73.94999694824219,-70.95999908447266
675,-89.72000122070312,31.673721313476562,4.0523176193237305,43.616355895996094,-89.72000122070312,-88.0,11.497895240783691,-115.12000274658203,-108.1500015258789,-103.19999694824219,-95.0,-88.0,-82.0,-77.9000015258789,-73.94999694824219,-71.9800033569336
720,-90.27999877929688,31.63858413696289,4.145548343658447,43.560263315836586,-90.27999877929688,-89.5,11.242846488952637,-115.12000274658203,-108.1500015258789,-103.19999694824219,-95.25,-89.5,-82.75,-78.0,-75.9000015258789,-72.95999908447266
