step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
60,-0.5411584377288818,127.52574920654297,11.113028526306152,176.21025594075522,0.5411584377288818,0.5401766300201416,0.008068883791565895,0.5259612798690796,0.5273774266242981,0.5318859219551086,0.5365843772888184,0.5401766300201416,0.5463773608207703,0.5522896647453308,0.5562232136726379,0.5572152733802795
120,-0.5466595888137817,127.02315521240234,13.840572357177734,175.28256225585938,0.5466596484184265,0.5459514856338501,0.007258999161422253,0.534794270992279,0.5358371138572693,0.5381439328193665,0.541321337223053,0.5459514856338501,0.5514520406723022,0.5565721988677979,0.5599328279495239,0.5623165965080261
180,-0.5495027303695679,126.4959716796875,15.995512008666992,174.33690897623697,0.5495027303695679,0.5497915148735046,0.007203731685876846,0.5373793244361877,0.5390332341194153,0.5402022004127502,0.544431209564209,0.5497915148735046,0.5540668368339539,0.5578537583351135,0.5610212683677673,0.5628184676170349
240,-0.5519760251045227,125.97882080078125,17.92864990234375,173.39124552408853,0.5519760251045227,0.5516631603240967,0.007742228452116251,0.5375356078147888,0.5406263470649719,0.5420544743537903,0.5460296273231506,0.5516631603240967,0.5565049648284912,0.5618579983711243,0.5630929470062256,0.57329922914505
300,-0.5540881156921387,125.46405029296875,19.63054084777832,172.4526621500651,0.5540881752967834,0.5539720058441162,0.007882812060415745,0.5418158173561096,0.5421712398529053,0.5438999533653259,0.5487704873085022,0.5539720058441162,0.5576521754264832,0.5637281537055969,0.5679571628570557,0.57329922914505
360,-0.5555765628814697,124.8761215209961,21.140979766845703,171.45445251464844,0.5555765628814697,0.5556409955024719,0.00778735987842083,0.5418211221694946,0.5434538125991821,0.5453001260757446,0.5501783490180969,0.5556409955024719,0.560553789138794,0.5651797652244568,0.5696191191673279,0.5740617513656616
420,-0.5580741167068481,124.34092712402344,22.489517211914062,170.51717631022134,0.5580741167068481,0.5573790669441223,0.007627709303051233,0.5434756278991699,0.5467627048492432,0.5486969947814941,0.5521973371505737,0.5573790669441223,0.5630402565002441,0.5684549808502197,0.5706212520599365,0.5744110941886902
480,-0.5603291988372803,123.7249984741211,23.696767807006836,169.510498046875,0.5603291988372803,0.560581624507904,0.007564798928797245,0.548694372177124,0.5495838522911072,0.5503103733062744,0.5539646744728088,0.560581624507904,0.565346360206604,0.5705317258834839,0.5733155012130737,0.5744953751564026
540,-0.5620468258857727,123.11279296875,24.783340454101562,168.5186513264974,0.5620468258857727,0.5623226165771484,0.008322770707309246,0.548694372177124,0.5495838522911072,0.5509248971939087,0.5561429858207703,0.5623226165771484,0.5678755640983582,0.5733543634414673,0.5762420296669006,0.5789336562156677
600,-0.5629929304122925,122.47297668457031,25.782812118530273,167.5019327799479,0.5629929304122925,0.5629084706306458,0.00792425125837326,0.5492584705352783,0.5507007837295532,0.5519769191741943,0.5570605397224426,0.5629084706306458,0.569106936454773,0.5733543634414673,0.5762420296669006,0.5789336562156677
