step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
21,-222.1999969482422,63.99971008300781,3.874706983566284,88.53813934326172,-222.1999969482422,-222.5,64.14405822753906,-359.3599853515625,-319.29998779296875,-304.20001220703125,-265.5,-222.5,-182.75,-150.3000030517578,-124.6500015258789,-81.9800033569336
42,-266.44000244140625,63.999412536621094,4.100519180297852,88.51519266764323,-266.44000244140625,-256.5,56.739986419677734,-384.260009765625,-366.04998779296875,-342.1000061035156,-304.5,-256.5,-224.0,-203.6999969482422,-190.9499969482422,-184.89999389648438
63,-278.239990234375,63.998779296875,4.323530673980713,88.49261728922527,-278.239990234375,-274.0,52.413761138916016,-397.2799987792969,-367.5,-343.3999938964844,-308.0,-274.0,-239.5,-221.0,-208.89999389648438,-195.9199981689453
84,-293.1000061035156,63.998741149902344,4.520339488983154,88.4705810546875,-293.1000061035156,-289.5,50.54552459716797,-402.17999267578125,-377.3500061035156,-359.1000061035156,-321.25,-289.5,-254.5,-230.89999389648438,-226.89999389648438,-210.9600067138672
105,-303.8800048828125,63.999305725097656,4.735115051269531,88.44690195719402,-303.8800048828125,-302.0,48.41905975341797,-406.1000061035156,-387.5,-366.1000061035156,-333.25,-302.0,-272.75,-239.6999969482422,-228.0,-217.94000244140625
126,-311.7200012207031,64.00028991699219,4.9372968673706055,88.42406972249348,-311.7200012207031,-307.0,50.17232131958008,-411.0,-402.1000061035156,-384.29998779296875,-341.5,-307.0,-281.0,-249.0,-230.9499969482422,-227.8000030517578
147,-314.91998291015625,64.00016021728516,5.110036373138428,88.40249125162761,-314.9200134277344,-309.0,47.7574462890625,-411.0,-402.1000061035156,-384.29998779296875,-343.25,-309.0,-285.0,-256.6000061035156,-237.0,-230.94000244140625
168,-320.6000061035156,64.00100708007812,5.288801670074463,88.38099161783855,-320.6000061035156,-315.5,46.46826934814453,-411.0,-402.1000061035156,-384.29998779296875,-347.0,-315.5,-290.75,-266.29998779296875,-248.39999389648438,-232.89999389648438
189,-325.32000732421875,64.00071716308594,5.4583964347839355,88.3592020670573,-325.32000732421875,-316.5,42.741519927978516,-411.0,-402.1000061035156,-384.29998779296875,-349.0,-316.5,-298.5,-275.6000061035156,-260.0,-256.6000061035156
210,-326.79998779296875,64.00011444091797,5.614581108093262,88.33685302734375,-326.79998779296875,-317.5,41.07432556152344,-411.0,-402.1000061035156,-384.29998779296875,-349.0,-317.5,-301.0,-282.0,-269.5,-257.9800109863281
231,-333.739990234375,63.99982833862305,5.76410436630249,88.31563059488933,-333.739990234375,-326.5,45.771522521972656,-429.9200134277344,-411.0,-394.29998779296875,-365.25,-326.5,-302.0,-284.70001220703125,-271.8999938964844,-259.94000244140625
252,-337.91998291015625,63.99949645996094,5.929744243621826,88.29237620035808,-337.9200134277344,-331.5,45.31151580810547,-429.9200134277344,-411.0,-397.5,-367.75,-331.5,-303.75,-285.8999938964844,-277.70001220703125,-259.94000244140625
273,-339.67999267578125,64.00006103515625,6.0764594078063965,88.2697525024414,-339.67999267578125,-331.5,43.2291259765625,-429.9200134277344,-411.0,-397.5,-367.75,-331.5,-304.75,-293.70001220703125,-284.8500061035156,-277.8399963378906
294,-340.44000244140625,63.99995040893555,6.219073295593262,88.24721272786458,-340.44000244140625,-331.5,43.18039321899414,-429.9200134277344,-411.0,-397.5,-370.25,-331.5,-305.75,-294.0,-284.8500061035156,-277.8399963378906
315,-343.67999267578125,64.00041198730469,6.365899085998535,88.22424062093098,-343.67999267578125,-334.0,43.992244720458984,-445.6000061035156,-411.6000061035156,-402.20001220703125,-371.0,-334.0,-309.0,-295.79998779296875,-287.8500061035156,-277.8399963378906
336,-345.94000244140625,64.00067138671875,6.512011528015137,88.20170338948567,-345.94000244140625,-334.5,43.72798156738281,-445.6000061035156,-423.29998779296875,-404.20001220703125,-371.0,-334.5,-314.75,-299.8999938964844,-293.8500061035156,-278.0
