step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
75,-281.5199890136719,62.637855529785156,14.088736534118652,84.85021057128907,-281.5199890136719,-276.0,51.73538589477539,-384.5,-370.45001220703125,-359.29998779296875,-313.0,-276.0,-241.0,-219.0,-214.95001220703125,-211.91998291015625
150,-309.5,61.4861946105957,18.6622257232666,81.66824035644531,-309.5,-306.5,48.1049919128418,-429.2799987792969,-384.6499938964844,-370.5,-334.75,-306.5,-276.75,-250.89999389648438,-237.80001831054688,-232.85997009277344
225,-329.41998291015625,60.46342849731445,21.706296920776367,78.84920501708984,-329.4200134277344,-321.0,48.83035659790039,-443.20001220703125,-429.5,-402.29998779296875,-361.25,-321.0,-295.75,-275.8999938964844,-259.0,-247.8999786376953
300,-351.7599792480469,59.3936882019043,24.01731300354004,76.10831451416016,-351.760009765625,-349.5,50.9427375793457,-461.1600036621094,-443.3500061035156,-420.8999938964844,-377.75,-349.5,-315.75,-298.6000061035156,-275.95001220703125,-269.5399169921875
375,-377.3999938964844,58.2408561706543,25.7583065032959,73.42153472900391,-377.3999938964844,-360.5,64.48829650878906,-559.8599853515625,-492.6999816894531,-461.5,-402.5,-360.5,-338.0,-311.79998779296875,-299.95001220703125,-286.89996337890625
450,-408.9599914550781,57.14229965209961,27.112960815429688,70.91378021240234,-408.9599914550781,-394.0,68.6488037109375,-602.02001953125,-531.25,-489.3999938964844,-455.25,-394.0,-356.0,-337.6000061035156,-320.95001220703125,-306.91998291015625
525,-438.67999267578125,56.0406379699707,28.236988067626953,68.43525695800781,-438.67999267578125,-436.0,68.8133544921875,-603.1799926757812,-582.6500244140625,-518.2999877929688,-475.0,-436.0,-389.5,-356.0,-350.95001220703125,-348.3198547363281
600,-466.6199951171875,54.985137939453125,29.22613525390625,66.01235961914062,-466.6199951171875,-458.0,64.95071411132812,-633.1199951171875,-595.0499877929688,-563.2000122070312,-499.5,-458.0,-417.75,-391.79998779296875,-383.10009765625,-359.91998291015625
675,-491.6999816894531,53.99928665161133,30.006254196166992,63.76168518066406,-491.70001220703125,-479.0,70.22000885009766,-670.2999877929688,-613.4000244140625,-582.7999877929688,-534.5,-479.0,-439.0,-411.70001220703125,-397.9000244140625,-389.6399230957031
750,-520.47998046875,53.030250549316406,30.593957901000977,61.60628967285156,-520.47998046875,-514.0,69.80249786376953,-700.1799926757812,-661.2999877929688,-610.5,-564.25,-514.0,-465.5,-446.70001220703125,-431.6500244140625,-418.8599853515625
825,-543.219970703125,51.97296142578125,30.958740234375,59.48513641357422,-543.219970703125,-529.0,73.12545013427734,-714.02001953125,-670.2999877929688,-640.0,-594.75,-529.0,-485.75,-457.8999938964844,-446.8500061035156,-437.89996337890625
900,-567.260009765625,51.00187301635742,31.295286178588867,57.50509185791016,-567.260009765625,-557.0,71.60273742675781,-715.3800048828125,-709.0,-667.2000122070312,-612.5,-557.0,-515.75,-474.70001220703125,-462.8000183105469,-452.0
975,-582.1599731445312,50.12360382080078,31.5317440032959,55.63678131103516,-582.1599731445312,-574.0,70.15835571289062,-746.219970703125,-713.2999877929688,-672.5,-622.25,-574.0,-530.0,-505.8999938964844,-491.550048828125,-460.9599914550781
1050,-600.0999755859375,49.35886764526367,31.793447494506836,53.919105529785156,-600.0999755859375,-593.5,69.3669204711914,-767.239990234375,-734.1500244140625,-684.7999877929688,-641.75,-593.5,-554.75,-523.7999877929688,-509.9000244140625,-492.3798828125
1125,-618.239990234375,48.57721710205078,31.978687286376953,52.24312133789063,-618.239990234375,-606.0,72.83160400390625,-776.0599975585938,-764.1500244140625,-716.3999633789062,-672.25,-606.0,-566.75,-529.7999877929688,-523.550048828125,-505.73992919921875
1200,-631.3200073242188,47.886966705322266,32.155982971191406,50.681523132324216,-631.3200073242188,-617.0,71.49655151367188,-777.0399780273438,-771.0499877929688,-736.7999877929688,-677.5,-617.0,-572.75,-547.9000244140625,-536.8500366210938,-525.7799682617188
1275,-646.8800048828125,47.15571594238281,32.25773239135742,49.10906753540039,-646.8800048828125,-635.5,71.32352447509766,-781.1199951171875,-777.0,-749.2000122070312,-699.25,-635.5,-597.0,-563.4000244140625,-547.7000122070312,-533.9400024414062
1350,-659.8200073242188,46.45729446411133,32.32041931152344,47.64746322631836,-659.8200073242188,-643.0,69.84373474121094,-813.4600219726562,-787.0999755859375,-770.0,-705.25,-643.0,-605.0,-579.0,-564.800048828125,-554.0
1425,-669.3999633789062,45.87685775756836,32.44765853881836,46.277896881103516,-669.4000244140625,-653.0,69.28968811035156,-813.4600219726562,-795.0499877929688,-781.2000122070312,-714.0,-653.0,-614.0,-588.2000122070312,-569.0,-559.9599609375
1500,-681.760009765625,45.228057861328125,32.432743072509766,44.95140838623047,-681.760009765625,-674.5,70.1971664428711,-835.4600219726562,-809.0999755859375,-787.0999755859375,-720.25,-674.5,-627.75,-594.9000244140625,-582.7000122070312,-575.8599853515625
1575,-695.260009765625,44.61861801147461,32.454933166503906,43.637953186035155,-695.260009765625,-687.5,74.1532974243164,-871.0599975585938,-832.25,-801.7999877929688,-742.75,-687.5,-636.75,-602.7999877929688,-593.75,-584.9400024414062
1650,-702.5199584960938,44.03609848022461,32.46030044555664,42.370487976074216,-702.52001953125,-692.5,74.96525573730469,-874.1400146484375,-840.0499877929688,-809.7000122070312,-745.0,-692.5,-639.0,-613.7000122070312,-600.9500122070312,-594.7999267578125
1725,-713.719970703125,43.445438385009766,32.46826934814453,41.08931274414063,-713.719970703125,-701.0,74.37217712402344,-896.1199951171875,-848.2000122070312,-809.7000122070312,-760.25,-701.0,-662.75,-623.7999877929688,-619.6000366210938,-608.9199829101562
1800,-724.3200073242188,42.8619499206543,32.415809631347656,39.846466064453125,-724.3200073242188,-709.0,72.83623504638672,-902.2999877929688,-871.0999755859375,-817.5,-765.0,-709.0,-671.0,-634.7999877929688,-625.9500122070312,-621.7799682617188
1875,-732.9199829101562,42.29730224609375,32.36888122558594,38.64516830444336,-732.9199829101562,-720.5,73.34367370605469,-912.0999755859375,-871.0999755859375,-835.0,-773.5,-720.5,-676.0,-644.5999755859375,-634.9500122070312,-625.97998046875
1950,-741.219970703125,41.76443862915039,32.340240478515625,37.49088592529297,-741.219970703125,-732.5,73.62887573242188,-929.4199829101562,-873.2999877929688,-835.0,-787.25,-732.5,-683.25,-664.0,-644.800048828125,-628.9400024414062
