step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
7,-332.5799865722656,0.0,0.0,176.8068389892578,-332.5799865722656,-324.0,156.8064422607422,-669.1799926757812,-604.4500122070312,-516.2000122070312,-414.25,-324.0,-227.75,-149.5,-111.15007781982422,-52.61991882324219
14,-399.6199951171875,0.0,0.0,176.4771270751953,-399.6199951171875,-379.5,134.70803833007812,-669.1799926757812,-653.0,-601.2000122070312,-484.0,-379.5,-295.75,-245.60000610351562,-223.7000274658203,-206.679931640625
21,-452.739990234375,0.0,0.0,176.16749572753906,-452.739990234375,-431.5,118.6430435180664,-683.8800048828125,-653.0499877929688,-614.8999633789062,-523.75,-431.5,-364.75,-330.4000244140625,-286.8500061035156,-268.81976318359375
28,-470.8599853515625,0.0,0.0,175.8634796142578,-470.8599853515625,-458.0,114.38768005371094,-705.4400024414062,-663.2000122070312,-632.0,-538.0,-458.0,-394.5,-334.70001220703125,-310.8500061035156,-291.89996337890625
35,-487.91998291015625,0.0,0.0,175.5412139892578,-487.9200134277344,-470.5,112.9592514038086,-720.1400146484375,-667.75,-639.2999877929688,-565.5,-470.5,-408.0,-352.8000183105469,-331.2000732421875,-310.61993408203125
42,-508.8599853515625,0.0,0.0,175.2361297607422,-508.8599853515625,-499.5,109.72520446777344,-754.4400024414062,-704.75,-653.0999755859375,-573.25,-499.5,-430.5,-370.70001220703125,-353.4000549316406,-331.6399230957031
49,-522.47998046875,0.0,0.0,174.93960571289062,-522.47998046875,-509.5,102.20748901367188,-754.4400024414062,-704.75,-653.0999755859375,-584.25,-509.5,-446.0,-407.0,-369.9000244140625,-353.75994873046875
56,-528.47998046875,0.0,0.0,174.6463623046875,-528.47998046875,-516.5,103.4764175415039,-776.8599853515625,-704.9000244140625,-653.0999755859375,-585.75,-516.5,-451.75,-408.0,-384.25006103515625,-353.75994873046875
63,-542.5199584960938,0.0,0.0,174.33509826660156,-542.52001953125,-538.0,98.50121307373047,-776.8599853515625,-704.9000244140625,-654.9000244140625,-592.75,-538.0,-477.75,-424.70001220703125,-397.3500671386719,-367.7199401855469
70,-552.1799926757812,0.0,0.0,174.03628540039062,-552.1799926757812,-540.5,92.62055969238281,-776.8599853515625,-704.9000244140625,-663.2000122070312,-605.5,-540.5,-496.75,-439.6000061035156,-421.50006103515625,-407.2398376464844
77,-568.4199829101562,0.0,0.0,173.74008178710938,-568.4199829101562,-555.0,103.19003295898438,-828.9600219726562,-755.0999755859375,-683.0999755859375,-639.0,-555.0,-499.75,-450.70001220703125,-428.6500244140625,-408.97998046875
84,-577.4599609375,0.0,0.0,173.43948364257812,-577.4600219726562,-564.5,99.23562622070312,-828.9600219726562,-755.0999755859375,-683.0999755859375,-639.0,-564.5,-505.5,-459.79998779296875,-430.9000244140625,-411.94000244140625
91,-585.2000122070312,0.0,0.0,173.13827514648438,-585.2000122070312,-576.5,99.46395874023438,-828.9600219726562,-755.0999755859375,-703.0999755859375,-642.0,-576.5,-512.0,-461.79998779296875,-435.7500305175781,-421.73992919921875
98,-598.5199584960938,0.0,0.0,172.84300231933594,-598.52001953125,-590.0,102.98877716064453,-828.9600219726562,-777.2999877929688,-722.0,-656.25,-590.0,-521.5,-473.5,-447.4000549316406,-428.59991455078125
105,-608.9400024414062,0.0,0.0,172.54672241210938,-608.9400024414062,-609.0,106.09315490722656,-850.52001953125,-802.8499755859375,-745.0,-670.5,-609.0,-529.75,-482.6000061035156,-457.50006103515625,-430.5599060058594
112,-613.2000122070312,0.0,0.0,172.24429321289062,-613.2000122070312,-609.0,104.49708557128906,-850.52001953125,-802.8499755859375,-745.0,-681.25,-609.0,-536.0,-491.20001220703125,-459.4000549316406,-430.5599060058594
119,-616.0199584960938,0.0,0.0,171.95587158203125,-616.02001953125,-609.0,103.99346160888672,-850.52001953125,-802.8499755859375,-745.0,-682.5,-609.0,-539.75,-495.6000061035156,-459.4000549316406,-430.5599060058594
126,-621.0999755859375,0.0,0.0,171.67172241210938,-621.0999755859375,-609.5,105.1573486328125,-850.52001953125,-819.4500122070312,-755.5999755859375,-693.0,-609.5,-550.0,-502.3000183105469,-459.4000549316406,-430.5599060058594
133,-627.1599731445312,0.0,0.0,171.38487243652344,-627.1599731445312,-617.5,102.5220718383789,-850.52001953125,-819.4500122070312,-759.2000122070312,-696.0,-617.5,-554.0,-507.6000061035156,-472.3500671386719,-435.89996337890625
140,-628.9199829101562,0.0,0.0,171.07012939453125,-628.9199829101562,-621.0,100.73009490966797,-850.52001953125,-819.4500122070312,-759.2000122070312,-696.0,-621.0,-557.75,-507.6000061035156,-495.15008544921875,-435.89996337890625
147,-633.739990234375,0.0,0.0,170.7724151611328,-633.739990234375,-628.5,102.9312973022461,-850.52001953125,-828.2000122070312,-770.5999755859375,-699.25,-628.5,-557.75,-507.6000061035156,-495.15008544921875,-435.89996337890625
154,-640.6599731445312,0.0,0.0,170.489013671875,-640.6599731445312,-641.0,100.41356658935547,-850.52001953125,-828.2000122070312,-770.5999755859375,-699.25,-641.0,-574.5,-511.6000061035156,-502.6500244140625,-435.89996337890625
161,-649.5399780273438,0.0,0.0,170.18948364257812,-649.5399780273438,-646.5,96.76666259765625,-850.52001953125,-828.2000122070312,-776.2999877929688,-703.25,-646.5,-585.75,-529.9000244140625,-504.0,-436.97998046875
168,-652.0599975585938,0.0,0.0,169.93421936035156,-652.0599975585938,-646.5,96.48003387451172,-850.52001953125,-828.2000122070312,-779.2999877929688,-704.75,-646.5,-585.75,-532.7000122070312,-504.0,-436.97998046875
175,-656.1799926757812,0.0,0.0,169.62269592285156,-656.1799926757812,-647.5,96.2752685546875,-850.52001953125,-828.2000122070312,-782.4000244140625,-710.0,-647.5,-590.0,-535.7000122070312,-504.0,-436.97998046875
182,-658.3999633789062,0.0,0.0,169.36363220214844,-658.4000244140625,-647.5,92.82909393310547,-850.52001953125,-828.2000122070312,-782.4000244140625,-710.0,-647.5,-590.0,-543.0,-529.5000610351562,-502.65972900390625
189,-662.0999755859375,0.0,0.0,169.101806640625,-662.0999755859375,-648.0,91.51693725585938,-850.52001953125,-828.2000122070312,-782.4000244140625,-710.0,-648.0,-607.0,-557.1000366210938,-532.8500366210938,-504.61968994140625
196,-666.5599975585938,0.0,0.0,168.8133544921875,-666.5599975585938,-652.0,92.80003356933594,-876.219970703125,-832.75,-787.2000122070312,-713.0,-652.0,-611.25,-563.4000244140625,-532.8500366210938,-504.61968994140625
203,-669.6400146484375,0.0,0.0,168.5167999267578,-669.6400146484375,-652.0,97.78604125976562,-887.5800170898438,-847.1500244140625,-798.4000244140625,-713.0,-652.0,-611.25,-565.7999877929688,-535.8500366210938,-504.61968994140625
210,-674.9599609375,0.0,0.0,168.24752807617188,-674.9600219726562,-658.0,97.76112365722656,-887.5800170898438,-847.1500244140625,-803.7000122070312,-724.75,-658.0,-618.5,-576.5999755859375,-548.3500366210938,-504.61968994140625
217,-681.7799682617188,0.0,0.0,167.97581481933594,-681.780029296875,-665.0,93.32562255859375,-887.5800170898438,-847.1500244140625,-803.7000122070312,-743.25,-665.0,-624.5,-581.9000244140625,-565.9000244140625,-532.4598999023438
224,-685.739990234375,0.0,0.0,167.69346618652344,-685.739990234375,-668.5,92.61087036132812,-887.5800170898438,-847.1500244140625,-819.9000244140625,-746.5,-668.5,-626.0,-585.9000244140625,-567.9000244140625,-535.9400024414062
