step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
49,-518.9199829101562,126.73146057128906,23.38815689086914,172.81316920689173,-518.9199829101562,-520.0,117.27213287353516,-748.7999877929688,-730.3499755859375,-676.2999877929688,-591.5,-520.0,-434.5,-365.6000061035156,-343.6500244140625,-304.3798828125
98,-582.6799926757812,125.64392852783203,31.064096450805664,169.03043474469865,-582.6799926757812,-571.5,96.95368957519531,-788.3800048828125,-748.6500244140625,-730.2000122070312,-632.25,-571.5,-518.5,-469.1000061035156,-450.2000732421875,-397.75994873046875
147,-616.719970703125,124.62799835205078,36.60272979736328,165.54127502441406,-616.719970703125,-600.0,87.56301879882812,-788.3800048828125,-761.5,-737.5,-675.25,-600.0,-558.25,-510.70001220703125,-481.8000183105469,-469.61993408203125
196,-638.239990234375,123.75165557861328,40.99068832397461,162.35202026367188,-638.239990234375,-626.5,82.48867797851562,-807.1400146484375,-777.5499877929688,-748.2000122070312,-686.5,-626.5,-581.0,-553.9000244140625,-515.7501220703125,-477.659912109375
245,-656.3399658203125,122.85111236572266,44.65185546875,159.25177219935827,-656.3400268554688,-661.5,77.48241424560547,-807.1400146484375,-777.5499877929688,-749.0999755859375,-705.0,-661.5,-600.0,-566.7999877929688,-551.85009765625,-477.659912109375
294,-682.5399780273438,122.01593017578125,47.648319244384766,156.4316689627511,-682.5399780273438,-682.0,72.77574157714844,-815.5,-804.1500244140625,-771.5999755859375,-724.5,-682.0,-626.75,-586.0,-574.75,-555.4798583984375
343,-706.0199584960938,121.2220687866211,50.27689743041992,153.7217755998884,-706.02001953125,-704.0,71.68569946289062,-889.1400146484375,-819.3499755859375,-797.0999755859375,-748.25,-704.0,-660.5,-616.0,-598.3500366210938,-574.8999633789062
392,-724.1199951171875,120.46540069580078,52.6480827331543,151.11573137555803,-724.1199951171875,-716.0,78.55867767333984,-896.6400146484375,-889.25,-819.7000122070312,-765.75,-716.0,-673.75,-619.9000244140625,-615.0,-593.7999267578125
441,-746.6199951171875,119.7188720703125,54.751163482666016,148.59644426618303,-746.6199951171875,-734.5,87.12895965576172,-979.6799926757812,-897.5999755859375,-862.0999755859375,-780.75,-734.5,-685.75,-651.5999755859375,-635.5000610351562,-617.8999633789062
490,-773.9199829101562,118.97506713867188,56.6071662902832,146.16487557547433,-773.9199829101562,-757.0,91.21070861816406,-979.6799926757812,-929.8499755859375,-896.0,-832.75,-757.0,-711.5,-677.5999755859375,-647.9500122070312,-625.8800048828125
539,-812.0399780273438,118.18119812011719,58.2597541809082,143.75892857142858,-812.0399780273438,-791.5,97.2713623046875,-1014.2200317382812,-979.0499877929688,-958.7000122070312,-877.0,-791.5,-741.75,-703.2000122070312,-684.75,-656.5798950195312
588,-845.9199829101562,117.4228515625,59.75271987915039,141.44540405273438,-845.9199829101562,-832.0,98.38309478759766,-1042.6400146484375,-998.75,-979.0999755859375,-919.5,-832.0,-767.0,-742.7999877929688,-722.75,-685.4198608398438
637,-893.8399658203125,116.69994354248047,61.14042663574219,139.20685250418526,-893.8400268554688,-880.5,107.46802520751953,-1139.199951171875,-1116.050048828125,-1020.5999755859375,-962.75,-880.5,-807.75,-767.5,-749.9000244140625,-730.8399658203125
686,-923.3800048828125,115.96048736572266,62.3358154296875,137.0470450265067,-923.3800048828125,-925.0,106.27388000488281,-1139.199951171875,-1116.050048828125,-1082.9000244140625,-980.5,-925.0,-862.5,-783.5999755859375,-751.9000244140625,-741.7799682617188
735,-955.9199829101562,115.24089050292969,63.44705581665039,134.94349016462053,-955.9199829101562,-957.5,103.48697662353516,-1150.719970703125,-1138.050048828125,-1101.0999755859375,-1014.25,-957.5,-887.0,-837.5999755859375,-785.3500366210938,-749.9599609375
784,-995.3399658203125,114.51681518554688,64.45696258544922,132.88382611955916,-995.3400268554688,-996.0,102.75039672851562,-1212.4599609375,-1149.8499755859375,-1136.199951171875,-1057.0,-996.0,-943.25,-860.5,-833.300048828125,-772.4998779296875
833,-1026.1600341796875,113.87860870361328,65.43033599853516,130.93805367606026,-1026.1600341796875,-1019.5,96.77838134765625,-1235.1800537109375,-1210.0999755859375,-1147.0999755859375,-1090.25,-1019.5,-962.0,-916.1000366210938,-880.9500732421875,-853.31982421875
