step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
140,-76.33999633789062,31.301362991333008,13.429648399353027,39.03535137176514,-76.33999633789062,-74.5,11.393173217773438,-103.04000091552734,-100.0999984741211,-92.0,-83.25,-74.5,-68.75,-63.900001525878906,-60.900001525878906,-58.0
280,-83.0,30.908275604248047,16.783092498779297,35.74655380249023,-83.0,-82.0,11.146299362182617,-105.0999984741211,-103.0999984741211,-99.0999984741211,-90.25,-82.0,-74.75,-69.9000015258789,-67.0,-64.95999908447266
420,-88.31999969482422,30.5255184173584,18.86151885986328,33.01983814239502,-88.31999969482422,-87.0,10.995344161987305,-116.0199966430664,-105.25,-103.0,-96.0,-87.0,-81.0,-74.9000015258789,-71.0,-68.94000244140625
560,-94.54000091552734,30.137624740600586,20.28044891357422,30.65281629562378,-94.54000091552734,-93.0,10.23466682434082,-117.0,-112.19999694824219,-110.0999984741211,-101.25,-93.0,-87.75,-82.0,-80.94999694824219,-76.95999908447266
700,-100.33999633789062,29.794126510620117,21.34343910217285,28.531077194213868,-100.33999633789062,-98.5,10.92357063293457,-119.16000366210938,-117.0,-116.0,-110.25,-98.5,-92.0,-87.9000015258789,-86.0,-80.9800033569336
840,-106.39999389648438,29.45775032043457,22.105621337890625,26.652673625946044,-106.4000015258789,-106.0,10.620735168457031,-127.0,-123.05000305175781,-120.0999984741211,-114.0,-106.0,-98.0,-92.0,-89.0,-87.95999908447266
980,-111.93999481201172,29.151290893554688,22.675180435180664,24.9908408164978,-111.94000244140625,-112.0,10.36129379272461,-133.0,-130.0500030517578,-127.0,-117.25,-112.0,-105.0,-97.0,-95.94999694824219,-93.0
1120,-117.31999969482422,28.808706283569336,23.06634521484375,23.458619689941408,-117.31999969482422,-117.0,10.837786674499512,-140.10000610351562,-135.0,-130.0,-124.0,-117.0,-109.0,-103.0,-99.0,-94.9800033569336
1260,-122.0,28.485614776611328,23.341108322143555,22.089747047424318,-122.0,-121.0,11.233877182006836,-145.0800018310547,-141.10000610351562,-134.10000610351562,-129.25,-121.0,-115.0,-107.0,-102.9000015258789,-100.9800033569336
1400,-126.0999984741211,28.201082229614258,23.579118728637695,20.826998710632324,-126.0999984741211,-126.0,11.28494644165039,-153.0399932861328,-145.0,-141.0,-133.25,-126.0,-119.0,-109.9000015258789,-107.0,-104.95999908447266
1540,-129.25999450683594,27.95033836364746,23.772796630859375,19.683088302612305,-129.25999450683594,-130.0,11.447813034057617,-154.02000427246094,-151.10000610351562,-143.0,-136.0,-130.0,-123.0,-113.9000015258789,-109.94999694824219,-107.0
1680,-131.8000030517578,27.68980598449707,23.902719497680664,18.606888008117675,-131.8000030517578,-131.0,12.12435531616211,-161.0,-154.0500030517578,-148.10000610351562,-138.25,-131.0,-124.75,-115.9000015258789,-111.0,-108.95999908447266
