step,best_fitness,avg_hamming,avg_l1,avg_entropy,mean,median,std,2%,5%,10%,25%,50%,75%,90%,95%,98%
15,-52.36000061035156,31.98158073425293,1.8020706176757812,44.263221232096356,-52.36000061035156,-50.5,16.078258514404297,-85.08000183105469,-80.0999984741211,-76.0999984741211,-63.25,-50.5,-41.0,-31.0,-29.900009155273438,-26.0
30,-61.31999969482422,31.967634201049805,1.8012917041778564,44.249298604329425,-61.31999969482422,-62.0,14.013479232788086,-89.04000091552734,-82.1500015258789,-79.0999984741211,-71.0,-62.0,-51.75,-42.900001525878906,-38.90000915527344,-34.89997863769531
45,-66.19999694824219,31.955114364624023,1.8005659580230713,44.236793518066406,-66.19999694824219,-66.0,12.59841251373291,-91.0,-89.0,-82.29999542236328,-76.0,-66.0,-56.75,-50.900001525878906,-47.0,-42.97999572753906
60,-68.26000213623047,31.944272994995117,1.7999556064605713,44.22596715291341,-68.26000213623047,-68.0,11.890012741088867,-91.0,-89.0,-84.0999984741211,-77.0,-68.0,-59.0,-53.0,-49.850013732910156,-42.97999572753906
75,-70.1199951171875,31.933441162109375,1.7993345260620117,44.21513977050781,-70.12000274658203,-70.0,11.614886283874512,-91.0,-89.0,-85.19999694824219,-78.25,-70.0,-63.0,-54.900001525878906,-51.95000457763672,-46.91998291015625
90,-72.63999938964844,31.924253463745117,1.7987953424453735,44.20595143636068,-72.63999938964844,-72.5,10.58821964263916,-91.0199966430664,-90.05000305175781,-88.0999984741211,-79.0,-72.5,-65.0,-58.900001525878906,-55.95000457763672,-53.0
105,-74.26000213623047,31.915637969970703,1.7982827425003052,44.19733581542969,-74.26000213623047,-74.5,11.011466979980469,-92.0,-91.0,-89.0,-81.25,-74.5,-67.0,-60.80000305175781,-56.90000915527344,-53.0
120,-76.43999481201172,31.906843185424805,1.7977888584136963,44.18853810628255,-76.44000244140625,-75.5,10.497923851013184,-92.36000061035156,-91.0,-89.0,-84.25,-75.5,-68.75,-64.0,-60.90000915527344,-56.959991455078125
135,-77.6199951171875,31.89733123779297,1.7972403764724731,44.17901891072591,-77.62000274658203,-76.5,11.033385276794434,-107.05999755859375,-94.0999984741211,-91.0,-85.0,-76.5,-70.0,-64.9000015258789,-62.95000457763672,-58.959991455078125
150,-78.1199951171875,31.88775634765625,1.7966933250427246,44.16943181355794,-78.12000274658203,-77.0,10.973859786987305,-107.05999755859375,-94.0999984741211,-91.0,-85.0,-77.0,-70.75,-65.0,-62.95000457763672,-58.959991455078125
165,-78.95999908447266,31.878795623779297,1.7962100505828857,44.16045455932617,-78.95999908447266,-78.0,10.755389213562012,-107.05999755859375,-94.0999984741211,-91.0,-86.25,-78.0,-71.75,-66.80000305175781,-63.0,-60.959991455078125
180,-79.55999755859375,31.87160873413086,1.7957760095596313,44.15326690673828,-79.55999755859375,-79.0,10.669882774353027,-107.05999755859375,-95.05000305175781,-91.0999984741211,-87.0,-79.0,-72.0,-67.0,-63.95000457763672,-60.959991455078125
195,-80.45999908447266,31.863868713378906,1.7953436374664307,44.145513916015624,-80.45999908447266,-79.5,10.537001609802246,-107.05999755859375,-95.05000305175781,-92.0,-87.0,-79.5,-74.0,-67.0,-63.95000457763672,-60.959991455078125
210,-81.6199951171875,31.85409164428711,1.7947731018066406,44.135719807942706,-81.62000274658203,-81.0,11.069580078125,-110.05999755859375,-106.05000305175781,-92.0999984741211,-88.25,-81.0,-74.75,-67.0,-64.95000457763672,-61.97999572753906
225,-82.29999542236328,31.84623146057129,1.7943153381347656,44.12784220377604,-82.30000305175781,-81.0,10.710275650024414,-110.05999755859375,-106.05000305175781,-93.0999984741211,-89.0,-81.0,-75.75,-68.0,-66.90000915527344,-63.959991455078125
240,-82.79999542236328,31.8388729095459,1.7938916683197021,44.12047119140625,-82.80000305175781,-81.0,10.58300495147705,-110.05999755859375,-106.05000305175781,-94.0999984741211,-89.0,-81.0,-76.0,-69.9000015258789,-67.0,-64.97999572753906
255,-83.23999786376953,31.832534790039062,1.7935374975204468,44.114114888509114,-83.23999786376953,-81.5,10.376049041748047,-110.05999755859375,-106.05000305175781,-95.0,-89.0,-81.5,-76.75,-71.9000015258789,-67.95000457763672,-66.93998718261719
270,-83.77999877929688,31.826738357543945,1.7932147979736328,44.108298238118486,-83.77999877929688,-82.0,10.019560813903809,-110.05999755859375,-106.05000305175781,-95.0,-89.0,-82.0,-77.0,-73.0,-68.95000457763672,-67.0
285,-84.15999603271484,31.8183650970459,1.7927296161651611,44.09990234375,-84.16000366210938,-82.5,9.849587440490723,-110.05999755859375,-106.05000305175781,-95.0,-89.25,-82.5,-77.0,-73.9000015258789,-69.95000457763672,-67.0
300,-84.6199951171875,31.80963134765625,1.7922335863113403,44.09113515218099,-84.62000274658203,-83.0,10.39305591583252,-113.0199966430664,-107.05000305175781,-95.0999984741211,-89.25,-83.0,-77.75,-73.9000015258789,-70.95000457763672,-67.0
315,-85.45999908447266,31.800981521606445,1.7917249202728271,44.08245315551758,-85.45999908447266,-84.5,10.455065727233887,-113.0199966430664,-107.05000305175781,-96.0999984741211,-90.25,-84.5,-78.0,-74.0,-71.0,-67.97999572753906
330,-85.65999603271484,31.79357147216797,1.791283369064331,44.075015258789065,-85.66000366210938,-84.5,10.37710952758789,-113.0199966430664,-107.05000305175781,-97.0,-91.0,-84.5,-78.0,-74.0,-72.90000915527344,-69.0
345,-86.1199951171875,31.785804748535156,1.7908222675323486,44.06722869873047,-86.12000274658203,-85.0,10.124505996704102,-113.0199966430664,-107.05000305175781,-97.0,-91.0,-85.0,-79.0,-74.0,-73.0,-70.95999145507812
360,-86.29999542236328,31.777244567871094,1.7903435230255127,44.05862223307292,-86.30000305175781,-85.5,10.053357124328613,-113.0199966430664,-107.05000305175781,-97.0,-91.0,-85.5,-79.0,-74.0,-73.0,-70.95999145507812
375,-86.45999908447266,31.76860237121582,1.7898616790771484,44.049930826822916,-86.45999908447266,-87.0,10.00541877746582,-113.0199966430664,-107.05000305175781,-97.0,-91.0,-87.0,-79.0,-75.80000305175781,-73.0,-70.95999145507812
390,-87.15999603271484,31.75945472717285,1.7893294095993042,44.04074376424153,-87.16000366210938,-87.0,9.988713264465332,-113.0199966430664,-107.05000305175781,-97.19999694824219,-91.0,-87.0,-81.0,-75.80000305175781,-73.0,-70.95999145507812
