instance,restart,runtime,score,filename
0,0,50000.0,0.7276290452083136,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-39_i_0_r_0.txt
0,1,50000.0,0.782522745047536,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_0_r_1.txt
0,2,50000.0,0.7445118768638362,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_0_r_2.txt
0,3,50000.0,0.7658841137282512,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_0_r_3.txt
0,4,50000.0,0.7313796662609112,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-39_i_0_r_4.txt
0,5,50000.0,0.7623216959848933,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-39_i_0_r_5.txt
0,6,50000.0,0.7606335601343038,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_0_r_6.txt
0,7,50000.0,0.7869636193027807,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_0_r_7.txt
0,8,50000.0,0.7518860770501278,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-53_i_0_r_8.txt
0,9,50000.0,0.7535845587513237,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-53_i_0_r_9.txt
1,0,50000.0,0.7663668116340576,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-39_i_1_r_0.txt
1,1,50000.0,0.7611534225455835,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_1_r_1.txt
1,2,50000.0,0.7594514626164113,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_1_r_2.txt
1,3,50000.0,0.7483519856812897,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_1_r_3.txt
1,4,50000.0,0.7574319481701588,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-39_i_1_r_4.txt
1,5,50000.0,0.7610805558060765,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-39_i_1_r_5.txt
1,6,50000.0,0.7524148751322578,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_1_r_6.txt
1,7,50000.0,0.7603622460606856,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_1_r_7.txt
1,8,50000.0,0.7738209711458284,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-53_i_1_r_8.txt
1,9,50000.0,0.7605098902881147,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-53_i_1_r_9.txt
2,0,50000.0,0.7591672387404708,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-39_i_2_r_0.txt
2,1,50000.0,0.7743783863519966,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_2_r_1.txt
2,2,50000.0,0.7453702940163927,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_2_r_2.txt
2,3,50000.0,0.7485994398349477,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_2_r_3.txt
2,4,50000.0,0.7425237938355836,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-39_i_2_r_4.txt
2,5,50000.0,0.7505682919622,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-39_i_2_r_5.txt
2,6,50000.0,0.7304474335994037,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_2_r_6.txt
2,7,50000.0,0.7469387447088893,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_2_r_7.txt
2,8,50000.0,0.772704058298777,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-53_i_2_r_8.txt
2,9,50000.0,0.760862643302489,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-53_i_2_r_9.txt
3,0,50000.0,0.7711662720399713,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-39_i_3_r_0.txt
3,1,50000.0,0.7469845557104737,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_3_r_1.txt
3,2,50000.0,0.7484400065123861,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_3_r_2.txt
3,3,50000.0,0.7571513845233717,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_3_r_3.txt
3,4,50000.0,0.7462336061965616,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-39_i_3_r_4.txt
3,5,50000.0,0.7453164370163571,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-39_i_3_r_5.txt
3,6,50000.0,0.7346738796030786,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_3_r_6.txt
3,7,50000.0,0.7485863627785471,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_3_r_7.txt
3,8,50000.0,0.7701225463098078,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-53_i_3_r_8.txt
3,9,50000.0,0.7455126217629381,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-53_i_3_r_9.txt
4,0,50000.0,0.7371109147163554,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-39_i_4_r_0.txt
4,1,50000.0,0.73081925370522,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_4_r_1.txt
4,2,50000.0,0.7670061759569101,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_4_r_2.txt
4,3,50000.0,0.7484913040942403,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_4_r_3.txt
4,4,50000.0,0.7437829076456703,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-39_i_4_r_4.txt
4,5,50000.0,0.7487734214543621,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-39_i_4_r_5.txt
4,6,50000.0,0.7505994238152444,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_4_r_6.txt
4,7,50000.0,0.7510552181221956,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_4_r_7.txt
4,8,50000.0,0.7448417328520572,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-53_i_4_r_8.txt
4,9,50000.0,0.7492085639072366,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-53_i_4_r_9.txt
5,0,50000.0,0.7618484589973693,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-39_i_5_r_0.txt
5,1,50000.0,0.7560785942104283,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_5_r_1.txt
5,2,50000.0,0.7740592270775067,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_5_r_2.txt
5,3,50000.0,0.7503548170606879,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_5_r_3.txt
5,4,50000.0,0.7717563531730445,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-39_i_5_r_4.txt
5,5,50000.0,0.7446466210921497,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-39_i_5_r_5.txt
5,6,50000.0,0.7547248888194367,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_5_r_6.txt
5,7,50000.0,0.7468895440645684,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_5_r_7.txt
5,8,50000.0,0.7610796761685235,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-53_i_5_r_8.txt
5,9,50000.0,0.7519207816497878,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-53_i_5_r_9.txt
6,0,50000.0,0.7457705257116525,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-39_i_6_r_0.txt
6,1,50000.0,0.7733385639465811,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_6_r_1.txt
6,2,50000.0,0.7677037357466727,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_6_r_2.txt
6,3,50000.0,0.7370094677635137,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_6_r_3.txt
6,4,50000.0,0.747842390442295,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-39_i_6_r_4.txt
6,5,50000.0,0.7489851228204903,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-39_i_6_r_5.txt
6,6,50000.0,0.7590034749203263,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_6_r_6.txt
6,7,50000.0,0.7293102134493145,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_6_r_7.txt
6,8,50000.0,0.7634903444498925,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-53_i_6_r_8.txt
6,9,50000.0,0.7662003980358635,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-53_i_6_r_9.txt
7,0,50000.0,0.7720156366276366,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-39_i_7_r_0.txt
7,1,50000.0,0.7399538413483241,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_7_r_1.txt
7,2,50000.0,0.759423399906023,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_7_r_2.txt
7,3,50000.0,0.7277922473784819,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_7_r_3.txt
7,4,50000.0,0.7449153685504195,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-39_i_7_r_4.txt
7,5,50000.0,0.7522594119591476,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-39_i_7_r_5.txt
7,6,50000.0,0.7551209387546568,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_7_r_6.txt
7,7,50000.0,0.7368996354779715,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_7_r_7.txt
7,8,50000.0,0.7523763219182028,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-53_i_7_r_8.txt
7,9,50000.0,0.7681411395085379,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-53_i_7_r_9.txt
8,0,50000.0,0.7314243422364545,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-39_i_8_r_0.txt
8,1,50000.0,0.7658968250298044,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_8_r_1.txt
8,2,50000.0,0.7755817377054723,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_8_r_2.txt
8,3,50000.0,0.7564099404925931,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_8_r_3.txt
8,4,50000.0,0.7711807437384296,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-39_i_8_r_4.txt
8,5,50000.0,0.7635586673391705,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-39_i_8_r_5.txt
8,6,50000.0,0.741061617884518,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_8_r_6.txt
8,7,50000.0,0.762938101345263,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-40_i_8_r_7.txt
8,8,50000.0,0.7368119751313266,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-53_i_8_r_8.txt
8,9,50000.0,0.7351492378704181,results_nevergrad_BigLognormalDiscreteOnePlusOne_NK3_128_8_budget_50000_2026-03-13_14-01-53_i_8_r_9.txt
