runtime,mean,count
100.0,784.46,100
200.0,885.14,100
300.0,964.54,100
400.0,1029.08,100
500.0,1095.46,100
600.0,1157.94,100
700.0,1212.94,100
800.0,1262.4,100
900.0,1310.78,100
1000.0,1369.08,100
1100.0,1433.06,100
1200.0,1487.64,100
1300.0,1540.48,100
1400.0,1595.4,100
1500.0,1645.8,100
1600.0,1689.28,100
1700.0,1743.2,100
1800.0,1790.9,100
1900.0,1839.28,100
2000.0,1887.74,100
2100.0,1941.6,100
2200.0,1988.02,100
2300.0,2030.82,100
2400.0,2064.74,100
2500.0,2098.82,100
2600.0,2132.54,100
2700.0,2162.78,100
2800.0,2186.56,100
2900.0,2210.9,100
3000.0,2233.76,100
3100.0,2252.38,100
3200.0,2272.76,100
3300.0,2288.56,100
3400.0,2300.96,100
3500.0,2313.38,100
3600.0,2324.02,100
3700.0,2333.12,100
3800.0,2342.3,100
3900.0,2350.92,100
4000.0,2359.14,100
4100.0,2366.9,100
4200.0,2372.08,100
4300.0,2377.14,100
4400.0,2383.3,100
4500.0,2388.06,100
4600.0,2391.56,100
4700.0,2396.78,100
4800.0,2400.54,100
4900.0,2405.06,100
5000.0,2409.12,100
5100.0,2414.12,100
5200.0,2419.26,100
5300.0,2423.3,100
5400.0,2427.22,100
5500.0,2430.82,100
5600.0,2434.52,100
5700.0,2439.7,100
5800.0,2443.82,100
5900.0,2446.98,100
6000.0,2450.58,100
6100.0,2453.86,100
6200.0,2457.74,100
6300.0,2461.64,100
6400.0,2465.22,100
6500.0,2468.16,100
6600.0,2471.84,100
6700.0,2475.92,100
6800.0,2479.18,100
6900.0,2482.72,100
7000.0,2486.34,100
7100.0,2490.1,100
7200.0,2493.3,100
7300.0,2496.72,100
7400.0,2500.16,100
7500.0,2503.82,100
7600.0,2506.2,100
7700.0,2508.86,100
7800.0,2511.78,100
7900.0,2514.84,100
8000.0,2518.16,100
8100.0,2522.46,100
8200.0,2524.54,100
8300.0,2527.96,100
8400.0,2530.18,100
8500.0,2533.26,100
8600.0,2536.12,100
8700.0,2538.56,100
8800.0,2540.26,100
8900.0,2543.0,100
9000.0,2545.1,100
9100.0,2547.32,100
9200.0,2549.28,100
9300.0,2552.04,100
9400.0,2554.74,100
9500.0,2556.84,100
9600.0,2559.54,100
9700.0,2562.06,100
9800.0,2564.16,100
9900.0,2566.64,100
10000.0,2569.9,100
10100.0,2571.96,100
10200.0,2574.04,100
10300.0,2576.12,100
10400.0,2577.78,100
10500.0,2579.62,100
10600.0,2582.26,100
10700.0,2584.82,100
10800.0,2587.02,100
10900.0,2589.1,100
11000.0,2590.58,100
11100.0,2591.8,100
11200.0,2593.44,100
11300.0,2595.3,100
11400.0,2597.38,100
11500.0,2599.0,100
11600.0,2601.24,100
11700.0,2602.96,100
11800.0,2604.08,100
11900.0,2605.08,100
12000.0,2606.7,100
12100.0,2608.6,100
12200.0,2609.98,100
12300.0,2611.36,100
12400.0,2612.4,100
12500.0,2613.6,100
12600.0,2614.62,100
12700.0,2615.46,100
12800.0,2616.84,100
12900.0,2617.94,100
13000.0,2618.72,100
13100.0,2620.1,100
13200.0,2621.82,100
13300.0,2622.7,100
13400.0,2623.66,100
13500.0,2625.18,100
13600.0,2626.94,100
13700.0,2627.92,100
13800.0,2629.04,100
13900.0,2630.04,100
14000.0,2631.54,100
14100.0,2632.96,100
14200.0,2633.9,100
14300.0,2634.88,100
14400.0,2635.9,100
14500.0,2636.92,100
14600.0,2637.8,100
14700.0,2638.68,100
14800.0,2639.46,100
14900.0,2640.18,100
15000.0,2641.3,100
15100.0,2642.14,100
15200.0,2642.88,100
15300.0,2643.38,100
15400.0,2644.2,100
15500.0,2645.26,100
15600.0,2645.82,100
15700.0,2646.42,100
15800.0,2647.32,100
15900.0,2648.02,100
16000.0,2648.7,100
16100.0,2649.42,100
16200.0,2650.12,100
16300.0,2650.58,100
16400.0,2651.28,100
16500.0,2651.72,100
16600.0,2652.32,100
16700.0,2652.94,100
16800.0,2653.3,100
16900.0,2653.94,100
17000.0,2654.38,100
17100.0,2655.12,100
17200.0,2656.52,100
17300.0,2656.98,100
17400.0,2657.18,100
17500.0,2657.48,100
17600.0,2657.96,100
17700.0,2658.58,100
17800.0,2658.8,100
17900.0,2659.3,100
18000.0,2660.08,100
18100.0,2660.44,100
18200.0,2660.86,100
18300.0,2661.3,100
18400.0,2661.8,100
18500.0,2662.2,100
18600.0,2662.6,100
18700.0,2662.96,100
18800.0,2663.26,100
18900.0,2663.78,100
19000.0,2664.4,100
19100.0,2664.98,100
