instance,restart,runtime,score,filename
0,0,50000.0,0.7835047287034076,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_0_r_0.txt
0,1,50000.0,0.7876881930211925,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_0_r_1.txt
0,2,50000.0,0.7652457896427681,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_0_r_2.txt
0,3,50000.0,0.7663926231672031,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_0_r_3.txt
0,4,50000.0,0.7742923258777448,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_0_r_4.txt
0,5,50000.0,0.7781268811609615,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_0_r_5.txt
0,6,50000.0,0.7739419135785252,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_0_r_6.txt
0,7,50000.0,0.7817220954585167,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_0_r_7.txt
0,8,50000.0,0.7726123140844849,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_0_r_8.txt
0,9,50000.0,0.7764869435246975,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_0_r_9.txt
1,0,50000.0,0.8102740811538514,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_1_r_0.txt
1,1,50000.0,0.7785869358264828,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_1_r_1.txt
1,2,50000.0,0.772303410738991,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_1_r_2.txt
1,3,50000.0,0.7899901663687089,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_1_r_3.txt
1,4,50000.0,0.774548388723069,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_1_r_4.txt
1,5,50000.0,0.7694466893626424,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_1_r_5.txt
1,6,50000.0,0.7665048514419872,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_1_r_6.txt
1,7,50000.0,0.7882343276952374,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_1_r_7.txt
1,8,50000.0,0.7816514197969455,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_1_r_8.txt
1,9,50000.0,0.7738665893572535,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_1_r_9.txt
2,0,50000.0,0.7843485441045592,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_2_r_0.txt
2,1,50000.0,0.7720496396977258,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_2_r_1.txt
2,2,50000.0,0.7659891715130336,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_2_r_2.txt
2,3,50000.0,0.7938692232577049,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_2_r_3.txt
2,4,50000.0,0.7793245704714876,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_2_r_4.txt
2,5,50000.0,0.7855419906725464,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_2_r_5.txt
2,6,50000.0,0.776563512462359,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_2_r_6.txt
2,7,50000.0,0.7855080911083844,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_2_r_7.txt
2,8,50000.0,0.7732902468168679,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_2_r_8.txt
2,9,50000.0,0.777738074682398,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_2_r_9.txt
3,0,50000.0,0.7836319832374948,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_3_r_0.txt
3,1,50000.0,0.7808907100900159,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_3_r_1.txt
3,2,50000.0,0.7821506700405284,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_3_r_2.txt
3,3,50000.0,0.7784068409364424,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_3_r_3.txt
3,4,50000.0,0.7814004377946188,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_3_r_4.txt
3,5,50000.0,0.7727546553802818,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_3_r_5.txt
3,6,50000.0,0.7789157834698647,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_3_r_6.txt
3,7,50000.0,0.7759273898826738,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_3_r_7.txt
3,8,50000.0,0.7726185698955061,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_3_r_8.txt
3,9,50000.0,0.776080171284957,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_3_r_9.txt
4,0,50000.0,0.7828438863040139,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_4_r_0.txt
4,1,50000.0,0.7945716848378689,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_4_r_1.txt
4,2,50000.0,0.7777589398532682,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_4_r_2.txt
4,3,50000.0,0.7700270985249523,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_4_r_3.txt
4,4,50000.0,0.7823508698734292,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_4_r_4.txt
4,5,50000.0,0.7804597982908138,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_4_r_5.txt
4,6,50000.0,0.7831613299043673,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_4_r_6.txt
4,7,50000.0,0.7814349591757092,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_4_r_7.txt
4,8,50000.0,0.7790519063237347,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_4_r_8.txt
4,9,50000.0,0.7671607209116245,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_4_r_9.txt
5,0,50000.0,0.7681734467057889,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_5_r_0.txt
5,1,50000.0,0.7786638417630322,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_5_r_1.txt
5,2,50000.0,0.7711177214939194,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_5_r_2.txt
5,3,50000.0,0.7698274071806834,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_5_r_3.txt
5,4,50000.0,0.7703599250394633,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_5_r_4.txt
5,5,50000.0,0.769768119353456,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_5_r_5.txt
5,6,50000.0,0.7941997240210654,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_5_r_6.txt
5,7,50000.0,0.7720048414764349,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_5_r_7.txt
5,8,50000.0,0.7718643878005631,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_5_r_8.txt
5,9,50000.0,0.7927042196101525,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_5_r_9.txt
6,0,50000.0,0.7835428116439775,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_6_r_0.txt
6,1,50000.0,0.7764993944179003,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_6_r_1.txt
6,2,50000.0,0.7739323806211577,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_6_r_2.txt
6,3,50000.0,0.7864623395202817,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_6_r_3.txt
6,4,50000.0,0.7692423140276123,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_6_r_4.txt
6,5,50000.0,0.7804393182189201,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_6_r_5.txt
6,6,50000.0,0.770768810755988,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_6_r_6.txt
6,7,50000.0,0.7922508878597389,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_6_r_7.txt
6,8,50000.0,0.7764968835774293,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_6_r_8.txt
6,9,50000.0,0.7818070606027377,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_6_r_9.txt
7,0,50000.0,0.7688218079096625,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_7_r_0.txt
7,1,50000.0,0.7766961654466593,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_7_r_1.txt
7,2,50000.0,0.7790411709825662,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_7_r_2.txt
7,3,50000.0,0.7997379018752013,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_7_r_3.txt
7,4,50000.0,0.7720249959981836,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_7_r_4.txt
7,5,50000.0,0.7675445567501532,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_7_r_5.txt
7,6,50000.0,0.7703705594113732,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_7_r_6.txt
7,7,50000.0,0.7764337441899908,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_7_r_7.txt
7,8,50000.0,0.77261950609266,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_7_r_8.txt
7,9,50000.0,0.7922145161820182,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_7_r_9.txt
8,0,50000.0,0.7903167343824854,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_8_r_0.txt
8,1,50000.0,0.7709280973402955,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_8_r_1.txt
8,2,50000.0,0.7675090049057858,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_8_r_2.txt
8,3,50000.0,0.7722487018265809,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_8_r_3.txt
8,4,50000.0,0.7705494729871307,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_8_r_4.txt
8,5,50000.0,0.7703286057698969,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_8_r_5.txt
8,6,50000.0,0.7696077250363397,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_8_r_6.txt
8,7,50000.0,0.7745615663608165,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_8_r_7.txt
8,8,50000.0,0.7776342404079022,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_8_r_8.txt
8,9,50000.0,0.7801844675657411,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_8_r_9.txt
9,0,50000.0,0.7680928052008977,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_9_r_0.txt
9,1,50000.0,0.7735512460228015,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_9_r_1.txt
9,2,50000.0,0.783140010756691,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_9_r_2.txt
9,3,50000.0,0.7751488505626647,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_9_r_3.txt
9,4,50000.0,0.7755823505272897,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_9_r_4.txt
9,5,50000.0,0.7904888076398174,results_nevergrad_DiscreteDE_NK3_64_8_budget_50000_2026-03-13_14-01-38_i_9_r_5.txt
