runtime,mean,count
100.0,248.14,100
200.0,257.7,100
300.0,267.6,100
400.0,280.8,100
500.0,290.08,100
600.0,303.26,100
700.0,315.62,100
800.0,328.78,100
900.0,339.34,100
1000.0,351.28,100
1100.0,363.76,100
1200.0,376.6,100
1300.0,385.76,100
1400.0,394.4,100
1500.0,407.22,100
1600.0,418.5,100
1700.0,427.86,100
1800.0,437.76,100
1900.0,452.08,100
2000.0,461.28,100
2100.0,472.52,100
2200.0,479.38,100
2300.0,490.4,100
2400.0,498.1,100
2500.0,507.72,100
2600.0,518.48,100
2700.0,529.56,100
2800.0,540.72,100
2900.0,546.74,100
3000.0,554.44,100
3100.0,562.54,100
3200.0,569.6,100
3300.0,578.68,100
3400.0,585.16,100
3500.0,591.16,100
3600.0,599.38,100
3700.0,606.18,100
3800.0,616.54,100
3900.0,624.38,100
4000.0,630.46,100
4100.0,634.94,100
4200.0,641.98,100
4300.0,649.0,100
4400.0,656.58,100
4500.0,661.86,100
4600.0,667.4,100
4700.0,674.04,100
4800.0,680.98,100
4900.0,687.34,100
5000.0,692.64,100
5100.0,697.46,100
5200.0,704.28,100
5300.0,709.88,100
5400.0,714.1,100
5500.0,717.92,100
5600.0,721.3,100
5700.0,727.1,100
5800.0,731.54,100
5900.0,736.76,100
6000.0,742.88,100
6100.0,748.04,100
6200.0,755.12,100
6300.0,761.02,100
6400.0,765.16,100
6500.0,768.98,100
6600.0,774.04,100
6700.0,778.48,100
6800.0,783.44,100
6900.0,787.14,100
7000.0,790.84,100
7100.0,794.38,100
7200.0,799.58,100
7300.0,802.36,100
7400.0,805.92,100
7500.0,810.2,100
7600.0,815.2,100
7700.0,818.78,100
7800.0,822.46,100
7900.0,826.06,100
8000.0,829.64,100
8100.0,833.64,100
8200.0,836.72,100
8300.0,841.1,100
8400.0,844.92,100
8500.0,848.02,100
8600.0,850.88,100
8700.0,856.7,100
8800.0,860.08,100
8900.0,864.04,100
9000.0,865.92,100
9100.0,869.64,100
9200.0,872.84,100
9300.0,877.42,100
9400.0,880.96,100
9500.0,883.48,100
9600.0,886.8,100
9700.0,890.7,100
9800.0,894.64,100
9900.0,897.14,100
10000.0,900.84,100
10100.0,902.82,100
10200.0,905.28,100
10300.0,909.22,100
10400.0,912.84,100
10500.0,915.06,100
10600.0,916.86,100
10700.0,919.18,100
10800.0,922.34,100
10900.0,925.14,100
11000.0,927.98,100
11100.0,931.08,100
11200.0,934.02,100
11300.0,936.7,100
11400.0,938.74,100
11500.0,941.8,100
11600.0,944.86,100
11700.0,947.3,100
11800.0,949.88,100
11900.0,952.86,100
12000.0,955.06,100
12100.0,958.94,100
12200.0,961.2,100
12300.0,965.2,100
12400.0,968.36,100
12500.0,970.54,100
12600.0,973.14,100
12700.0,974.54,100
12800.0,976.54,100
12900.0,978.92,100
13000.0,981.52,100
13100.0,984.68,100
13200.0,987.32,100
13300.0,990.24,100
13400.0,991.38,100
13500.0,993.68,100
13600.0,997.1,100
13700.0,999.04,100
13800.0,1000.42,100
13900.0,1001.86,100
14000.0,1003.36,100
14100.0,1006.3,100
14200.0,1008.78,100
14300.0,1009.98,100
14400.0,1012.24,100
14500.0,1014.22,100
14600.0,1015.78,100
14700.0,1017.02,100
14800.0,1018.7,100
14900.0,1020.66,100
15000.0,1022.06,100
15100.0,1024.0,100
15200.0,1025.92,100
15300.0,1028.3,100
15400.0,1029.86,100
15500.0,1032.38,100
15600.0,1033.9,100
15700.0,1035.02,100
15800.0,1037.72,100
15900.0,1040.84,100
16000.0,1041.98,100
16100.0,1043.8,100
16200.0,1045.32,100
16300.0,1047.98,100
16400.0,1049.24,100
16500.0,1051.32,100
16600.0,1052.28,100
16700.0,1053.36,100
16800.0,1055.0,100
16900.0,1055.96,100
17000.0,1057.04,100
17100.0,1058.36,100
17200.0,1059.0,100
17300.0,1061.06,100
17400.0,1062.6,100
17500.0,1064.42,100
17600.0,1065.3,100
17700.0,1067.2,100
17800.0,1068.08,100
17900.0,1069.76,100
18000.0,1071.64,100
18100.0,1073.22,100
18200.0,1074.62,100
18300.0,1076.44,100
18400.0,1078.52,100
18500.0,1079.4,100
18600.0,1080.22,100
18700.0,1081.5,100
18800.0,1083.4,100
18900.0,1085.26,100
19000.0,1085.84,100
19100.0,1086.96,100
19200.0,1087.98,100
19300.0,1089.88,100
19400.0,1091.34,100
19500.0,1092.44,100
19600.0,1093.7,100
19700.0,1095.22,100
19800.0,1096.72,100
19900.0,1097.98,100
20000.0,1099.94,100
20100.0,1101.32,100
20200.0,1102.02,100
20300.0,1102.7,100
20400.0,1103.68,100
20500.0,1104.94,100
20600.0,1106.74,100
20700.0,1107.86,100
20800.0,1108.44,100
20900.0,1109.54,100
21000.0,1110.46,100
21100.0,1111.98,100
21200.0,1113.64,100
21300.0,1114.18,100
21400.0,1115.56,100
21500.0,1116.3,100
21600.0,1117.06,100
21700.0,1118.16,100
21800.0,1118.9,100
21900.0,1120.52,100
22000.0,1121.0,100
22100.0,1122.14,100
22200.0,1123.62,100
22300.0,1124.74,100
22400.0,1125.82,100
22500.0,1127.08,100
22600.0,1129.14,100
22700.0,1130.38,100
22800.0,1131.16,100
22900.0,1132.36,100
23000.0,1133.3,100
23100.0,1134.52,100
23200.0,1135.4,100
23300.0,1136.04,100
23400.0,1136.8,100
23500.0,1137.84,100
23600.0,1138.8,100
23700.0,1139.5,100
23800.0,1139.82,100
23900.0,1141.64,100
24000.0,1142.3,100
24100.0,1143.54,100
24200.0,1144.56,100
24300.0,1145.78,100
24400.0,1146.6,100
24500.0,1147.04,100
24600.0,1148.32,100
24700.0,1149.12,100
24800.0,1149.62,100
24900.0,1149.98,100
25000.0,1151.08,100
25100.0,1151.62,100
25200.0,1152.4,100
25300.0,1153.76,100
25400.0,1154.46,100
25500.0,1155.56,100
25600.0,1155.92,100
25700.0,1157.36,100
25800.0,1158.32,100
25900.0,1159.58,100
26000.0,1159.98,100
26100.0,1160.9,100
26200.0,1161.8,100
26300.0,1162.34,100
26400.0,1162.84,100
26500.0,1163.78,100
26600.0,1164.42,100
26700.0,1165.38,100
26800.0,1166.0,100
26900.0,1166.46,100
27000.0,1167.0,100
27100.0,1168.16,100
27200.0,1168.66,100
27300.0,1169.06,100
27400.0,1169.66,100
27500.0,1170.74,100
27600.0,1171.58,100
27700.0,1171.94,100
27800.0,1172.56,100
27900.0,1173.16,100
28000.0,1173.96,100
28100.0,1174.82,100
28200.0,1175.16,100
28300.0,1176.16,100
28400.0,1176.76,100
28500.0,1177.16,100
28600.0,1177.86,100
28700.0,1179.14,100
28800.0,1179.74,100
28900.0,1180.78,100
29000.0,1181.66,100
29100.0,1182.6,100
29200.0,1183.32,100
29300.0,1183.98,100
29400.0,1185.28,100
29500.0,1186.04,100
29600.0,1186.7,100
29700.0,1187.32,100
29800.0,1187.74,100
29900.0,1188.1,100
30000.0,1188.68,100
30100.0,1189.68,100
30200.0,1190.06,100
30300.0,1190.42,100
30400.0,1190.9,100
30500.0,1191.34,100
30600.0,1191.64,100
30700.0,1192.4,100
30800.0,1193.2,100
30900.0,1193.9,100
31000.0,1194.5,100
31100.0,1195.1,100
31200.0,1195.48,100
31300.0,1196.36,100
31400.0,1196.8,100
31500.0,1197.44,100
31600.0,1198.26,100
31700.0,1198.6,100
31800.0,1199.56,100
31900.0,1199.76,100
32000.0,1200.1,100
32100.0,1200.54,100
32200.0,1200.78,100
32300.0,1201.48,100
32400.0,1202.06,100
32500.0,1202.82,100
32600.0,1203.66,100
32700.0,1204.68,100
32800.0,1205.3,100
32900.0,1205.58,100
33000.0,1206.14,100
33100.0,1206.68,100
33200.0,1207.22,100
33300.0,1207.9,100
33400.0,1208.22,100
33500.0,1208.56,100
33600.0,1208.9,100
33700.0,1209.2,100
33800.0,1209.62,100
33900.0,1210.16,100
34000.0,1210.42,100
34100.0,1210.92,100
34200.0,1211.32,100
34300.0,1211.7,100
34400.0,1212.24,100
34500.0,1212.6,100
34600.0,1213.18,100
34700.0,1213.72,100
34800.0,1214.46,100
34900.0,1215.1,100
35000.0,1215.56,100
35100.0,1216.28,100
35200.0,1216.78,100
35300.0,1216.96,100
35400.0,1217.6,100
35500.0,1217.76,100
35600.0,1218.2,100
35700.0,1218.56,100
35800.0,1219.62,100
35900.0,1219.88,100
36000.0,1220.02,100
36100.0,1220.3,100
36200.0,1220.58,100
36300.0,1221.1,100
36400.0,1221.74,100
36500.0,1222.06,100
36600.0,1222.5,100
36700.0,1223.24,100
36800.0,1223.82,100
36900.0,1224.72,100
37000.0,1224.88,100
37100.0,1225.18,100
37200.0,1226.28,100
37300.0,1226.7,100
37400.0,1227.28,100
37500.0,1227.42,100
37600.0,1227.78,100
37700.0,1228.3,100
37800.0,1228.82,100
37900.0,1229.04,100
38000.0,1229.26,100
38100.0,1229.54,100
38200.0,1229.72,100
38300.0,1230.4,100
38400.0,1230.64,100
38500.0,1231.18,100
38600.0,1231.52,100
38700.0,1231.66,100
38800.0,1231.92,100
38900.0,1232.14,100
39000.0,1232.68,100
39100.0,1233.22,100
39200.0,1233.58,100
39300.0,1233.7,100
39400.0,1233.9,100
39500.0,1234.36,100
39600.0,1234.78,100
39700.0,1235.46,100
39800.0,1235.94,100
39900.0,1236.34,100
40000.0,1236.66,100
40100.0,1237.04,100
40200.0,1237.28,100
40300.0,1237.68,100
40400.0,1238.14,100
40500.0,1238.36,100
40600.0,1238.64,100
40700.0,1239.78,100
40800.0,1240.04,100
40900.0,1240.12,100
41000.0,1240.44,100
41100.0,1240.8,100
41200.0,1241.06,100
41300.0,1241.54,100
41400.0,1241.78,100
41500.0,1242.08,100
41600.0,1242.56,100
41700.0,1243.06,100
41800.0,1243.14,100
41900.0,1243.44,100
42000.0,1244.46,100
42100.0,1244.92,100
42200.0,1245.22,100
42300.0,1245.68,100
42400.0,1246.16,100
42500.0,1246.6,100
42600.0,1247.12,100
42700.0,1247.34,100
42800.0,1247.52,100
42900.0,1247.96,100
43000.0,1248.24,100
43100.0,1248.34,100
43200.0,1248.42,100
43300.0,1249.56,100
43400.0,1249.94,100
43500.0,1250.28,100
43600.0,1250.88,100
43700.0,1251.2,100
43800.0,1251.7,100
43900.0,1251.86,100
44000.0,1252.06,100
44100.0,1252.38,100
44200.0,1252.74,100
44300.0,1252.92,100
44400.0,1253.14,100
44500.0,1253.2,100
44600.0,1253.54,100
44700.0,1254.04,100
44800.0,1254.24,100
44900.0,1254.56,100
45000.0,1254.94,100
45100.0,1255.56,100
45200.0,1255.72,100
45300.0,1255.76,100
45400.0,1256.76,100
45500.0,1256.9,100
45600.0,1257.46,100
45700.0,1257.72,100
45800.0,1258.16,100
45900.0,1258.34,100
46000.0,1258.44,100
46100.0,1258.78,100
46200.0,1258.98,100
46300.0,1259.14,100
46400.0,1259.76,100
46500.0,1260.0,100
46600.0,1260.3,100
46700.0,1260.6,100
46800.0,1260.88,100
46900.0,1261.14,100
47000.0,1261.36,100
47100.0,1261.76,100
47200.0,1261.9,100
47300.0,1261.98,100
47400.0,1262.02,100
47500.0,1262.36,100
47600.0,1262.52,100
47700.0,1262.84,100
47800.0,1262.98,100
47900.0,1263.06,100
48000.0,1263.3,100
48100.0,1263.62,100
48200.0,1263.82,100
48300.0,1264.18,100
48400.0,1264.72,100
48500.0,1265.16,100
48600.0,1265.38,100
48700.0,1265.66,100
48800.0,1266.26,100
48900.0,1266.66,100
49000.0,1266.9,100
49100.0,1267.44,100
49200.0,1267.74,100
49300.0,1268.1,100
49400.0,1268.44,100
49500.0,1268.86,100
49600.0,1269.2,100
49700.0,1269.34,100
49800.0,1269.48,100
49900.0,1269.66,100
50000.0,1270.22,100
