instance,restart,runtime,score,filename
0,0,50000.0,2778.0,results_nevergrad_DiscreteLengler2OnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-51-55_i_0_r_0.txt
0,1,50000.0,2748.0,results_nevergrad_DiscreteLengler2OnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-51-55_i_0_r_1.txt
0,2,50000.0,2680.0,results_nevergrad_DiscreteLengler2OnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-51-55_i_0_r_2.txt
0,3,50000.0,2796.0,results_nevergrad_DiscreteLengler2OnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-51-55_i_0_r_3.txt
0,4,50000.0,2768.0,results_nevergrad_DiscreteLengler2OnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-51-55_i_0_r_4.txt
0,5,50000.0,2358.0,results_nevergrad_DiscreteLengler2OnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-51-55_i_0_r_5.txt
0,6,50000.0,2682.0,results_nevergrad_DiscreteLengler2OnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-51-55_i_0_r_6.txt
0,7,50000.0,2558.0,results_nevergrad_DiscreteLengler2OnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-51-55_i_0_r_7.txt
0,8,50000.0,2696.0,results_nevergrad_DiscreteLengler2OnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-51-55_i_0_r_8.txt
0,9,50000.0,2978.0,results_nevergrad_DiscreteLengler2OnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-51-55_i_0_r_9.txt
1,0,50000.0,2630.0,results_nevergrad_DiscreteLengler2OnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-51-55_i_1_r_0.txt
1,1,50000.0,2622.0,results_nevergrad_DiscreteLengler2OnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-51-55_i_1_r_1.txt
1,2,50000.0,2650.0,results_nevergrad_DiscreteLengler2OnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-51-55_i_1_r_2.txt
