runtime,mean,count
100.0,295.02,100
200.0,358.16,100
300.0,424.8,100
400.0,487.64,100
500.0,539.8,100
600.0,589.62,100
700.0,641.76,100
800.0,682.1,100
900.0,723.74,100
1000.0,757.84,100
1100.0,789.1,100
1200.0,820.58,100
1300.0,848.34,100
1400.0,879.56,100
1500.0,906.4,100
1600.0,929.12,100
1700.0,950.52,100
1800.0,974.54,100
1900.0,992.16,100
2000.0,1011.48,100
2100.0,1030.52,100
2200.0,1044.8,100
2300.0,1062.24,100
2400.0,1077.72,100
2500.0,1093.36,100
2600.0,1105.48,100
2700.0,1118.74,100
2800.0,1130.36,100
2900.0,1143.42,100
3000.0,1152.88,100
3100.0,1162.5,100
3200.0,1174.44,100
3300.0,1184.0,100
3400.0,1191.88,100
3500.0,1199.58,100
3600.0,1205.86,100
3700.0,1211.18,100
3800.0,1217.0,100
3900.0,1224.7,100
4000.0,1231.36,100
4100.0,1236.68,100
4200.0,1241.76,100
4300.0,1245.82,100
4400.0,1249.22,100
4500.0,1252.86,100
4600.0,1255.06,100
4700.0,1257.6,100
4800.0,1260.06,100
4900.0,1261.78,100
5000.0,1264.06,100
5100.0,1265.96,100
5200.0,1267.32,100
5300.0,1268.72,100
5400.0,1269.82,100
5500.0,1270.56,100
5600.0,1271.28,100
5700.0,1271.98,100
5800.0,1272.28,100
5900.0,1272.88,100
6000.0,1273.52,100
6100.0,1273.78,100
6200.0,1274.3,100
6300.0,1274.62,100
6400.0,1274.84,100
6500.0,1275.6,100
6600.0,1275.86,100
6700.0,1276.38,100
6800.0,1276.76,100
6900.0,1277.18,100
7000.0,1277.8,100
7100.0,1278.48,100
7200.0,1278.96,100
7300.0,1280.08,100
7400.0,1280.74,100
7500.0,1281.16,100
7600.0,1282.22,100
7700.0,1282.84,100
7800.0,1283.68,100
7900.0,1284.22,100
8000.0,1285.0,100
8100.0,1285.48,100
8200.0,1286.0,100
8300.0,1286.72,100
8400.0,1287.38,100
8500.0,1288.2,100
8600.0,1288.72,100
8700.0,1289.36,100
8800.0,1289.84,100
8900.0,1290.36,100
9000.0,1290.94,100
9100.0,1291.58,100
9200.0,1292.12,100
9300.0,1292.56,100
9400.0,1292.94,100
9500.0,1293.34,100
9600.0,1293.84,100
9700.0,1294.24,100
9800.0,1294.7,100
9900.0,1294.96,100
10000.0,1295.62,100
10100.0,1295.96,100
10200.0,1296.62,100
10300.0,1297.06,100
10400.0,1297.5,100
10500.0,1297.92,100
10600.0,1298.48,100
10700.0,1298.96,100
10800.0,1299.52,100
10900.0,1300.52,100
11000.0,1301.46,100
