instance,restart,runtime,score,filename
0,0,50000.0,0.6029285625,results_nevergrad_DiscreteLenglerOnePlusOneT_NK_64_1_budget_50000_2026-03-09_20-36-15_i_0_r_0.txt
0,1,50000.0,0.6187697812499997,results_nevergrad_DiscreteLenglerOnePlusOneT_NK_64_1_budget_50000_2026-03-09_20-36-15_i_0_r_1.txt
0,2,50000.0,0.611568765625,results_nevergrad_DiscreteLenglerOnePlusOneT_NK_64_1_budget_50000_2026-03-09_20-36-15_i_0_r_2.txt
0,3,50000.0,0.606776671875,results_nevergrad_DiscreteLenglerOnePlusOneT_NK_64_1_budget_50000_2026-03-09_20-36-15_i_0_r_3.txt
0,4,50000.0,0.6152302968750001,results_nevergrad_DiscreteLenglerOnePlusOneT_NK_64_1_budget_50000_2026-03-09_20-36-15_i_0_r_4.txt
0,5,50000.0,0.6140246875,results_nevergrad_DiscreteLenglerOnePlusOneT_NK_64_1_budget_50000_2026-03-09_20-36-15_i_0_r_5.txt
0,6,50000.0,0.61549384375,results_nevergrad_DiscreteLenglerOnePlusOneT_NK_64_1_budget_50000_2026-03-09_20-36-15_i_0_r_6.txt
0,7,50000.0,0.6054630312500001,results_nevergrad_DiscreteLenglerOnePlusOneT_NK_64_1_budget_50000_2026-03-09_20-36-15_i_0_r_7.txt
0,8,50000.0,0.608025765625,results_nevergrad_DiscreteLenglerOnePlusOneT_NK_64_1_budget_50000_2026-03-09_20-36-15_i_0_r_8.txt
0,9,50000.0,0.6214495156250002,results_nevergrad_DiscreteLenglerOnePlusOneT_NK_64_1_budget_50000_2026-03-09_20-36-15_i_0_r_9.txt
1,0,50000.0,0.5663906875,results_nevergrad_DiscreteLenglerOnePlusOneT_NK_64_1_budget_50000_2026-03-09_20-36-16_i_1_r_0.txt
1,1,50000.0,0.5624246093749999,results_nevergrad_DiscreteLenglerOnePlusOneT_NK_64_1_budget_50000_2026-03-09_20-36-23_i_1_r_1.txt
1,2,50000.0,0.5776092499999999,results_nevergrad_DiscreteLenglerOnePlusOneT_NK_64_1_budget_50000_2026-03-09_20-36-23_i_1_r_2.txt
1,3,50000.0,0.5829017812499999,results_nevergrad_DiscreteLenglerOnePlusOneT_NK_64_1_budget_50000_2026-03-09_20-36-23_i_1_r_3.txt
1,4,50000.0,0.5713883125000001,results_nevergrad_DiscreteLenglerOnePlusOneT_NK_64_1_budget_50000_2026-03-09_20-36-23_i_1_r_4.txt
1,5,50000.0,0.5676679062499999,results_nevergrad_DiscreteLenglerOnePlusOneT_NK_64_1_budget_50000_2026-03-09_20-36-23_i_1_r_5.txt
1,6,50000.0,0.5944391406249999,results_nevergrad_DiscreteLenglerOnePlusOneT_NK_64_1_budget_50000_2026-03-09_20-36-23_i_1_r_6.txt
