instance,restart,runtime,score,filename
0,0,50000.0,174.0,results_nevergrad_DiscreteLenglerOnePlusOneT_QUBO_128_3_budget_50000_2026-03-10_12-15-50_i_0_r_0.txt
0,1,50000.0,204.0,results_nevergrad_DiscreteLenglerOnePlusOneT_QUBO_128_3_budget_50000_2026-03-10_12-15-50_i_0_r_1.txt
0,2,50000.0,194.0,results_nevergrad_DiscreteLenglerOnePlusOneT_QUBO_128_3_budget_50000_2026-03-10_12-15-50_i_0_r_2.txt
0,3,50000.0,220.0,results_nevergrad_DiscreteLenglerOnePlusOneT_QUBO_128_3_budget_50000_2026-03-10_12-15-50_i_0_r_3.txt
0,4,50000.0,148.0,results_nevergrad_DiscreteLenglerOnePlusOneT_QUBO_128_3_budget_50000_2026-03-10_12-15-50_i_0_r_4.txt
0,5,50000.0,148.0,results_nevergrad_DiscreteLenglerOnePlusOneT_QUBO_128_3_budget_50000_2026-03-10_12-15-50_i_0_r_5.txt
0,6,50000.0,304.0,results_nevergrad_DiscreteLenglerOnePlusOneT_QUBO_128_3_budget_50000_2026-03-10_12-15-50_i_0_r_6.txt
0,7,50000.0,258.0,results_nevergrad_DiscreteLenglerOnePlusOneT_QUBO_128_3_budget_50000_2026-03-10_12-15-50_i_0_r_7.txt
0,8,50000.0,158.0,results_nevergrad_DiscreteLenglerOnePlusOneT_QUBO_128_3_budget_50000_2026-03-10_12-15-50_i_0_r_8.txt
0,9,50000.0,202.0,results_nevergrad_DiscreteLenglerOnePlusOneT_QUBO_128_3_budget_50000_2026-03-10_12-15-50_i_0_r_9.txt
1,0,50000.0,335.0,results_nevergrad_DiscreteLenglerOnePlusOneT_QUBO_128_3_budget_50000_2026-03-10_12-15-50_i_1_r_0.txt
1,1,50000.0,315.0,results_nevergrad_DiscreteLenglerOnePlusOneT_QUBO_128_3_budget_50000_2026-03-10_12-15-50_i_1_r_1.txt
1,2,50000.0,329.0,results_nevergrad_DiscreteLenglerOnePlusOneT_QUBO_128_3_budget_50000_2026-03-10_12-15-50_i_1_r_2.txt
