runtime,mean,count
100.0,967.04,100
200.0,1396.38,100
300.0,1622.36,100
400.0,1771.42,100
500.0,1855.0,100
600.0,1908.08,100
700.0,1940.06,100
800.0,1966.4,100
900.0,1983.06,100
1000.0,1997.34,100
1100.0,2011.86,100
1200.0,2027.7,100
1300.0,2043.7,100
1400.0,2056.6,100
1500.0,2066.86,100
1600.0,2076.22,100
1700.0,2082.58,100
1800.0,2090.5,100
1900.0,2100.06,100
2000.0,2107.34,100
2100.0,2118.14,100
2200.0,2124.76,100
2300.0,2135.38,100
2400.0,2143.58,100
2500.0,2151.38,100
2600.0,2159.96,100
2700.0,2166.9,100
2800.0,2174.84,100
2900.0,2180.7,100
3000.0,2185.46,100
3100.0,2192.42,100
3200.0,2200.02,100
3300.0,2207.68,100
3400.0,2212.98,100
3500.0,2218.16,100
3600.0,2224.92,100
3700.0,2230.06,100
3800.0,2234.56,100
3900.0,2240.94,100
4000.0,2247.0,100
4100.0,2251.98,100
4200.0,2257.84,100
4300.0,2264.12,100
4400.0,2269.0,100
4500.0,2274.16,100
4600.0,2280.1,100
4700.0,2285.9,100
4800.0,2290.32,100
4900.0,2294.94,100
5000.0,2298.08,100
5100.0,2301.64,100
5200.0,2306.02,100
5300.0,2309.86,100
5400.0,2313.82,100
5500.0,2321.18,100
5600.0,2327.18,100
5700.0,2331.1,100
5800.0,2334.8,100
5900.0,2339.0,100
6000.0,2343.78,100
6100.0,2348.08,100
6200.0,2351.92,100
6300.0,2354.08,100
6400.0,2359.64,100
6500.0,2362.94,100
6600.0,2366.06,100
6700.0,2369.44,100
6800.0,2374.42,100
6900.0,2377.44,100
7000.0,2380.54,100
7100.0,2384.38,100
7200.0,2388.18,100
7300.0,2390.92,100
7400.0,2393.86,100
7500.0,2397.34,100
7600.0,2400.34,100
7700.0,2403.98,100
7800.0,2407.02,100
7900.0,2409.74,100
8000.0,2412.58,100
8100.0,2417.2,100
8200.0,2419.82,100
8300.0,2422.8,100
8400.0,2425.34,100
8500.0,2427.76,100
8600.0,2430.48,100
8700.0,2432.62,100
8800.0,2434.5,100
8900.0,2436.48,100
9000.0,2438.2,100
9100.0,2440.32,100
9200.0,2442.94,100
9300.0,2445.0,100
9400.0,2447.2,100
9500.0,2449.78,100
9600.0,2451.72,100
9700.0,2453.48,100
9800.0,2455.4,100
9900.0,2458.14,100
10000.0,2460.06,100
10100.0,2462.84,100
10200.0,2464.32,100
10300.0,2465.94,100
10400.0,2467.6,100
10500.0,2469.34,100
10600.0,2471.04,100
10700.0,2472.88,100
10800.0,2474.68,100
10900.0,2476.54,100
11000.0,2478.12,100
11100.0,2479.58,100
11200.0,2480.86,100
11300.0,2482.72,100
11400.0,2484.1,100
11500.0,2485.38,100
11600.0,2487.42,100
11700.0,2488.82,100
11800.0,2490.4,100
11900.0,2491.82,100
12000.0,2493.3,100
12100.0,2495.44,100
12200.0,2497.42,100
12300.0,2498.56,100
12400.0,2500.24,100
12500.0,2501.58,100
12600.0,2502.94,100
12700.0,2504.0,100
12800.0,2505.48,100
12900.0,2507.08,100
13000.0,2507.96,100
13100.0,2509.0,100
13200.0,2509.62,100
13300.0,2510.88,100
13400.0,2511.84,100
13500.0,2513.22,100
13600.0,2514.36,100
13700.0,2515.36,100
13800.0,2516.2,100
13900.0,2517.42,100
14000.0,2518.18,100
14100.0,2518.88,100
14200.0,2519.9,100
14300.0,2520.88,100
14400.0,2521.12,100
14500.0,2521.76,100
14600.0,2522.26,100
14700.0,2523.78,100
14800.0,2525.14,100
14900.0,2526.02,100
15000.0,2526.76,100
15100.0,2527.74,100
15200.0,2528.74,100
15300.0,2529.52,100
15400.0,2530.38,100
15500.0,2531.44,100
15600.0,2531.86,100
15700.0,2532.38,100
15800.0,2533.12,100
15900.0,2534.14,100
16000.0,2534.68,100
16100.0,2535.04,100
16200.0,2535.7,100
16300.0,2535.94,100
16400.0,2537.16,100
16500.0,2537.92,100
16600.0,2538.46,100
16700.0,2538.86,100
16800.0,2539.72,100
16900.0,2540.26,100
17000.0,2540.76,100
17100.0,2541.32,100
17200.0,2541.78,100
17300.0,2542.4,100
17400.0,2542.94,100
17500.0,2543.7,100
17600.0,2544.54,100
17700.0,2545.24,100
17800.0,2545.6,100
17900.0,2546.04,100
18000.0,2546.52,100
18100.0,2547.02,100
18200.0,2547.58,100
18300.0,2548.08,100
18400.0,2548.9,100
18500.0,2549.26,100
18600.0,2549.54,100
18700.0,2549.78,100
18800.0,2550.08,100
18900.0,2550.46,100
19000.0,2550.8,100
19100.0,2551.04,100
19200.0,2551.34,100
19300.0,2551.88,100
19400.0,2552.22,100
19500.0,2552.46,100
19600.0,2552.86,100
19700.0,2553.0,100
19800.0,2553.18,100
19900.0,2553.78,100
20000.0,2554.0,100
20100.0,2554.36,100
20200.0,2554.76,100
20300.0,2555.08,100
20400.0,2555.32,100
20500.0,2556.0,100
20600.0,2556.24,100
20700.0,2556.64,100
20800.0,2557.08,100
20900.0,2557.34,100
21000.0,2557.7,100
21100.0,2558.32,100
21200.0,2558.76,100
21300.0,2558.98,100
21400.0,2559.32,100
21500.0,2559.4,100
21600.0,2559.62,100
21700.0,2560.12,100
21800.0,2560.38,100
21900.0,2560.86,100
22000.0,2561.3,100
22100.0,2561.72,100
22200.0,2561.94,100
22300.0,2562.16,100
22400.0,2562.52,100
22500.0,2562.66,100
22600.0,2562.84,100
22700.0,2563.12,100
22800.0,2563.3,100
22900.0,2564.0,100
23000.0,2564.34,100
23100.0,2564.52,100
23200.0,2564.6,100
23300.0,2564.82,100
23400.0,2565.22,100
23500.0,2565.42,100
23600.0,2565.48,100
23700.0,2565.54,100
23800.0,2565.62,100
23900.0,2565.8,100
24000.0,2565.98,100
24100.0,2566.14,100
24200.0,2566.38,100
24300.0,2566.7,100
24400.0,2567.06,100
24500.0,2567.14,100
24600.0,2567.32,100
24700.0,2567.56,100
24800.0,2567.78,100
24900.0,2568.24,100
25000.0,2568.44,100
25100.0,2568.66,100
25200.0,2568.92,100
25300.0,2569.04,100
25400.0,2569.1,100
25500.0,2569.34,100
25600.0,2569.46,100
25700.0,2569.6,100
25800.0,2569.74,100
25900.0,2569.88,100
26000.0,2570.04,100
26100.0,2570.14,100
26200.0,2570.2,100
26300.0,2570.28,100
26400.0,2570.36,100
26500.0,2570.44,100
26600.0,2570.54,100
26700.0,2570.72,100
26800.0,2570.86,100
26900.0,2570.9,100
27000.0,2571.08,100
