instance,restart,runtime,score,filename
0,0,50000.0,171.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-27-25_i_0_r_0.txt
0,1,50000.0,115.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-27-25_i_0_r_1.txt
0,2,50000.0,93.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-27-25_i_0_r_2.txt
0,3,50000.0,101.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-27-25_i_0_r_3.txt
0,4,50000.0,105.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-27-25_i_0_r_4.txt
0,5,50000.0,109.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-27-25_i_0_r_5.txt
0,6,50000.0,119.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-27-25_i_0_r_6.txt
0,7,50000.0,101.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-27-25_i_0_r_7.txt
0,8,50000.0,107.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-27-25_i_0_r_8.txt
0,9,50000.0,113.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-31-55_i_0_r_9.txt
1,0,50000.0,55.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-27-25_i_1_r_0.txt
1,1,50000.0,67.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-27-25_i_1_r_1.txt
1,2,50000.0,33.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-27-25_i_1_r_2.txt
1,3,50000.0,45.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-27-25_i_1_r_3.txt
1,4,50000.0,61.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-27-25_i_1_r_4.txt
1,5,50000.0,33.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-27-25_i_1_r_5.txt
1,6,50000.0,33.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-27-25_i_1_r_6.txt
1,7,50000.0,59.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-27-25_i_1_r_7.txt
1,8,50000.0,33.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-27-25_i_1_r_8.txt
1,9,50000.0,57.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-31-55_i_1_r_9.txt
2,0,50000.0,152.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-27-25_i_2_r_0.txt
2,1,50000.0,176.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-27-25_i_2_r_1.txt
2,2,50000.0,194.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-27-25_i_2_r_2.txt
2,3,50000.0,154.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-27-25_i_2_r_3.txt
2,4,50000.0,142.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-27-25_i_2_r_4.txt
2,5,50000.0,158.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-27-25_i_2_r_5.txt
2,6,50000.0,154.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-27-25_i_2_r_6.txt
2,7,50000.0,134.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-27-25_i_2_r_7.txt
2,8,50000.0,180.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-27-25_i_2_r_8.txt
2,9,50000.0,130.0,results_nevergrad_DiscreteOnePlusOneT_QUBO_256_0_budget_50000_2026-03-11_16-31-55_i_2_r_9.txt
