runtime,mean,count
100.0,38.9,100
200.0,51.02,100
300.0,55.92,100
400.0,59.92,100
500.0,63.02,100
600.0,66.24,100
700.0,68.84,100
800.0,70.96,100
900.0,72.06,100
1000.0,73.44,100
1100.0,74.72,100
1200.0,76.04,100
1300.0,76.56,100
1400.0,77.08,100
1500.0,77.8,100
1600.0,79.26,100
1700.0,80.52,100
1800.0,81.28,100
1900.0,82.2,100
2000.0,82.38,100
2100.0,82.62,100
2200.0,83.24,100
2300.0,83.74,100
2400.0,83.98,100
2500.0,84.16,100
2600.0,84.36,100
2700.0,85.0,100
2800.0,85.12,100
2900.0,85.5,100
3000.0,85.96,100
3100.0,86.6,100
3200.0,86.82,100
3300.0,87.68,100
3400.0,87.8,100
3500.0,88.26,100
3600.0,88.38,100
3700.0,88.98,100
3800.0,89.32,100
3900.0,90.18,100
4000.0,90.26,100
4100.0,90.42,100
4200.0,90.48,100
4300.0,90.52,100
4400.0,91.1,100
4500.0,91.86,100
4600.0,92.1,100
4700.0,92.32,100
4800.0,92.4,100
4900.0,92.48,100
5000.0,92.48,100
5100.0,92.84,100
5200.0,93.66,100
5300.0,94.6,100
5400.0,94.7,100
5500.0,94.74,100
5600.0,94.98,100
5700.0,95.1,100
5800.0,95.26,100
5900.0,95.72,100
6000.0,96.18,100
6100.0,96.22,100
6200.0,96.32,100
6300.0,96.74,100
6400.0,96.8,100
6500.0,96.98,100
6600.0,97.76,100
6700.0,98.14,100
6800.0,98.16,100
6900.0,98.36,100
7000.0,98.38,100
7100.0,98.42,100
7200.0,98.88,100
7300.0,99.52,100
7400.0,99.9,100
7500.0,99.9,100
7600.0,99.9,100
7700.0,99.9,100
7800.0,99.92,100
7900.0,99.92,100
8000.0,99.92,100
8100.0,99.96,100
8200.0,99.96,100
8300.0,99.96,100
8400.0,99.96,100
8500.0,100.16,100
8600.0,100.16,100
8700.0,100.26,100
8800.0,100.38,100
8900.0,100.7,100
9000.0,101.26,100
9100.0,101.38,100
9200.0,101.38,100
9300.0,101.46,100
9400.0,101.46,100
9500.0,101.96,100
9600.0,101.96,100
9700.0,101.96,100
9800.0,102.02,100
9900.0,102.06,100
10000.0,102.14,100
10100.0,102.66,100
10200.0,102.66,100
10300.0,102.66,100
10400.0,102.66,100
10500.0,102.72,100
10600.0,102.72,100
10700.0,102.72,100
10800.0,102.72,100
10900.0,102.88,100
11000.0,102.96,100
11100.0,103.12,100
11200.0,103.24,100
11300.0,103.4,100
11400.0,103.4,100
11500.0,103.4,100
11600.0,103.4,100
11700.0,103.54,100
11800.0,103.54,100
11900.0,103.74,100
12000.0,104.14,100
12100.0,104.42,100
12200.0,104.68,100
12300.0,104.68,100
12400.0,104.68,100
12500.0,104.78,100
12600.0,104.82,100
12700.0,105.08,100
12800.0,105.08,100
12900.0,105.28,100
13000.0,105.6,100
13100.0,105.6,100
13200.0,105.6,100
13300.0,105.64,100
13400.0,105.64,100
13500.0,105.8,100
13600.0,105.8,100
13700.0,105.8,100
13800.0,106.08,100
13900.0,106.08,100
14000.0,106.1,100
14100.0,106.78,100
