instance,restart,runtime,score,filename
0,0,50000.0,2572.0,results_nevergrad_FastGADiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-27-32_i_0_r_0.txt
0,1,50000.0,2828.0,results_nevergrad_FastGADiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-27-32_i_0_r_1.txt
0,2,50000.0,2552.0,results_nevergrad_FastGADiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-27-32_i_0_r_2.txt
0,3,50000.0,2714.0,results_nevergrad_FastGADiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-27-32_i_0_r_3.txt
0,4,50000.0,2616.0,results_nevergrad_FastGADiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-27-32_i_0_r_4.txt
0,5,50000.0,2730.0,results_nevergrad_FastGADiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-27-32_i_0_r_5.txt
0,6,50000.0,2802.0,results_nevergrad_FastGADiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-27-32_i_0_r_6.txt
0,7,50000.0,2752.0,results_nevergrad_FastGADiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-27-32_i_0_r_7.txt
0,8,50000.0,2854.0,results_nevergrad_FastGADiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-27-32_i_0_r_8.txt
0,9,50000.0,2686.0,results_nevergrad_FastGADiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-27-32_i_0_r_9.txt
1,0,50000.0,2388.0,results_nevergrad_FastGADiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-27-32_i_1_r_0.txt
1,1,50000.0,2654.0,results_nevergrad_FastGADiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-27-32_i_1_r_1.txt
1,2,50000.0,2538.0,results_nevergrad_FastGADiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-27-32_i_1_r_2.txt
1,3,50000.0,2714.0,results_nevergrad_FastGADiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-27-32_i_1_r_3.txt
1,4,50000.0,2512.0,results_nevergrad_FastGADiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-27-32_i_1_r_4.txt
1,5,50000.0,2532.0,results_nevergrad_FastGADiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-27-32_i_1_r_5.txt
1,6,50000.0,2704.0,results_nevergrad_FastGADiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-27-32_i_1_r_6.txt
1,7,50000.0,2440.0,results_nevergrad_FastGADiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-27-32_i_1_r_7.txt
1,8,50000.0,2602.0,results_nevergrad_FastGADiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-27-32_i_1_r_8.txt
1,9,50000.0,2244.0,results_nevergrad_FastGADiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-27-32_i_1_r_9.txt
2,0,50000.0,2670.0,results_nevergrad_FastGADiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-27-32_i_2_r_0.txt
2,1,50000.0,2852.0,results_nevergrad_FastGADiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-27-32_i_2_r_1.txt
2,2,50000.0,2758.0,results_nevergrad_FastGADiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-27-32_i_2_r_2.txt
