instance,restart,runtime,score,filename
0,0,50000.0,0.5933548281250006,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-08_i_0_r_0.txt
0,1,50000.0,0.5887959687500002,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_0_r_1.txt
0,2,50000.0,0.5859009882812497,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_0_r_2.txt
0,3,50000.0,0.58132773046875,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_0_r_3.txt
0,4,50000.0,0.5998318085937498,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_0_r_4.txt
0,5,50000.0,0.5832858671875001,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_0_r_5.txt
0,6,50000.0,0.5885651093750002,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_0_r_6.txt
0,7,50000.0,0.5977483164062498,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_0_r_7.txt
0,8,50000.0,0.5727808007812502,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_0_r_8.txt
0,9,50000.0,0.58606721875,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_0_r_9.txt
1,0,50000.0,0.58528514453125,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-08_i_1_r_0.txt
1,1,50000.0,0.5813629218749998,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_1_r_1.txt
1,2,50000.0,0.5890146171875003,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_1_r_2.txt
1,3,50000.0,0.5999094179687495,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_1_r_3.txt
1,4,50000.0,0.5687730859374999,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_1_r_4.txt
1,5,50000.0,0.58480005078125,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_1_r_5.txt
1,6,50000.0,0.56888591015625,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_1_r_6.txt
1,7,50000.0,0.58524030859375,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_1_r_7.txt
1,8,50000.0,0.5876560000000004,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_1_r_8.txt
1,9,50000.0,0.582569484375,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_1_r_9.txt
2,0,50000.0,0.5873055351562501,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-08_i_2_r_0.txt
2,1,50000.0,0.6006364843750002,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_2_r_1.txt
2,2,50000.0,0.5862504101562501,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_2_r_2.txt
2,3,50000.0,0.5859324843750002,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_2_r_3.txt
2,4,50000.0,0.5794673828125002,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_2_r_4.txt
2,5,50000.0,0.6070526796875,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_2_r_5.txt
2,6,50000.0,0.5898846093750003,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_2_r_6.txt
2,7,50000.0,0.58173009375,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_2_r_7.txt
2,8,50000.0,0.5735747382812507,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_2_r_8.txt
2,9,50000.0,0.6041023554687499,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_2_r_9.txt
3,0,50000.0,0.57743341796875,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-08_i_3_r_0.txt
3,1,50000.0,0.5640687617187501,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_3_r_1.txt
3,2,50000.0,0.61917420703125,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_3_r_2.txt
3,3,50000.0,0.5695164843749998,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_3_r_3.txt
3,4,50000.0,0.5791311054687505,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_3_r_4.txt
3,5,50000.0,0.5881207265625003,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_3_r_5.txt
3,6,50000.0,0.57831549609375,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_3_r_6.txt
3,7,50000.0,0.5753578476562498,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_3_r_7.txt
3,8,50000.0,0.58096988671875,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_3_r_8.txt
3,9,50000.0,0.5842335156250001,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_3_r_9.txt
4,0,50000.0,0.6248678046874999,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-08_i_4_r_0.txt
4,1,50000.0,0.6280349921875001,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_4_r_1.txt
4,2,50000.0,0.6017517226562497,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_4_r_2.txt
4,3,50000.0,0.591680375,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_4_r_3.txt
4,4,50000.0,0.6126895117187504,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_4_r_4.txt
4,5,50000.0,0.6006321132812503,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_4_r_5.txt
4,6,50000.0,0.6328332460937507,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_4_r_6.txt
4,7,50000.0,0.6081136914062502,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_4_r_7.txt
4,8,50000.0,0.6236561171874995,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_4_r_8.txt
4,9,50000.0,0.6008653906250002,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_4_r_9.txt
5,0,50000.0,0.6139622421875001,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-08_i_5_r_0.txt
5,1,50000.0,0.607787703125,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_5_r_1.txt
5,2,50000.0,0.5913211796875,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_5_r_2.txt
5,3,50000.0,0.612132203125,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_5_r_3.txt
5,4,50000.0,0.6058923710937502,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_NK3_256_2_budget_50000_2026-03-13_14-13-06_i_5_r_4.txt
