instance,restart,runtime,score,filename
0,0,50000.0,583.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_0_r_0.txt
0,1,50000.0,729.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_0_r_1.txt
0,2,50000.0,607.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_0_r_2.txt
0,3,50000.0,575.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_0_r_3.txt
0,4,50000.0,775.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_0_r_4.txt
0,5,50000.0,685.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_0_r_5.txt
0,6,50000.0,687.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_0_r_6.txt
0,7,50000.0,595.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_0_r_7.txt
0,8,50000.0,773.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_0_r_8.txt
0,9,50000.0,705.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_0_r_9.txt
1,0,50000.0,633.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_1_r_0.txt
1,1,50000.0,431.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_1_r_1.txt
1,2,50000.0,529.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_1_r_2.txt
1,3,50000.0,539.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_1_r_3.txt
1,4,50000.0,607.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_1_r_4.txt
1,5,50000.0,655.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_1_r_5.txt
1,6,50000.0,473.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_1_r_6.txt
1,7,50000.0,553.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_1_r_7.txt
1,8,50000.0,651.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_1_r_8.txt
1,9,50000.0,533.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_1_r_9.txt
2,0,50000.0,618.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_2_r_0.txt
2,1,50000.0,548.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_2_r_1.txt
2,2,50000.0,524.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_2_r_2.txt
2,3,50000.0,482.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_2_r_3.txt
2,4,50000.0,608.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_2_r_4.txt
2,5,50000.0,550.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_2_r_5.txt
2,6,50000.0,564.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_2_r_6.txt
2,7,50000.0,576.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_2_r_7.txt
2,8,50000.0,600.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_2_r_8.txt
2,9,50000.0,436.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_2_r_9.txt
3,0,50000.0,673.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_3_r_0.txt
3,1,50000.0,627.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_3_r_1.txt
3,2,50000.0,571.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_3_r_2.txt
3,3,50000.0,423.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_3_r_3.txt
3,4,50000.0,619.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_3_r_4.txt
3,5,50000.0,521.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_3_r_5.txt
3,6,50000.0,441.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_3_r_6.txt
3,7,50000.0,577.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_3_r_7.txt
3,8,50000.0,559.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_3_r_8.txt
3,9,50000.0,685.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_3_r_9.txt
4,0,50000.0,427.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_4_r_0.txt
4,1,50000.0,461.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_4_r_1.txt
4,2,50000.0,439.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_4_r_2.txt
4,3,50000.0,543.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_4_r_3.txt
4,4,50000.0,373.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_4_r_4.txt
4,5,50000.0,525.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_4_r_5.txt
4,6,50000.0,523.0,results_nevergrad_FastGAOptimisticNoisyDiscreteOnePlusOne_QUBO_256_1_budget_50000_2026-03-11_18-27-32_i_4_r_6.txt
