runtime,mean,count
100.0,442.24,100
200.0,583.28,100
300.0,684.32,100
400.0,748.38,100
500.0,809.7,100
600.0,857.4,100
700.0,896.56,100
800.0,928.52,100
900.0,954.42,100
1000.0,981.38,100
1100.0,1006.72,100
1200.0,1023.62,100
1300.0,1035.16,100
1400.0,1044.52,100
1500.0,1050.84,100
1600.0,1055.92,100
1700.0,1060.82,100
1800.0,1064.66,100
1900.0,1066.16,100
2000.0,1068.5,100
2100.0,1070.66,100
2200.0,1071.88,100
2300.0,1074.36,100
2400.0,1075.8,100
2500.0,1076.84,100
2600.0,1079.5,100
2700.0,1080.98,100
2800.0,1082.52,100
2900.0,1084.14,100
3000.0,1086.26,100
3100.0,1087.68,100
3200.0,1089.18,100
3300.0,1091.06,100
3400.0,1092.94,100
3500.0,1094.08,100
3600.0,1095.24,100
3700.0,1096.6,100
3800.0,1098.68,100
3900.0,1099.88,100
4000.0,1101.34,100
4100.0,1103.1,100
4200.0,1104.46,100
4300.0,1106.08,100
4400.0,1107.5,100
4500.0,1108.5,100
4600.0,1109.34,100
4700.0,1110.62,100
4800.0,1111.96,100
4900.0,1113.4,100
5000.0,1115.56,100
5100.0,1117.06,100
5200.0,1118.62,100
5300.0,1119.36,100
5400.0,1120.76,100
5500.0,1122.08,100
5600.0,1123.28,100
5700.0,1125.08,100
5800.0,1126.54,100
5900.0,1127.68,100
6000.0,1128.64,100
6100.0,1129.54,100
6200.0,1130.58,100
6300.0,1131.58,100
6400.0,1132.74,100
6500.0,1133.7,100
6600.0,1135.14,100
6700.0,1136.26,100
6800.0,1137.48,100
6900.0,1139.12,100
7000.0,1139.74,100
7100.0,1140.98,100
7200.0,1142.14,100
7300.0,1144.04,100
7400.0,1145.92,100
7500.0,1146.94,100
7600.0,1147.92,100
7700.0,1148.86,100
7800.0,1149.86,100
7900.0,1151.0,100
8000.0,1151.44,100
8100.0,1152.76,100
8200.0,1153.2,100
8300.0,1154.32,100
8400.0,1155.0,100
8500.0,1156.24,100
8600.0,1156.94,100
8700.0,1157.72,100
8800.0,1158.34,100
