runtime,mean,count
100.0,118.56,100
200.0,182.3,100
300.0,234.92,100
400.0,265.78,100
500.0,288.02,100
600.0,308.46,100
700.0,319.9,100
800.0,329.06,100
900.0,336.32,100
1000.0,347.38,100
1100.0,354.14,100
1200.0,360.3,100
1300.0,367.0,100
1400.0,373.6,100
1500.0,378.78,100
1600.0,383.44,100
1700.0,388.04,100
1800.0,393.8,100
1900.0,397.28,100
2000.0,401.74,100
2100.0,406.22,100
2200.0,411.58,100
2300.0,415.42,100
2400.0,419.9,100
2500.0,423.4,100
2600.0,427.34,100
2700.0,430.38,100
2800.0,434.14,100
2900.0,437.26,100
3000.0,441.8,100
3100.0,444.24,100
3200.0,447.3,100
3300.0,450.44,100
3400.0,453.16,100
3500.0,456.44,100
3600.0,459.18,100
3700.0,462.64,100
3800.0,464.54,100
3900.0,467.08,100
4000.0,468.84,100
4100.0,471.52,100
4200.0,473.72,100
4300.0,476.32,100
4400.0,478.42,100
4500.0,481.18,100
4600.0,484.62,100
4700.0,486.2,100
4800.0,487.6,100
4900.0,489.58,100
5000.0,491.72,100
5100.0,493.92,100
5200.0,495.26,100
5300.0,497.56,100
5400.0,499.06,100
5500.0,500.98,100
5600.0,503.16,100
5700.0,504.66,100
5800.0,506.36,100
5900.0,508.2,100
6000.0,509.98,100
6100.0,511.54,100
6200.0,513.34,100
6300.0,514.88,100
6400.0,516.42,100
6500.0,517.68,100
6600.0,518.6,100
6700.0,520.48,100
6800.0,521.88,100
6900.0,523.6,100
7000.0,524.8,100
7100.0,526.1,100
7200.0,527.38,100
7300.0,528.64,100
7400.0,529.94,100
7500.0,530.88,100
7600.0,531.74,100
7700.0,532.98,100
7800.0,533.86,100
7900.0,535.24,100
8000.0,536.22,100
8100.0,537.1,100
8200.0,538.32,100
8300.0,539.08,100
8400.0,540.24,100
8500.0,541.14,100
8600.0,541.8,100
8700.0,542.6,100
8800.0,543.3,100
8900.0,543.92,100
9000.0,545.0,100
9100.0,545.7,100
9200.0,546.4,100
9300.0,547.56,100
9400.0,548.26,100
9500.0,549.06,100
9600.0,549.44,100
9700.0,549.98,100
9800.0,550.88,100
9900.0,551.6,100
10000.0,552.3,100
10100.0,552.82,100
10200.0,553.54,100
10300.0,554.08,100
10400.0,554.78,100
10500.0,555.24,100
10600.0,555.56,100
10700.0,556.16,100
10800.0,556.96,100
10900.0,557.36,100
11000.0,557.88,100
11100.0,558.36,100
11200.0,558.92,100
11300.0,559.56,100
11400.0,560.1,100
11500.0,560.68,100
11600.0,561.22,100
11700.0,561.6,100
11800.0,561.84,100
11900.0,562.36,100
12000.0,562.54,100
12100.0,563.02,100
12200.0,563.54,100
12300.0,563.86,100
12400.0,564.26,100
12500.0,565.0,100
12600.0,565.76,100
12700.0,566.52,100
12800.0,567.02,100
12900.0,567.96,100
13000.0,568.58,100
13100.0,569.1,100
13200.0,569.6,100
13300.0,570.1,100
13400.0,570.22,100
13500.0,570.74,100
13600.0,571.24,100
13700.0,571.52,100
13800.0,571.86,100
13900.0,572.3,100
14000.0,572.54,100
