runtime,mean,count
100.0,152.3,100
200.0,166.0,100
300.0,178.16,100
400.0,188.04,100
500.0,199.16,100
600.0,210.94,100
700.0,223.52,100
800.0,236.54,100
900.0,256.34,100
1000.0,267.6,100
1100.0,284.48,100
1200.0,299.2,100
1300.0,313.58,100
1400.0,330.66,100
1500.0,343.46,100
1600.0,356.42,100
1700.0,375.42,100
1800.0,385.9,100
1900.0,395.54,100
2000.0,410.32,100
2100.0,420.44,100
2200.0,431.56,100
2300.0,441.9,100
2400.0,450.78,100
2500.0,462.36,100
2600.0,470.28,100
2700.0,475.82,100
2800.0,483.78,100
2900.0,489.6,100
3000.0,494.8,100
3100.0,499.16,100
3200.0,504.4,100
3300.0,510.06,100
3400.0,513.04,100
3500.0,517.14,100
3600.0,520.48,100
3700.0,523.7,100
3800.0,526.22,100
3900.0,528.5,100
4000.0,530.36,100
4100.0,533.32,100
4200.0,535.2,100
4300.0,536.74,100
4400.0,538.24,100
4500.0,539.46,100
4600.0,540.62,100
4700.0,541.54,100
4800.0,542.34,100
4900.0,543.44,100
5000.0,544.7,100
5100.0,545.2,100
5200.0,545.84,100
5300.0,546.44,100
5400.0,547.44,100
5500.0,548.12,100
5600.0,548.7,100
5700.0,549.64,100
5800.0,550.1,100
5900.0,550.34,100
6000.0,551.4,100
6100.0,552.4,100
6200.0,552.68,100
6300.0,553.52,100
6400.0,553.82,100
6500.0,554.68,100
6600.0,555.02,100
6700.0,555.62,100
6800.0,556.22,100
6900.0,557.24,100
7000.0,557.76,100
7100.0,558.18,100
7200.0,558.76,100
7300.0,559.58,100
7400.0,559.96,100
7500.0,560.3,100
7600.0,560.6,100
7700.0,561.16,100
7800.0,561.36,100
7900.0,561.86,100
8000.0,562.34,100
8100.0,562.88,100
8200.0,563.18,100
8300.0,563.6,100
8400.0,563.8,100
8500.0,564.14,100
8600.0,564.66,100
8700.0,564.98,100
8800.0,565.42,100
8900.0,566.22,100
9000.0,566.46,100
9100.0,566.66,100
9200.0,567.04,100
9300.0,567.34,100
9400.0,568.02,100
9500.0,568.32,100
9600.0,568.5,100
9700.0,568.78,100
9800.0,569.0,100
