runtime,mean,count
100.0,822.44,100
200.0,984.92,100
300.0,1083.58,100
400.0,1154.04,100
500.0,1219.66,100
600.0,1257.86,100
700.0,1304.7,100
800.0,1341.88,100
900.0,1383.42,100
1000.0,1417.84,100
1100.0,1441.2,100
1200.0,1467.82,100
1300.0,1494.76,100
1400.0,1518.14,100
1500.0,1533.52,100
1600.0,1555.4,100
1700.0,1571.48,100
1800.0,1587.48,100
1900.0,1604.1,100
2000.0,1614.3,100
2100.0,1625.2,100
2200.0,1634.24,100
2300.0,1645.16,100
2400.0,1656.86,100
2500.0,1669.26,100
2600.0,1681.18,100
2700.0,1690.64,100
2800.0,1696.36,100
2900.0,1702.7,100
3000.0,1711.96,100
3100.0,1719.88,100
3200.0,1727.24,100
3300.0,1733.22,100
3400.0,1741.36,100
3500.0,1745.86,100
3600.0,1751.66,100
3700.0,1757.62,100
3800.0,1763.86,100
3900.0,1769.92,100
4000.0,1774.5,100
4100.0,1780.76,100
4200.0,1790.56,100
4300.0,1794.54,100
4400.0,1797.98,100
4500.0,1802.28,100
4600.0,1804.98,100
4700.0,1807.52,100
4800.0,1813.04,100
4900.0,1818.86,100
5000.0,1825.08,100
5100.0,1830.1,100
5200.0,1833.34,100
5300.0,1838.38,100
5400.0,1840.86,100
5500.0,1845.44,100
5600.0,1852.08,100
5700.0,1854.78,100
5800.0,1856.42,100
5900.0,1858.72,100
6000.0,1860.92,100
6100.0,1864.76,100
6200.0,1866.6,100
6300.0,1868.96,100
6400.0,1873.4,100
6500.0,1875.18,100
6600.0,1879.08,100
6700.0,1881.8,100
6800.0,1885.56,100
6900.0,1887.86,100
7000.0,1889.22,100
7100.0,1892.94,100
7200.0,1896.52,100
7300.0,1897.26,100
7400.0,1898.14,100
7500.0,1900.62,100
7600.0,1902.5,100
7700.0,1904.02,100
7800.0,1904.34,100
7900.0,1906.72,100
8000.0,1907.64,100
8100.0,1909.7,100
8200.0,1911.6,100
8300.0,1914.02,100
8400.0,1915.82,100
8500.0,1917.66,100
8600.0,1918.88,100
8700.0,1920.6,100
8800.0,1921.78,100
8900.0,1922.74,100
9000.0,1924.26,100
9100.0,1926.34,100
9200.0,1928.94,100
9300.0,1930.76,100
9400.0,1931.5,100
9500.0,1933.06,100
9600.0,1933.94,100
9700.0,1934.96,100
9800.0,1935.52,100
9900.0,1936.46,100
10000.0,1937.3,100
10100.0,1938.3,100
10200.0,1939.42,100
10300.0,1940.16,100
10400.0,1940.52,100
10500.0,1941.96,100
10600.0,1942.66,100
10700.0,1943.76,100
10800.0,1945.2,100
10900.0,1945.66,100
11000.0,1946.22,100
11100.0,1947.86,100
11200.0,1948.76,100
11300.0,1949.8,100
11400.0,1951.3,100
11500.0,1952.04,100
11600.0,1952.96,100
11700.0,1953.24,100
11800.0,1953.48,100
11900.0,1953.9,100
12000.0,1954.56,100
12100.0,1954.6,100
12200.0,1955.34,100
12300.0,1955.56,100
12400.0,1956.16,100
12500.0,1956.44,100
12600.0,1956.58,100
12700.0,1957.2,100
12800.0,1957.38,100
12900.0,1957.56,100
13000.0,1958.0,100
13100.0,1958.18,100
13200.0,1958.38,100
13300.0,1958.68,100
13400.0,1959.18,100
13500.0,1959.42,100
13600.0,1959.82,100
13700.0,1959.82,100
13800.0,1960.42,100
13900.0,1960.82,100
14000.0,1960.82,100
14100.0,1961.4,100
14200.0,1961.98,100
14300.0,1962.0,100
14400.0,1962.14,100
14500.0,1962.6,100
14600.0,1963.34,100
14700.0,1964.94,100
14800.0,1965.34,100
14900.0,1966.08,100
15000.0,1966.3,100
15100.0,1966.52,100
15200.0,1966.98,100
15300.0,1967.66,100
15400.0,1967.84,100
15500.0,1968.14,100
15600.0,1968.72,100
15700.0,1969.8,100
15800.0,1970.08,100
15900.0,1971.64,100
16000.0,1972.44,100
16100.0,1972.7,100
16200.0,1972.74,100
16300.0,1973.14,100
16400.0,1973.18,100
16500.0,1973.9,100
16600.0,1974.42,100
16700.0,1974.48,100
16800.0,1975.08,100
16900.0,1975.7,100
17000.0,1975.94,100
17100.0,1976.12,100
17200.0,1978.34,100
17300.0,1979.26,100
17400.0,1979.66,100
17500.0,1980.02,100
17600.0,1980.18,100
17700.0,1980.84,100
17800.0,1981.88,100
17900.0,1982.2,100
18000.0,1983.16,100
18100.0,1984.04,100
18200.0,1984.54,100
18300.0,1985.54,100
18400.0,1986.22,100
18500.0,1986.7,100
18600.0,1987.22,100
18700.0,1987.58,100
18800.0,1987.74,100
18900.0,1988.52,100
19000.0,1989.52,100
19100.0,1990.08,100
