instance,restart,runtime,score,filename
0,0,50000.0,505.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_0_r_0.txt
0,1,50000.0,501.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_0_r_1.txt
0,2,50000.0,497.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_0_r_2.txt
0,3,50000.0,495.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-36_i_0_r_3.txt
0,4,50000.0,547.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-36_i_0_r_4.txt
0,5,50000.0,533.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_0_r_5.txt
0,6,50000.0,535.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_0_r_6.txt
0,7,50000.0,523.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_0_r_7.txt
0,8,50000.0,537.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_0_r_8.txt
0,9,50000.0,523.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_0_r_9.txt
1,0,50000.0,505.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_1_r_0.txt
1,1,50000.0,483.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_1_r_1.txt
1,2,50000.0,495.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_1_r_2.txt
1,3,50000.0,489.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-36_i_1_r_3.txt
1,4,50000.0,495.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-36_i_1_r_4.txt
1,5,50000.0,505.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_1_r_5.txt
1,6,50000.0,477.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_1_r_6.txt
1,7,50000.0,463.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_1_r_7.txt
1,8,50000.0,537.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_1_r_8.txt
1,9,50000.0,453.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_1_r_9.txt
2,0,50000.0,486.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_2_r_0.txt
2,1,50000.0,454.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_2_r_1.txt
2,2,50000.0,510.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_2_r_2.txt
2,3,50000.0,526.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-36_i_2_r_3.txt
2,4,50000.0,476.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-36_i_2_r_4.txt
2,5,50000.0,456.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_2_r_5.txt
2,6,50000.0,482.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_2_r_6.txt
2,7,50000.0,540.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_2_r_7.txt
2,8,50000.0,506.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_2_r_8.txt
2,9,50000.0,512.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_2_r_9.txt
3,0,50000.0,481.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_3_r_0.txt
3,1,50000.0,493.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_3_r_1.txt
3,2,50000.0,493.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_3_r_2.txt
3,3,50000.0,479.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-36_i_3_r_3.txt
3,4,50000.0,457.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-36_i_3_r_4.txt
3,5,50000.0,485.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_3_r_5.txt
3,6,50000.0,511.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_3_r_6.txt
3,7,50000.0,455.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_3_r_7.txt
3,8,50000.0,443.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_3_r_8.txt
3,9,50000.0,533.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_3_r_9.txt
4,0,50000.0,443.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_4_r_0.txt
4,1,50000.0,455.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_4_r_1.txt
4,2,50000.0,517.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_4_r_2.txt
4,3,50000.0,421.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-36_i_4_r_3.txt
4,4,50000.0,463.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-36_i_4_r_4.txt
4,5,50000.0,435.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_4_r_5.txt
4,6,50000.0,449.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_4_r_6.txt
4,7,50000.0,447.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_4_r_7.txt
4,8,50000.0,423.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_4_r_8.txt
4,9,50000.0,425.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_4_r_9.txt
5,0,50000.0,465.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_5_r_0.txt
5,1,50000.0,501.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_5_r_1.txt
5,2,50000.0,429.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_5_r_2.txt
5,3,50000.0,525.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-36_i_5_r_3.txt
5,4,50000.0,539.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-36_i_5_r_4.txt
5,5,50000.0,459.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_5_r_5.txt
5,6,50000.0,427.0,results_nevergrad_PortfolioDiscreteOnePlusOneT_QUBO_256_1_budget_50000_2026-03-11_12-52-37_i_5_r_6.txt
