runtime,mean,count
100.0,901.98,100
200.0,1098.76,100
300.0,1220.92,100
400.0,1308.84,100
500.0,1379.22,100
600.0,1443.1,100
700.0,1488.78,100
800.0,1529.72,100
900.0,1570.84,100
1000.0,1605.5,100
1100.0,1702.24,100
1200.0,1771.44,100
1300.0,1819.3,100
1400.0,1866.54,100
1500.0,1904.0,100
1600.0,1936.14,100
1700.0,1964.22,100
1800.0,1989.96,100
1900.0,2009.6,100
2000.0,2060.48,100
2100.0,2103.78,100
2200.0,2134.92,100
2300.0,2168.5,100
2400.0,2188.86,100
2500.0,2210.52,100
2600.0,2231.06,100
2700.0,2245.0,100
2800.0,2261.26,100
2900.0,2294.3,100
3000.0,2321.42,100
3100.0,2344.08,100
3200.0,2359.54,100
3300.0,2376.98,100
3400.0,2392.62,100
3500.0,2407.78,100
3600.0,2418.0,100
3700.0,2430.52,100
3800.0,2455.14,100
3900.0,2473.38,100
4000.0,2487.56,100
4100.0,2504.28,100
4200.0,2517.38,100
4300.0,2526.24,100
4400.0,2535.66,100
4500.0,2545.24,100
4600.0,2555.86,100
4700.0,2574.78,100
4800.0,2586.28,100
4900.0,2601.68,100
5000.0,2612.08,100
5100.0,2622.16,100
5200.0,2627.78,100
5300.0,2633.06,100
5400.0,2637.66,100
5500.0,2641.46,100
5600.0,2658.52,100
5700.0,2667.24,100
5800.0,2676.4,100
5900.0,2681.48,100
6000.0,2686.46,100
6100.0,2692.36,100
6200.0,2697.34,100
6300.0,2701.18,100
6400.0,2704.8,100
6500.0,2714.28,100
6600.0,2721.68,100
6700.0,2726.22,100
6800.0,2731.4,100
6900.0,2736.2,100
7000.0,2738.88,100
7100.0,2743.22,100
7200.0,2746.22,100
7300.0,2749.54,100
7400.0,2755.4,100
7500.0,2761.04,100
7600.0,2766.38,100
7700.0,2770.76,100
7800.0,2773.08,100
7900.0,2777.88,100
8000.0,2781.14,100
8100.0,2784.18,100
8200.0,2788.18,100
8300.0,2797.7,100
8400.0,2802.6,100
8500.0,2806.3,100
8600.0,2808.82,100
8700.0,2811.66,100
8800.0,2814.06,100
8900.0,2816.56,100
9000.0,2819.0,100
9100.0,2820.66,100
9200.0,2825.68,100
9300.0,2830.1,100
9400.0,2832.04,100
9500.0,2834.34,100
9600.0,2838.18,100
9700.0,2840.14,100
9800.0,2841.88,100
9900.0,2843.28,100
10000.0,2845.04,100
10100.0,2849.16,100
10200.0,2852.86,100
10300.0,2854.96,100
10400.0,2856.18,100
10500.0,2856.78,100
10600.0,2859.02,100
10700.0,2860.42,100
10800.0,2861.86,100
10900.0,2863.18,100
11000.0,2865.34,100
11100.0,2867.3,100
11200.0,2868.86,100
11300.0,2870.72,100
11400.0,2872.1,100
11500.0,2873.36,100
11600.0,2873.82,100
11700.0,2875.56,100
11800.0,2877.32,100
11900.0,2879.86,100
12000.0,2881.06,100
12100.0,2882.48,100
12200.0,2884.08,100
12300.0,2885.58,100
12400.0,2886.42,100
12500.0,2887.46,100
12600.0,2889.26,100
12700.0,2890.34,100
12800.0,2892.78,100
12900.0,2896.08,100
13000.0,2896.74,100
13100.0,2898.48,100
13200.0,2899.92,100
13300.0,2901.06,100
13400.0,2902.06,100
13500.0,2903.1,100
13600.0,2904.64,100
13700.0,2907.84,100
13800.0,2909.66,100
13900.0,2911.44,100
14000.0,2913.06,100
14100.0,2913.62,100
14200.0,2915.04,100
14300.0,2917.4,100
14400.0,2918.92,100
14500.0,2920.4,100
14600.0,2923.16,100
14700.0,2923.78,100
14800.0,2925.1,100
14900.0,2926.76,100
15000.0,2927.5,100
15100.0,2928.8,100
15200.0,2929.5,100
15300.0,2930.6,100
15400.0,2933.12,100
15500.0,2934.46,100
15600.0,2935.92,100
15700.0,2937.12,100
15800.0,2938.64,100
15900.0,2939.8,100
16000.0,2941.18,100
16100.0,2942.3,100
16200.0,2943.8,100
16300.0,2945.8,100
16400.0,2947.22,100
16500.0,2948.14,100
16600.0,2949.86,100
16700.0,2950.42,100
16800.0,2951.2,100
16900.0,2951.94,100
17000.0,2952.56,100
17100.0,2953.9,100
17200.0,2956.1,100
17300.0,2957.98,100
17400.0,2958.38,100
17500.0,2959.62,100
17600.0,2961.48,100
17700.0,2961.9,100
17800.0,2963.32,100
17900.0,2963.92,100
18000.0,2964.72,100
18100.0,2966.44,100
18200.0,2968.48,100
18300.0,2970.36,100
18400.0,2971.04,100
18500.0,2971.86,100
18600.0,2973.2,100
18700.0,2973.46,100
18800.0,2974.44,100
18900.0,2975.54,100
19000.0,2977.2,100
19100.0,2978.14,100
19200.0,2979.96,100
19300.0,2980.98,100
19400.0,2982.36,100
19500.0,2983.04,100
19600.0,2984.22,100
19700.0,2985.42,100
19800.0,2986.66,100
19900.0,2989.08,100
20000.0,2990.66,100
20100.0,2991.22,100
20200.0,2992.06,100
20300.0,2992.68,100
20400.0,2993.2,100
20500.0,2993.9,100
20600.0,2994.62,100
20700.0,2995.74,100
20800.0,2997.16,100
20900.0,2998.06,100
21000.0,2998.54,100
21100.0,2999.02,100
21200.0,2999.84,100
21300.0,3000.44,100
21400.0,3000.82,100
21500.0,3001.66,100
21600.0,3003.08,100
21700.0,3005.32,100
21800.0,3006.14,100
21900.0,3006.32,100
22000.0,3006.92,100
22100.0,3008.1,100
22200.0,3008.82,100
22300.0,3009.92,100
22400.0,3010.82,100
22500.0,3011.42,100
22600.0,3012.38,100
22700.0,3013.42,100
22800.0,3014.24,100
22900.0,3014.86,100
23000.0,3015.86,100
23100.0,3016.68,100
23200.0,3017.62,100
23300.0,3018.24,100
23400.0,3018.8,100
23500.0,3019.96,100
23600.0,3020.74,100
23700.0,3020.82,100
23800.0,3020.98,100
23900.0,3021.34,100
24000.0,3022.06,100
24100.0,3022.44,100
24200.0,3023.08,100
24300.0,3023.7,100
24400.0,3025.76,100
24500.0,3026.72,100
24600.0,3027.32,100
24700.0,3027.96,100
24800.0,3028.54,100
24900.0,3029.3,100
25000.0,3029.7,100
25100.0,3030.68,100
25200.0,3030.94,100
25300.0,3032.32,100
25400.0,3033.18,100
25500.0,3033.84,100
25600.0,3034.52,100
25700.0,3034.96,100
25800.0,3035.46,100
25900.0,3035.98,100
26000.0,3037.28,100
26100.0,3038.8,100
26200.0,3039.74,100
26300.0,3040.16,100
26400.0,3040.98,100
26500.0,3041.18,100
26600.0,3041.7,100
26700.0,3042.12,100
26800.0,3042.34,100
26900.0,3043.1,100
27000.0,3044.28,100
27100.0,3045.22,100
27200.0,3045.86,100
27300.0,3045.94,100
27400.0,3046.22,100
27500.0,3046.72,100
27600.0,3047.32,100
27700.0,3047.98,100
27800.0,3048.9,100
27900.0,3050.34,100
28000.0,3050.62,100
28100.0,3051.18,100
28200.0,3051.76,100
28300.0,3052.36,100
28400.0,3053.46,100
28500.0,3054.26,100
28600.0,3055.16,100
28700.0,3055.58,100
28800.0,3056.2,100
28900.0,3056.44,100
29000.0,3057.52,100
29100.0,3059.02,100
29200.0,3059.94,100
29300.0,3060.76,100
29400.0,3061.04,100
29500.0,3062.72,100
29600.0,3064.3,100
29700.0,3065.68,100
29800.0,3067.26,100
29900.0,3067.72,100
30000.0,3068.16,100
30100.0,3068.58,100
30200.0,3068.96,100
30300.0,3069.48,100
30400.0,3071.34,100
30500.0,3071.58,100
30600.0,3071.96,100
30700.0,3072.66,100
30800.0,3072.9,100
30900.0,3073.32,100
31000.0,3074.18,100
31100.0,3074.86,100
31200.0,3075.36,100
31300.0,3076.18,100
31400.0,3077.24,100
31500.0,3078.12,100
31600.0,3078.6,100
31700.0,3079.04,100
31800.0,3079.34,100
31900.0,3079.4,100
32000.0,3080.4,100
32100.0,3081.82,100
32200.0,3082.8,100
32300.0,3083.16,100
32400.0,3083.7,100
32500.0,3084.22,100
32600.0,3084.82,100
32700.0,3085.22,100
32800.0,3085.58,100
32900.0,3086.1,100
33000.0,3086.34,100
33100.0,3087.44,100
33200.0,3088.48,100
33300.0,3088.72,100
33400.0,3088.98,100
33500.0,3089.52,100
33600.0,3090.46,100
33700.0,3090.7,100
33800.0,3091.42,100
33900.0,3092.78,100
34000.0,3093.44,100
34100.0,3093.8,100
34200.0,3094.24,100
34300.0,3094.8,100
34400.0,3095.38,100
34500.0,3095.94,100
34600.0,3096.6,100
34700.0,3097.18,100
34800.0,3097.8,100
34900.0,3098.82,100
35000.0,3099.48,100
35100.0,3099.88,100
35200.0,3100.5,100
35300.0,3101.4,100
35400.0,3101.58,100
35500.0,3102.08,100
35600.0,3103.06,100
35700.0,3103.34,100
35800.0,3103.72,100
35900.0,3104.74,100
36000.0,3105.0,100
36100.0,3105.48,100
36200.0,3106.48,100
36300.0,3106.8,100
36400.0,3107.5,100
36500.0,3108.04,100
36600.0,3108.54,100
36700.0,3109.08,100
36800.0,3109.44,100
36900.0,3110.18,100
37000.0,3110.6,100
37100.0,3110.96,100
37200.0,3111.46,100
37300.0,3111.84,100
37400.0,3112.02,100
37500.0,3112.44,100
37600.0,3112.88,100
37700.0,3113.06,100
37800.0,3113.16,100
37900.0,3113.6,100
38000.0,3114.7,100
38100.0,3114.78,100
38200.0,3115.3,100
38300.0,3115.82,100
38400.0,3116.38,100
38500.0,3116.5,100
38600.0,3116.62,100
38700.0,3116.84,100
38800.0,3117.34,100
38900.0,3117.7,100
39000.0,3117.94,100
39100.0,3118.02,100
39200.0,3118.56,100
39300.0,3119.04,100
39400.0,3119.3,100
39500.0,3119.92,100
39600.0,3120.26,100
39700.0,3120.4,100
39800.0,3121.18,100
39900.0,3121.5,100
40000.0,3121.94,100
40100.0,3122.38,100
40200.0,3123.04,100
40300.0,3123.34,100
40400.0,3123.4,100
40500.0,3123.5,100
40600.0,3124.5,100
40700.0,3124.92,100
40800.0,3125.1,100
40900.0,3125.42,100
41000.0,3125.66,100
41100.0,3126.22,100
41200.0,3126.68,100
41300.0,3126.9,100
41400.0,3127.34,100
41500.0,3127.58,100
41600.0,3128.34,100
41700.0,3128.98,100
41800.0,3129.08,100
41900.0,3129.36,100
42000.0,3130.22,100
42100.0,3130.6,100
42200.0,3130.92,100
42300.0,3131.42,100
42400.0,3131.7,100
42500.0,3131.88,100
42600.0,3132.16,100
42700.0,3132.56,100
42800.0,3132.92,100
42900.0,3133.4,100
43000.0,3134.44,100
43100.0,3134.6,100
43200.0,3134.94,100
43300.0,3135.7,100
43400.0,3135.88,100
43500.0,3136.34,100
43600.0,3137.16,100
43700.0,3137.38,100
43800.0,3137.74,100
43900.0,3138.12,100
44000.0,3138.48,100
44100.0,3138.76,100
44200.0,3138.98,100
44300.0,3139.18,100
44400.0,3139.54,100
44500.0,3140.02,100
44600.0,3140.8,100
44700.0,3140.9,100
44800.0,3140.9,100
44900.0,3141.14,100
45000.0,3141.5,100
45100.0,3141.56,100
45200.0,3141.76,100
45300.0,3141.92,100
45400.0,3142.32,100
45500.0,3142.8,100
45600.0,3143.08,100
45700.0,3143.64,100
45800.0,3143.7,100
45900.0,3144.08,100
46000.0,3144.72,100
46100.0,3145.12,100
46200.0,3145.5,100
46300.0,3145.76,100
46400.0,3146.44,100
46500.0,3146.84,100
46600.0,3147.14,100
46700.0,3147.3,100
46800.0,3148.04,100
46900.0,3148.32,100
47000.0,3148.94,100
47100.0,3149.48,100
47200.0,3149.82,100
47300.0,3149.96,100
47400.0,3150.24,100
47500.0,3150.58,100
47600.0,3150.76,100
47700.0,3151.16,100
47800.0,3151.62,100
47900.0,3152.0,100
48000.0,3152.3,100
48100.0,3152.82,100
48200.0,3152.98,100
48300.0,3153.32,100
48400.0,3153.68,100
48500.0,3154.16,100
48600.0,3154.32,100
48700.0,3154.64,100
48800.0,3155.26,100
48900.0,3155.66,100
49000.0,3156.08,100
49100.0,3156.38,100
49200.0,3156.66,100
49300.0,3156.76,100
49400.0,3157.02,100
49500.0,3157.4,100
49600.0,3157.86,100
49700.0,3158.64,100
49800.0,3159.02,100
49900.0,3159.38,100
50000.0,3159.58,100
