runtime,mean,count
100.0,455.62,100
200.0,540.16,100
300.0,592.32,100
400.0,622.52,100
500.0,651.14,100
600.0,670.26,100
700.0,695.28,100
800.0,714.92,100
900.0,729.94,100
1000.0,741.78,100
1100.0,784.1,100
1200.0,803.56,100
1300.0,820.84,100
1400.0,832.4,100
1500.0,844.1,100
1600.0,853.66,100
1700.0,861.56,100
1800.0,867.82,100
1900.0,873.82,100
2000.0,895.96,100
2100.0,909.46,100
2200.0,919.18,100
2300.0,928.66,100
2400.0,934.84,100
2500.0,941.78,100
2600.0,947.98,100
2700.0,952.88,100
2800.0,958.34,100
2900.0,970.36,100
3000.0,981.76,100
3100.0,988.92,100
3200.0,994.4,100
3300.0,998.68,100
3400.0,1002.6,100
3500.0,1006.04,100
3600.0,1009.96,100
3700.0,1012.72,100
3800.0,1023.12,100
3900.0,1029.42,100
4000.0,1035.3,100
4100.0,1039.6,100
4200.0,1042.28,100
4300.0,1044.02,100
4400.0,1047.88,100
4500.0,1049.98,100
4600.0,1052.56,100
4700.0,1059.1,100
4800.0,1063.9,100
4900.0,1067.72,100
5000.0,1072.04,100
5100.0,1075.16,100
5200.0,1077.72,100
5300.0,1080.16,100
5400.0,1081.6,100
5500.0,1083.76,100
5600.0,1090.52,100
5700.0,1094.62,100
5800.0,1096.96,100
5900.0,1098.86,100
6000.0,1101.22,100
6100.0,1103.06,100
6200.0,1104.96,100
6300.0,1106.88,100
6400.0,1108.26,100
6500.0,1112.54,100
6600.0,1115.34,100
6700.0,1117.56,100
6800.0,1119.14,100
6900.0,1120.82,100
7000.0,1122.24,100
7100.0,1123.58,100
7200.0,1124.9,100
7300.0,1125.72,100
7400.0,1128.5,100
7500.0,1130.36,100
7600.0,1132.44,100
7700.0,1133.98,100
7800.0,1135.44,100
7900.0,1136.66,100
8000.0,1137.34,100
8100.0,1138.0,100
8200.0,1139.08,100
8300.0,1141.1,100
8400.0,1142.76,100
8500.0,1144.02,100
8600.0,1145.56,100
8700.0,1146.38,100
8800.0,1146.94,100
8900.0,1147.74,100
9000.0,1148.1,100
9100.0,1148.72,100
9200.0,1149.46,100
9300.0,1150.38,100
9400.0,1151.14,100
9500.0,1152.58,100
9600.0,1153.14,100
9700.0,1153.66,100
9800.0,1154.0,100
9900.0,1154.52,100
10000.0,1155.14,100
10100.0,1156.3,100
10200.0,1157.42,100
10300.0,1158.04,100
10400.0,1158.52,100
10500.0,1159.06,100
10600.0,1159.44,100
10700.0,1160.02,100
10800.0,1160.32,100
10900.0,1160.5,100
11000.0,1161.26,100
11100.0,1161.98,100
11200.0,1162.56,100
11300.0,1163.4,100
11400.0,1164.1,100
11500.0,1164.24,100
11600.0,1164.58,100
11700.0,1164.8,100
11800.0,1164.94,100
11900.0,1165.44,100
12000.0,1166.06,100
12100.0,1166.66,100
12200.0,1167.0,100
12300.0,1167.34,100
