instance,restart,runtime,score,filename
0,0,50000.0,2466.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_0_r_0.txt
0,1,50000.0,2568.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_0_r_1.txt
0,2,50000.0,2614.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_0_r_2.txt
0,3,50000.0,2520.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_0_r_3.txt
0,4,50000.0,2564.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_0_r_4.txt
0,5,50000.0,2486.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_0_r_5.txt
0,6,50000.0,2794.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_0_r_6.txt
0,7,50000.0,2750.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_0_r_7.txt
0,8,50000.0,2454.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_0_r_8.txt
0,9,50000.0,2268.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_0_r_9.txt
1,0,50000.0,2542.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_1_r_0.txt
1,1,50000.0,2418.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_1_r_1.txt
1,2,50000.0,2362.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_1_r_2.txt
1,3,50000.0,2484.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_1_r_3.txt
1,4,50000.0,2306.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_1_r_4.txt
1,5,50000.0,2538.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_1_r_5.txt
1,6,50000.0,2618.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_1_r_6.txt
1,7,50000.0,2330.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_1_r_7.txt
1,8,50000.0,2294.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_1_r_8.txt
1,9,50000.0,2262.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_1_r_9.txt
2,0,50000.0,2490.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_2_r_0.txt
2,1,50000.0,2522.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_2_r_1.txt
2,2,50000.0,2712.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_2_r_2.txt
2,3,50000.0,2686.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_2_r_3.txt
2,4,50000.0,2490.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_2_r_4.txt
2,5,50000.0,2466.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_2_r_5.txt
2,6,50000.0,2784.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_2_r_6.txt
2,7,50000.0,2472.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_2_r_7.txt
2,8,50000.0,2396.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_2_r_8.txt
2,9,50000.0,2688.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_2_r_9.txt
3,0,50000.0,2607.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_3_r_0.txt
3,1,50000.0,2595.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_3_r_1.txt
3,2,50000.0,2721.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_3_r_2.txt
3,3,50000.0,2537.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_3_r_3.txt
3,4,50000.0,2415.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_3_r_4.txt
3,5,50000.0,2613.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_3_r_5.txt
3,6,50000.0,2689.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_3_r_6.txt
3,7,50000.0,2641.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_3_r_7.txt
3,8,50000.0,2543.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_3_r_8.txt
3,9,50000.0,2605.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_3_r_9.txt
4,0,50000.0,2434.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_4_r_0.txt
4,1,50000.0,2712.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_4_r_1.txt
4,2,50000.0,2602.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_4_r_2.txt
4,3,50000.0,2748.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_4_r_3.txt
4,4,50000.0,2456.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_4_r_4.txt
4,5,50000.0,2600.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_4_r_5.txt
4,6,50000.0,2594.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_4_r_6.txt
4,7,50000.0,2440.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_4_r_7.txt
4,8,50000.0,2406.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_4_r_8.txt
4,9,50000.0,2658.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_4_r_9.txt
5,0,50000.0,2456.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_5_r_0.txt
5,1,50000.0,2508.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_5_r_1.txt
5,2,50000.0,2618.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_5_r_2.txt
5,3,50000.0,2500.0,results_nevergrad_RecombiningDiscreteLognormalOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_18-51-42_i_5_r_3.txt
