runtime,mean,count
100.0,294.44,100
200.0,400.54,100
300.0,446.56,100
400.0,484.1,100
500.0,520.18,100
600.0,555.0,100
700.0,580.6,100
800.0,592.1,100
900.0,605.08,100
1000.0,615.6,100
1100.0,619.32,100
1200.0,625.36,100
1300.0,634.04,100
1400.0,639.44,100
1500.0,646.5,100
1600.0,650.82,100
1700.0,660.94,100
1800.0,665.62,100
1900.0,673.76,100
2000.0,676.28,100
2100.0,681.98,100
2200.0,687.3,100
2300.0,690.9,100
2400.0,693.94,100
2500.0,698.76,100
2600.0,700.7,100
2700.0,707.2,100
2800.0,714.36,100
2900.0,715.62,100
3000.0,715.68,100
3100.0,717.28,100
3200.0,719.32,100
3300.0,724.1,100
3400.0,728.44,100
3500.0,731.6,100
3600.0,733.88,100
3700.0,738.24,100
3800.0,740.9,100
3900.0,743.48,100
4000.0,744.22,100
4100.0,747.52,100
4200.0,753.24,100
4300.0,757.58,100
4400.0,759.76,100
4500.0,762.6,100
4600.0,762.86,100
4700.0,764.04,100
4800.0,766.06,100
4900.0,768.32,100
5000.0,768.32,100
5100.0,769.94,100
5200.0,770.64,100
5300.0,770.84,100
5400.0,771.6,100
5500.0,773.4,100
5600.0,774.24,100
5700.0,774.6,100
5800.0,775.18,100
5900.0,779.86,100
6000.0,779.98,100
6100.0,781.44,100
6200.0,783.66,100
6300.0,783.66,100
6400.0,786.48,100
6500.0,787.52,100
6600.0,787.96,100
6700.0,789.18,100
6800.0,789.18,100
6900.0,789.18,100
7000.0,790.28,100
7100.0,791.2,100
7200.0,791.2,100
7300.0,792.72,100
7400.0,793.2,100
7500.0,793.94,100
7600.0,794.64,100
7700.0,794.98,100
7800.0,795.52,100
7900.0,796.02,100
8000.0,796.02,100
8100.0,798.58,100
8200.0,799.44,100
8300.0,799.44,100
8400.0,799.44,100
8500.0,799.44,100
8600.0,802.04,100
8700.0,803.84,100
8800.0,803.84,100
8900.0,804.14,100
9000.0,804.14,100
9100.0,806.58,100
9200.0,806.58,100
9300.0,806.92,100
9400.0,806.92,100
9500.0,807.38,100
9600.0,808.64,100
9700.0,809.02,100
9800.0,809.28,100
9900.0,809.88,100
10000.0,811.42,100
10100.0,813.46,100
10200.0,813.46,100
10300.0,814.48,100
10400.0,815.56,100
10500.0,817.74,100
10600.0,820.3,100
10700.0,820.3,100
10800.0,820.3,100
10900.0,820.3,100
11000.0,822.62,100
11100.0,823.78,100
11200.0,823.78,100
11300.0,824.58,100
11400.0,824.66,100
11500.0,826.08,100
11600.0,826.08,100
11700.0,827.56,100
11800.0,827.56,100
11900.0,828.54,100
12000.0,828.54,100
12100.0,829.28,100
12200.0,829.28,100
12300.0,829.28,100
12400.0,829.28,100
12500.0,829.28,100
12600.0,829.28,100
12700.0,829.28,100
12800.0,829.28,100
12900.0,829.28,100
13000.0,830.72,100
13100.0,832.46,100
13200.0,834.32,100
13300.0,834.46,100
13400.0,834.46,100
13500.0,834.46,100
13600.0,835.44,100
13700.0,835.44,100
13800.0,835.44,100
13900.0,835.44,100
14000.0,835.44,100
14100.0,835.44,100
14200.0,835.44,100
14300.0,835.44,100
14400.0,835.68,100
14500.0,835.68,100
14600.0,836.86,100
14700.0,836.94,100
14800.0,837.38,100
14900.0,837.38,100
15000.0,838.4,100
15100.0,838.4,100
15200.0,838.4,100
15300.0,838.88,100
15400.0,839.64,100
15500.0,841.74,100
15600.0,841.74,100
15700.0,843.5,100
15800.0,845.46,100
15900.0,845.46,100
16000.0,845.46,100
16100.0,846.08,100
16200.0,846.08,100
16300.0,846.08,100
16400.0,846.08,100
16500.0,846.08,100
16600.0,846.28,100
16700.0,846.28,100
16800.0,846.28,100
16900.0,846.28,100
17000.0,848.08,100
17100.0,848.08,100
17200.0,848.08,100
17300.0,849.9,100
17400.0,851.42,100
17500.0,851.42,100
17600.0,851.42,100
17700.0,851.42,100
17800.0,851.42,100
17900.0,851.42,100
18000.0,851.42,100
18100.0,851.42,100
18200.0,851.42,100
18300.0,851.98,100
18400.0,851.98,100
18500.0,851.98,100
18600.0,851.98,100
18700.0,853.52,100
18800.0,853.52,100
18900.0,853.52,100
19000.0,853.52,100
19100.0,854.38,100
19200.0,854.38,100
19300.0,854.38,100
19400.0,854.38,100
19500.0,854.38,100
19600.0,854.38,100
19700.0,854.38,100
19800.0,854.38,100
19900.0,854.38,100
20000.0,854.38,100
20100.0,856.1,100
20200.0,856.28,100
20300.0,856.28,100
20400.0,856.42,100
20500.0,856.42,100
20600.0,856.42,100
20700.0,856.42,100
20800.0,856.42,100
20900.0,856.42,100
21000.0,856.42,100
21100.0,856.42,100
21200.0,856.82,100
21300.0,856.94,100
21400.0,856.94,100
21500.0,857.88,100
21600.0,857.88,100
21700.0,857.88,100
21800.0,857.88,100
21900.0,857.88,100
22000.0,858.24,100
22100.0,858.52,100
22200.0,858.52,100
22300.0,859.12,100
22400.0,859.12,100
22500.0,859.12,100
22600.0,861.46,100
22700.0,861.6,100
22800.0,861.6,100
22900.0,862.38,100
23000.0,862.38,100
23100.0,862.38,100
23200.0,862.38,100
23300.0,862.38,100
23400.0,862.38,100
23500.0,862.38,100
23600.0,862.38,100
23700.0,862.38,100
23800.0,862.38,100
23900.0,862.38,100
24000.0,862.38,100
24100.0,862.38,100
24200.0,862.54,100
24300.0,862.64,100
24400.0,862.64,100
24500.0,862.64,100
24600.0,862.64,100
24700.0,862.84,100
24800.0,862.84,100
24900.0,863.06,100
25000.0,863.06,100
25100.0,863.06,100
25200.0,863.06,100
25300.0,864.04,100
25400.0,864.04,100
25500.0,864.04,100
25600.0,864.04,100
25700.0,864.04,100
25800.0,865.08,100
25900.0,865.08,100
26000.0,865.88,100
26100.0,865.88,100
26200.0,865.88,100
26300.0,865.88,100
26400.0,867.0,100
26500.0,867.0,100
26600.0,867.0,100
26700.0,868.74,100
26800.0,868.78,100
26900.0,868.78,100
27000.0,868.78,100
27100.0,868.78,100
27200.0,868.78,100
27300.0,868.78,100
27400.0,868.78,100
27500.0,868.78,100
27600.0,868.78,100
27700.0,868.78,100
27800.0,869.2,100
27900.0,869.72,100
28000.0,870.0,100
28100.0,870.0,100
28200.0,870.0,100
28300.0,870.0,100
28400.0,870.8,100
28500.0,870.94,100
28600.0,870.94,100
28700.0,870.94,100
28800.0,870.94,100
28900.0,871.06,100
29000.0,871.06,100
29100.0,871.06,100
29200.0,871.06,100
29300.0,872.02,100
29400.0,873.28,100
29500.0,873.28,100
29600.0,873.28,100
29700.0,874.04,100
29800.0,874.04,100
29900.0,874.04,100
30000.0,874.04,100
30100.0,874.04,100
30200.0,874.04,100
30300.0,874.04,100
30400.0,874.04,100
30500.0,874.04,100
30600.0,874.3,100
30700.0,874.3,100
30800.0,874.42,100
30900.0,874.56,100
31000.0,874.56,100
31100.0,875.22,100
31200.0,875.22,100
31300.0,875.22,100
31400.0,875.22,100
31500.0,875.22,100
31600.0,875.22,100
31700.0,875.22,100
31800.0,875.82,100
31900.0,875.82,100
32000.0,877.22,100
32100.0,879.5,100
32200.0,880.08,100
32300.0,880.18,100
32400.0,880.18,100
32500.0,881.06,100
32600.0,881.06,100
32700.0,881.56,100
32800.0,881.56,100
32900.0,882.36,100
33000.0,882.36,100
33100.0,882.36,100
33200.0,882.78,100
33300.0,882.78,100
33400.0,882.78,100
33500.0,882.78,100
33600.0,882.78,100
33700.0,882.78,100
33800.0,882.78,100
33900.0,882.78,100
34000.0,882.78,100
34100.0,882.78,100
34200.0,882.78,100
34300.0,883.22,100
34400.0,885.22,100
34500.0,885.22,100
34600.0,885.5,100
34700.0,885.5,100
34800.0,885.5,100
34900.0,885.5,100
35000.0,885.5,100
35100.0,885.5,100
35200.0,885.98,100
35300.0,886.76,100
35400.0,886.76,100
35500.0,886.76,100
35600.0,886.76,100
35700.0,886.76,100
35800.0,887.86,100
35900.0,888.2,100
36000.0,888.2,100
36100.0,888.2,100
36200.0,889.32,100
36300.0,889.54,100
36400.0,889.54,100
36500.0,889.54,100
36600.0,889.54,100
36700.0,889.8,100
36800.0,889.8,100
36900.0,889.8,100
37000.0,890.18,100
37100.0,890.18,100
37200.0,890.18,100
37300.0,890.18,100
37400.0,890.18,100
37500.0,890.18,100
37600.0,890.18,100
37700.0,890.18,100
37800.0,890.18,100
37900.0,890.28,100
38000.0,890.28,100
38100.0,890.28,100
38200.0,890.28,100
38300.0,890.28,100
38400.0,890.28,100
38500.0,890.28,100
38600.0,890.28,100
38700.0,890.44,100
38800.0,890.44,100
38900.0,890.44,100
39000.0,890.44,100
39100.0,890.44,100
39200.0,890.44,100
39300.0,890.44,100
39400.0,890.44,100
39500.0,890.44,100
39600.0,890.44,100
39700.0,890.44,100
39800.0,890.44,100
39900.0,890.44,100
40000.0,890.44,100
40100.0,890.44,100
40200.0,890.44,100
40300.0,890.44,100
40400.0,890.44,100
40500.0,890.48,100
40600.0,890.48,100
40700.0,890.48,100
40800.0,891.24,100
40900.0,891.24,100
41000.0,892.32,100
41100.0,892.32,100
41200.0,892.32,100
41300.0,892.32,100
41400.0,892.32,100
41500.0,892.32,100
41600.0,892.32,100
41700.0,892.32,100
41800.0,892.62,100
41900.0,892.62,100
42000.0,892.62,100
42100.0,892.76,100
42200.0,892.76,100
42300.0,892.76,100
42400.0,892.76,100
42500.0,892.76,100
42600.0,892.76,100
42700.0,895.1,100
42800.0,895.36,100
42900.0,897.06,100
43000.0,897.06,100
43100.0,897.06,100
43200.0,898.76,100
43300.0,898.76,100
43400.0,898.76,100
43500.0,898.76,100
43600.0,898.76,100
43700.0,898.76,100
43800.0,899.62,100
43900.0,900.06,100
44000.0,900.54,100
44100.0,900.54,100
44200.0,901.5,100
44300.0,901.5,100
44400.0,901.5,100
44500.0,901.5,100
44600.0,901.5,100
44700.0,901.5,100
44800.0,901.78,100
44900.0,903.76,100
45000.0,903.76,100
45100.0,903.76,100
45200.0,903.76,100
45300.0,903.76,100
45400.0,903.76,100
45500.0,903.76,100
45600.0,903.76,100
45700.0,903.76,100
45800.0,903.76,100
45900.0,904.98,100
46000.0,904.98,100
46100.0,904.98,100
46200.0,904.98,100
46300.0,904.98,100
46400.0,904.98,100
46500.0,904.98,100
46600.0,904.98,100
46700.0,904.98,100
46800.0,905.24,100
46900.0,905.24,100
47000.0,906.1,100
47100.0,906.1,100
47200.0,906.1,100
47300.0,906.1,100
47400.0,906.1,100
47500.0,906.1,100
47600.0,906.94,100
47700.0,906.94,100
47800.0,906.94,100
47900.0,906.94,100
48000.0,907.02,100
48100.0,907.02,100
48200.0,907.02,100
48300.0,907.02,100
48400.0,907.02,100
48500.0,907.36,100
48600.0,907.36,100
48700.0,907.36,100
48800.0,907.36,100
48900.0,907.36,100
49000.0,907.36,100
49100.0,907.36,100
49200.0,909.16,100
49300.0,909.28,100
49400.0,909.28,100
49500.0,909.28,100
49600.0,909.28,100
49700.0,909.28,100
49800.0,909.28,100
49900.0,909.28,100
50000.0,909.28,100
