runtime,mean,count
100.0,606.8,100
200.0,773.94,100
300.0,846.6,100
400.0,884.18,100
500.0,905.02,100
600.0,922.68,100
700.0,938.32,100
800.0,961.08,100
900.0,977.26,100
1000.0,1001.76,100
1100.0,1023.18,100
1200.0,1036.08,100
1300.0,1048.2,100
1400.0,1059.0,100
1500.0,1071.64,100
1600.0,1080.88,100
1700.0,1091.1,100
1800.0,1101.44,100
1900.0,1109.7,100
2000.0,1118.0,100
2100.0,1127.0,100
2200.0,1134.58,100
2300.0,1144.44,100
2400.0,1152.76,100
2500.0,1160.3,100
2600.0,1168.44,100
2700.0,1176.72,100
2800.0,1185.58,100
2900.0,1195.16,100
3000.0,1202.36,100
3100.0,1210.02,100
3200.0,1218.82,100
3300.0,1225.76,100
3400.0,1235.26,100
3500.0,1242.64,100
3600.0,1249.82,100
3700.0,1256.7,100
3800.0,1264.06,100
3900.0,1271.56,100
4000.0,1279.64,100
4100.0,1283.78,100
4200.0,1290.02,100
4300.0,1294.78,100
4400.0,1300.8,100
4500.0,1305.86,100
4600.0,1311.48,100
4700.0,1316.6,100
4800.0,1322.78,100
4900.0,1327.88,100
5000.0,1332.9,100
5100.0,1340.08,100
5200.0,1344.62,100
5300.0,1349.32,100
5400.0,1354.38,100
5500.0,1358.4,100
5600.0,1364.3,100
5700.0,1368.88,100
5800.0,1374.28,100
5900.0,1379.64,100
6000.0,1383.66,100
6100.0,1388.06,100
6200.0,1391.94,100
6300.0,1395.82,100
6400.0,1399.42,100
6500.0,1404.12,100
6600.0,1408.38,100
6700.0,1412.02,100
6800.0,1415.86,100
6900.0,1419.86,100
7000.0,1423.36,100
7100.0,1426.8,100
7200.0,1430.68,100
7300.0,1433.92,100
7400.0,1437.44,100
7500.0,1441.96,100
7600.0,1445.18,100
7700.0,1448.4,100
7800.0,1451.86,100
7900.0,1454.74,100
8000.0,1458.34,100
8100.0,1461.34,100
8200.0,1464.7,100
8300.0,1467.0,100
8400.0,1470.62,100
8500.0,1473.34,100
8600.0,1476.66,100
8700.0,1479.7,100
8800.0,1482.16,100
8900.0,1484.8,100
9000.0,1487.94,100
9100.0,1490.42,100
9200.0,1493.38,100
9300.0,1495.46,100
9400.0,1497.94,100
9500.0,1500.24,100
9600.0,1502.32,100
9700.0,1504.1,100
9800.0,1506.7,100
9900.0,1508.8,100
10000.0,1510.78,100
10100.0,1512.98,100
10200.0,1515.18,100
10300.0,1516.78,100
10400.0,1519.38,100
10500.0,1521.58,100
10600.0,1523.32,100
10700.0,1525.86,100
10800.0,1527.9,100
10900.0,1529.2,100
11000.0,1531.0,100
11100.0,1532.76,100
11200.0,1534.2,100
11300.0,1535.58,100
11400.0,1536.9,100
11500.0,1538.64,100
11600.0,1540.38,100
11700.0,1542.0,100
11800.0,1543.94,100
11900.0,1545.78,100
12000.0,1547.34,100
12100.0,1548.32,100
12200.0,1549.78,100
12300.0,1550.98,100
12400.0,1552.46,100
12500.0,1554.08,100
12600.0,1555.36,100
12700.0,1556.38,100
12800.0,1557.88,100
12900.0,1559.16,100
13000.0,1560.7,100
13100.0,1562.2,100
13200.0,1563.16,100
13300.0,1564.58,100
13400.0,1565.64,100
13500.0,1566.66,100
13600.0,1568.04,100
13700.0,1569.42,100
13800.0,1570.24,100
13900.0,1571.0,100
14000.0,1571.66,100
14100.0,1572.8,100
14200.0,1573.76,100
