instance,restart,runtime,score,filename
0,0,50000.0,2844.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_0_r_0.txt
0,1,50000.0,2736.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_0_r_1.txt
0,2,50000.0,2686.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_0_r_2.txt
0,3,50000.0,2810.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_0_r_3.txt
0,4,50000.0,2646.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_0_r_4.txt
0,5,50000.0,2672.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_0_r_5.txt
0,6,50000.0,2722.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_0_r_6.txt
0,7,50000.0,2568.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_0_r_7.txt
0,8,50000.0,2554.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_0_r_8.txt
0,9,50000.0,2814.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_0_r_9.txt
1,0,50000.0,2600.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_1_r_0.txt
1,1,50000.0,2526.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_1_r_1.txt
1,2,50000.0,2458.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_1_r_2.txt
1,3,50000.0,2670.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_1_r_3.txt
1,4,50000.0,2654.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_1_r_4.txt
1,5,50000.0,2448.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_1_r_5.txt
1,6,50000.0,2396.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_1_r_6.txt
1,7,50000.0,2514.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_1_r_7.txt
1,8,50000.0,2634.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_1_r_8.txt
1,9,50000.0,2670.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_1_r_9.txt
2,0,50000.0,2684.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_2_r_0.txt
2,1,50000.0,2638.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_2_r_1.txt
2,2,50000.0,2662.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_2_r_2.txt
2,3,50000.0,2570.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_2_r_3.txt
2,4,50000.0,2700.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_2_r_4.txt
2,5,50000.0,2742.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_2_r_5.txt
2,6,50000.0,2468.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_2_r_6.txt
2,7,50000.0,2532.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_2_r_7.txt
2,8,50000.0,2680.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_2_r_8.txt
2,9,50000.0,2536.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_2_r_9.txt
3,0,50000.0,2747.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_3_r_0.txt
3,1,50000.0,2651.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_3_r_1.txt
3,2,50000.0,2777.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_3_r_2.txt
3,3,50000.0,2697.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_3_r_3.txt
3,4,50000.0,2641.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_3_r_4.txt
3,5,50000.0,2447.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_3_r_5.txt
3,6,50000.0,2597.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_3_r_6.txt
3,7,50000.0,2579.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_3_r_7.txt
3,8,50000.0,2757.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_3_r_8.txt
3,9,50000.0,2511.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_3_r_9.txt
4,0,50000.0,2206.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_4_r_0.txt
4,1,50000.0,2334.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_4_r_1.txt
4,2,50000.0,2450.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_4_r_2.txt
4,3,50000.0,2318.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_4_r_3.txt
4,4,50000.0,2676.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_4_r_4.txt
4,5,50000.0,2348.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_4_r_5.txt
4,6,50000.0,2394.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_4_r_6.txt
4,7,50000.0,2460.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_4_r_7.txt
4,8,50000.0,2474.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_4_r_8.txt
4,9,50000.0,2696.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_4_r_9.txt
5,0,50000.0,2224.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_5_r_0.txt
5,1,50000.0,2542.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_5_r_1.txt
5,2,50000.0,2632.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_5_r_2.txt
5,3,50000.0,2544.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_5_r_3.txt
5,4,50000.0,2440.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_5_r_4.txt
5,5,50000.0,2424.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_5_r_5.txt
5,6,50000.0,2654.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_5_r_6.txt
5,7,50000.0,2524.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_5_r_7.txt
5,8,50000.0,2300.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_5_r_8.txt
5,9,50000.0,2428.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_5_r_9.txt
6,0,50000.0,2657.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_6_r_0.txt
6,1,50000.0,2761.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_6_r_1.txt
6,2,50000.0,2469.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_6_r_2.txt
6,3,50000.0,2621.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_6_r_3.txt
6,4,50000.0,2435.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_6_r_4.txt
6,5,50000.0,2463.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_6_r_5.txt
6,6,50000.0,2195.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_6_r_6.txt
6,7,50000.0,2597.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_6_r_7.txt
6,8,50000.0,2535.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_6_r_8.txt
6,9,50000.0,2399.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_6_r_9.txt
7,0,50000.0,2571.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_7_r_0.txt
7,1,50000.0,2903.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_7_r_1.txt
7,2,50000.0,2897.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_7_r_2.txt
7,3,50000.0,2513.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_7_r_3.txt
7,4,50000.0,2669.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_7_r_4.txt
7,5,50000.0,2739.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_7_r_5.txt
7,6,50000.0,2829.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_7_r_6.txt
7,7,50000.0,2539.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_7_r_7.txt
7,8,50000.0,2631.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_7_r_8.txt
7,9,50000.0,2809.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_7_r_9.txt
8,0,50000.0,2638.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_8_r_0.txt
8,1,50000.0,2372.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_8_r_1.txt
8,2,50000.0,2772.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_8_r_2.txt
8,3,50000.0,2434.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_8_r_3.txt
8,4,50000.0,2672.0,results_nevergrad_SmoothAdaptiveDiscreteOnePlusOne_QUBO_256_4_budget_50000_2026-03-11_12-53-20_i_8_r_4.txt
