runtime,mean,count
100.0,268.16,100
200.0,306.58,100
300.0,321.04,100
400.0,332.72,100
500.0,342.82,100
600.0,354.08,100
700.0,365.38,100
800.0,373.8,100
900.0,382.68,100
1000.0,392.38,100
1100.0,401.2,100
1200.0,410.52,100
1300.0,417.96,100
1400.0,425.26,100
1500.0,432.9,100
1600.0,440.06,100
1700.0,445.16,100
1800.0,450.54,100
1900.0,457.02,100
2000.0,461.88,100
2100.0,467.28,100
2200.0,471.02,100
2300.0,476.02,100
2400.0,480.32,100
2500.0,484.72,100
2600.0,489.4,100
2700.0,493.98,100
2800.0,498.14,100
2900.0,501.36,100
3000.0,505.26,100
3100.0,508.54,100
3200.0,511.6,100
3300.0,514.52,100
3400.0,517.5,100
3500.0,520.58,100
3600.0,522.42,100
3700.0,524.3,100
3800.0,527.32,100
3900.0,529.98,100
4000.0,531.64,100
4100.0,532.9,100
4200.0,535.38,100
4300.0,536.84,100
4400.0,538.64,100
4500.0,540.54,100
4600.0,542.14,100
4700.0,543.24,100
4800.0,544.56,100
4900.0,545.92,100
5000.0,547.34,100
5100.0,548.8,100
5200.0,550.4,100
5300.0,551.58,100
5400.0,552.64,100
5500.0,553.32,100
5600.0,554.18,100
5700.0,555.0,100
5800.0,555.96,100
5900.0,556.8,100
6000.0,557.6,100
6100.0,558.26,100
6200.0,559.02,100
6300.0,559.56,100
6400.0,560.34,100
6500.0,560.7,100
6600.0,561.02,100
6700.0,561.44,100
6800.0,561.92,100
6900.0,562.38,100
7000.0,563.12,100
7100.0,563.96,100
7200.0,564.3,100
7300.0,564.96,100
7400.0,565.28,100
7500.0,565.56,100
7600.0,566.16,100
7700.0,566.48,100
7800.0,566.9,100
7900.0,567.32,100
8000.0,567.66,100
8100.0,568.14,100
8200.0,568.48,100
8300.0,568.7,100
8400.0,569.04,100
8500.0,569.2,100
8600.0,569.54,100
8700.0,569.86,100
8800.0,570.14,100
8900.0,570.38,100
9000.0,570.64,100
9100.0,570.86,100
9200.0,570.98,100
9300.0,571.22,100
9400.0,571.42,100
9500.0,571.66,100
9600.0,571.8,100
9700.0,572.1,100
9800.0,572.32,100
9900.0,572.52,100
10000.0,572.58,100
10100.0,572.78,100
10200.0,572.92,100
10300.0,573.02,100
10400.0,573.2,100
10500.0,573.26,100
10600.0,573.42,100
10700.0,573.56,100
10800.0,573.66,100
10900.0,574.02,100
11000.0,574.16,100
11100.0,574.28,100
11200.0,574.42,100
11300.0,574.5,100
11400.0,574.66,100
11500.0,574.72,100
11600.0,574.82,100
11700.0,574.82,100
11800.0,574.84,100
11900.0,574.86,100
12000.0,574.9,100
12100.0,574.94,100
12200.0,575.02,100
12300.0,575.1,100
12400.0,575.24,100
12500.0,575.24,100
12600.0,575.26,100
12700.0,575.26,100
12800.0,575.34,100
12900.0,575.36,100
13000.0,575.38,100
13100.0,575.46,100
13200.0,575.48,100
13300.0,575.48,100
13400.0,575.56,100
13500.0,575.68,100
13600.0,575.72,100
13700.0,575.72,100
13800.0,575.72,100
13900.0,575.76,100
14000.0,575.78,100
14100.0,575.82,100
14200.0,575.82,100
14300.0,575.94,100
14400.0,576.02,100
14500.0,576.12,100
14600.0,576.24,100
14700.0,576.3,100
14800.0,576.3,100
14900.0,576.3,100
15000.0,576.38,100
15100.0,576.42,100
15200.0,576.42,100
15300.0,576.56,100
15400.0,576.56,100
15500.0,576.62,100
15600.0,576.62,100
15700.0,576.64,100
15800.0,576.64,100
15900.0,576.64,100
16000.0,576.66,100
16100.0,576.66,100
16200.0,576.72,100
16300.0,576.74,100
16400.0,576.76,100
16500.0,576.76,100
16600.0,576.78,100
16700.0,576.8,100
16800.0,576.84,100
16900.0,576.84,100
17000.0,576.84,100
17100.0,576.88,100
17200.0,576.9,100
17300.0,576.9,100
17400.0,576.9,100
17500.0,576.9,100
17600.0,576.9,100
17700.0,576.92,100
17800.0,576.92,100
17900.0,576.94,100
18000.0,576.94,100
18100.0,576.94,100
18200.0,576.94,100
18300.0,576.94,100
18400.0,576.94,100
18500.0,576.94,100
18600.0,576.94,100
18700.0,576.94,100
18800.0,576.94,100
18900.0,576.94,100
19000.0,576.94,100
19100.0,576.94,100
19200.0,576.94,100
19300.0,576.96,100
19400.0,576.96,100
19500.0,576.98,100
19600.0,576.98,100
19700.0,577.04,100
19800.0,577.08,100
19900.0,577.14,100
20000.0,577.14,100
20100.0,577.16,100
20200.0,577.16,100
20300.0,577.16,100
20400.0,577.16,100
20500.0,577.16,100
20600.0,577.22,100
20700.0,577.24,100
20800.0,577.24,100
20900.0,577.24,100
21000.0,577.24,100
21100.0,577.24,100
21200.0,577.28,100
21300.0,577.28,100
21400.0,577.28,100
21500.0,577.28,100
21600.0,577.28,100
21700.0,577.28,100
21800.0,577.28,100
21900.0,577.28,100
22000.0,577.28,100
22100.0,577.34,100
22200.0,577.34,100
22300.0,577.34,100
22400.0,577.34,100
22500.0,577.34,100
22600.0,577.34,100
22700.0,577.34,100
22800.0,577.34,100
22900.0,577.4,100
23000.0,577.5,100
23100.0,577.54,100
23200.0,577.58,100
23300.0,577.58,100
23400.0,577.58,100
23500.0,577.7,100
23600.0,577.7,100
23700.0,577.7,100
23800.0,577.7,100
23900.0,577.74,100
24000.0,577.74,100
24100.0,577.74,100
24200.0,577.74,100
24300.0,577.74,100
24400.0,577.74,100
24500.0,577.74,100
24600.0,577.74,100
24700.0,577.74,100
24800.0,577.74,100
24900.0,577.78,100
25000.0,577.84,100
25100.0,577.88,100
25200.0,577.88,100
25300.0,577.88,100
25400.0,577.88,100
25500.0,577.88,100
25600.0,577.88,100
25700.0,577.92,100
25800.0,577.92,100
25900.0,577.94,100
26000.0,577.96,100
26100.0,577.96,100
26200.0,577.96,100
26300.0,577.96,100
26400.0,577.96,100
26500.0,577.98,100
26600.0,577.98,100
26700.0,577.98,100
26800.0,577.98,100
26900.0,577.98,100
27000.0,577.98,100
27100.0,577.98,100
27200.0,577.98,100
27300.0,577.98,100
27400.0,577.98,100
27500.0,577.98,100
27600.0,577.98,100
27700.0,578.04,100
27800.0,578.04,100
27900.0,578.06,100
28000.0,578.06,100
28100.0,578.06,100
28200.0,578.06,100
28300.0,578.06,100
28400.0,578.06,100
28500.0,578.1,100
28600.0,578.12,100
28700.0,578.12,100
28800.0,578.12,100
28900.0,578.12,100
29000.0,578.14,100
29100.0,578.14,100
29200.0,578.14,100
29300.0,578.14,100
29400.0,578.14,100
29500.0,578.16,100
29600.0,578.16,100
29700.0,578.26,100
29800.0,578.36,100
29900.0,578.4,100
30000.0,578.5,100
30100.0,578.5,100
30200.0,578.54,100
30300.0,578.54,100
30400.0,578.56,100
30500.0,578.6,100
30600.0,578.62,100
30700.0,578.62,100
30800.0,578.62,100
30900.0,578.64,100
31000.0,578.64,100
31100.0,578.64,100
31200.0,578.64,100
31300.0,578.64,100
31400.0,578.64,100
31500.0,578.64,100
31600.0,578.68,100
31700.0,578.68,100
31800.0,578.74,100
31900.0,578.76,100
32000.0,578.78,100
32100.0,578.78,100
32200.0,578.8,100
32300.0,578.8,100
32400.0,578.82,100
32500.0,578.82,100
32600.0,578.84,100
32700.0,578.84,100
32800.0,578.84,100
32900.0,578.86,100
33000.0,578.86,100
33100.0,578.86,100
33200.0,578.86,100
33300.0,578.88,100
33400.0,578.92,100
33500.0,578.92,100
33600.0,578.92,100
33700.0,579.0,100
33800.0,579.0,100
33900.0,579.0,100
34000.0,579.0,100
34100.0,579.08,100
34200.0,579.08,100
34300.0,579.08,100
34400.0,579.08,100
34500.0,579.08,100
34600.0,579.08,100
34700.0,579.08,100
34800.0,579.1,100
34900.0,579.1,100
35000.0,579.1,100
35100.0,579.1,100
35200.0,579.1,100
35300.0,579.1,100
35400.0,579.1,100
35500.0,579.14,100
35600.0,579.14,100
35700.0,579.14,100
35800.0,579.16,100
35900.0,579.22,100
36000.0,579.22,100
36100.0,579.24,100
36200.0,579.24,100
36300.0,579.26,100
36400.0,579.26,100
36500.0,579.26,100
36600.0,579.28,100
36700.0,579.28,100
36800.0,579.3,100
36900.0,579.3,100
37000.0,579.3,100
37100.0,579.32,100
37200.0,579.32,100
37300.0,579.32,100
37400.0,579.34,100
37500.0,579.34,100
37600.0,579.34,100
37700.0,579.34,100
37800.0,579.36,100
37900.0,579.36,100
38000.0,579.36,100
38100.0,579.42,100
38200.0,579.44,100
38300.0,579.46,100
38400.0,579.46,100
38500.0,579.52,100
38600.0,579.52,100
38700.0,579.52,100
38800.0,579.54,100
38900.0,579.54,100
39000.0,579.54,100
39100.0,579.54,100
39200.0,579.6,100
39300.0,579.66,100
39400.0,579.66,100
39500.0,579.66,100
39600.0,579.68,100
39700.0,579.72,100
39800.0,579.72,100
39900.0,579.72,100
40000.0,579.72,100
40100.0,579.72,100
40200.0,579.74,100
40300.0,579.76,100
40400.0,579.78,100
40500.0,579.78,100
40600.0,579.78,100
40700.0,579.78,100
40800.0,579.78,100
40900.0,579.78,100
41000.0,579.78,100
41100.0,579.8,100
41200.0,579.82,100
41300.0,579.84,100
41400.0,579.84,100
41500.0,579.84,100
41600.0,579.84,100
41700.0,579.84,100
41800.0,579.86,100
41900.0,579.86,100
42000.0,579.86,100
42100.0,579.86,100
42200.0,579.86,100
42300.0,579.86,100
42400.0,579.86,100
42500.0,579.9,100
42600.0,579.9,100
42700.0,579.9,100
42800.0,579.9,100
42900.0,579.9,100
43000.0,579.9,100
43100.0,579.9,100
43200.0,579.9,100
43300.0,579.9,100
43400.0,579.9,100
43500.0,579.9,100
43600.0,579.9,100
43700.0,579.92,100
43800.0,579.94,100
43900.0,579.94,100
44000.0,579.94,100
44100.0,580.02,100
44200.0,580.02,100
44300.0,580.02,100
44400.0,580.04,100
44500.0,580.04,100
44600.0,580.04,100
44700.0,580.04,100
44800.0,580.04,100
44900.0,580.04,100
45000.0,580.04,100
45100.0,580.06,100
45200.0,580.06,100
45300.0,580.06,100
45400.0,580.06,100
45500.0,580.06,100
45600.0,580.1,100
45700.0,580.12,100
45800.0,580.12,100
45900.0,580.12,100
46000.0,580.12,100
46100.0,580.16,100
46200.0,580.16,100
46300.0,580.18,100
46400.0,580.18,100
46500.0,580.2,100
46600.0,580.2,100
46700.0,580.2,100
46800.0,580.2,100
46900.0,580.22,100
47000.0,580.24,100
47100.0,580.24,100
47200.0,580.24,100
47300.0,580.26,100
47400.0,580.26,100
47500.0,580.26,100
47600.0,580.26,100
47700.0,580.26,100
47800.0,580.26,100
47900.0,580.26,100
48000.0,580.32,100
48100.0,580.34,100
48200.0,580.34,100
48300.0,580.34,100
48400.0,580.34,100
48500.0,580.34,100
48600.0,580.34,100
48700.0,580.36,100
48800.0,580.36,100
48900.0,580.36,100
49000.0,580.36,100
49100.0,580.36,100
49200.0,580.36,100
49300.0,580.36,100
49400.0,580.36,100
49500.0,580.36,100
49600.0,580.36,100
49700.0,580.36,100
49800.0,580.36,100
49900.0,580.36,100
50000.0,580.36,100
