runtime,mean,count
100.0,430.58,100
200.0,509.68,100
300.0,560.2,100
400.0,596.6,100
500.0,628.3,100
600.0,647.52,100
700.0,667.24,100
800.0,680.46,100
900.0,692.26,100
1000.0,707.08,100
1100.0,731.84,100
1200.0,751.56,100
1300.0,763.96,100
1400.0,775.66,100
1500.0,787.6,100
1600.0,795.28,100
1700.0,802.58,100
1800.0,807.38,100
1900.0,811.34,100
2000.0,827.78,100
2100.0,839.84,100
2200.0,848.62,100
2300.0,853.86,100
2400.0,857.7,100
2500.0,861.84,100
2600.0,866.1,100
2700.0,869.64,100
2800.0,871.18,100
2900.0,880.7,100
3000.0,884.58,100
3100.0,888.2,100
3200.0,891.96,100
3300.0,895.2,100
3400.0,898.5,100
3500.0,900.1,100
3600.0,902.1,100
3700.0,904.06,100
3800.0,907.76,100
3900.0,911.36,100
4000.0,915.26,100
4100.0,916.82,100
4200.0,919.7,100
4300.0,921.12,100
4400.0,923.04,100
4500.0,924.4,100
4600.0,925.88,100
4700.0,929.86,100
4800.0,933.66,100
4900.0,935.88,100
5000.0,937.2,100
5100.0,937.7,100
5200.0,939.5,100
5300.0,940.54,100
5400.0,941.48,100
5500.0,943.06,100
5600.0,946.08,100
5700.0,947.56,100
5800.0,950.66,100
5900.0,952.3,100
6000.0,953.48,100
6100.0,954.4,100
6200.0,955.74,100
6300.0,957.78,100
6400.0,958.76,100
6500.0,960.46,100
6600.0,962.66,100
6700.0,964.08,100
6800.0,964.96,100
6900.0,966.42,100
7000.0,967.26,100
7100.0,968.5,100
7200.0,970.2,100
7300.0,971.46,100
7400.0,974.12,100
7500.0,976.64,100
7600.0,978.72,100
7700.0,979.28,100
7800.0,980.42,100
7900.0,981.38,100
8000.0,982.52,100
8100.0,983.1,100
8200.0,983.52,100
8300.0,984.86,100
8400.0,985.78,100
8500.0,986.9,100
8600.0,987.8,100
8700.0,988.82,100
8800.0,989.14,100
8900.0,989.66,100
9000.0,989.98,100
9100.0,990.3,100
9200.0,991.94,100
9300.0,993.12,100
9400.0,994.0,100
9500.0,994.98,100
9600.0,995.4,100
9700.0,995.64,100
9800.0,995.98,100
9900.0,996.2,100
10000.0,996.32,100
10100.0,998.48,100
10200.0,999.56,100
10300.0,999.92,100
10400.0,1001.06,100
10500.0,1002.04,100
10600.0,1002.52,100
10700.0,1003.1,100
10800.0,1003.82,100
10900.0,1004.2,100
11000.0,1004.88,100
11100.0,1007.08,100
11200.0,1007.76,100
11300.0,1008.14,100
11400.0,1008.62,100
11500.0,1008.94,100
11600.0,1009.62,100
11700.0,1010.08,100
11800.0,1010.94,100
11900.0,1012.2,100
12000.0,1012.52,100
12100.0,1014.14,100
12200.0,1014.54,100
12300.0,1015.06,100
12400.0,1016.26,100
12500.0,1016.86,100
12600.0,1017.24,100
12700.0,1018.04,100
12800.0,1018.86,100
12900.0,1019.04,100
13000.0,1019.32,100
13100.0,1019.66,100
13200.0,1020.62,100
13300.0,1021.1,100
13400.0,1021.5,100
13500.0,1022.16,100
13600.0,1023.22,100
13700.0,1023.62,100
13800.0,1023.78,100
13900.0,1024.1,100
14000.0,1024.88,100
14100.0,1025.24,100
14200.0,1025.76,100
14300.0,1026.52,100
14400.0,1027.28,100
14500.0,1027.66,100
14600.0,1028.24,100
14700.0,1028.62,100
14800.0,1028.98,100
14900.0,1029.32,100
15000.0,1029.82,100
15100.0,1030.0,100
15200.0,1030.66,100
15300.0,1030.8,100
15400.0,1031.16,100
15500.0,1031.2,100
15600.0,1031.78,100
15700.0,1032.0,100
15800.0,1032.14,100
15900.0,1032.3,100
16000.0,1032.3,100
16100.0,1033.34,100
16200.0,1034.54,100
16300.0,1035.0,100
16400.0,1035.26,100
16500.0,1035.62,100
16600.0,1035.98,100
16700.0,1036.32,100
16800.0,1036.56,100
