runtime,mean,count
100.0,233.48,100
200.0,295.04,100
300.0,327.36,100
400.0,350.42,100
500.0,366.28,100
600.0,375.44,100
700.0,381.1,100
800.0,384.4,100
900.0,386.46,100
1000.0,388.08,100
1100.0,389.88,100
1200.0,391.06,100
1300.0,392.04,100
1400.0,393.04,100
1500.0,394.12,100
1600.0,395.12,100
1700.0,395.8,100
1800.0,396.56,100
1900.0,397.12,100
2000.0,398.26,100
2100.0,399.02,100
2200.0,399.64,100
2300.0,400.8,100
2400.0,401.6,100
2500.0,402.42,100
2600.0,403.36,100
2700.0,404.48,100
2800.0,405.36,100
2900.0,405.84,100
3000.0,406.86,100
3100.0,407.36,100
3200.0,407.74,100
3300.0,408.4,100
3400.0,409.04,100
3500.0,409.6,100
3600.0,410.04,100
3700.0,410.46,100
3800.0,410.9,100
3900.0,411.44,100
4000.0,411.84,100
4100.0,412.22,100
4200.0,412.82,100
4300.0,413.2,100
4400.0,413.36,100
4500.0,413.7,100
4600.0,413.88,100
4700.0,414.3,100
4800.0,414.62,100
4900.0,415.16,100
5000.0,415.42,100
5100.0,415.74,100
5200.0,416.12,100
5300.0,416.64,100
5400.0,417.06,100
5500.0,417.46,100
5600.0,417.82,100
5700.0,418.1,100
5800.0,418.48,100
5900.0,418.88,100
6000.0,419.34,100
6100.0,419.58,100
6200.0,419.74,100
6300.0,419.9,100
6400.0,420.0,100
6500.0,420.18,100
6600.0,420.4,100
6700.0,420.62,100
6800.0,420.98,100
6900.0,421.08,100
7000.0,421.28,100
7100.0,421.42,100
7200.0,421.6,100
7300.0,421.78,100
7400.0,421.96,100
7500.0,422.12,100
7600.0,422.18,100
7700.0,422.32,100
7800.0,422.48,100
7900.0,422.64,100
8000.0,423.0,100
8100.0,423.22,100
8200.0,423.34,100
8300.0,423.44,100
8400.0,423.48,100
8500.0,423.56,100
8600.0,423.6,100
8700.0,423.76,100
8800.0,423.84,100
8900.0,424.02,100
9000.0,424.06,100
9100.0,424.12,100
9200.0,424.18,100
9300.0,424.18,100
9400.0,424.24,100
9500.0,424.26,100
9600.0,424.32,100
9700.0,424.36,100
9800.0,424.42,100
9900.0,424.64,100
10000.0,424.72,100
10100.0,424.78,100
10200.0,424.94,100
10300.0,425.02,100
10400.0,425.14,100
10500.0,425.16,100
10600.0,425.22,100
10700.0,425.32,100
10800.0,425.36,100
10900.0,425.42,100
11000.0,425.44,100
11100.0,425.44,100
11200.0,425.5,100
11300.0,425.64,100
11400.0,425.66,100
11500.0,425.7,100
11600.0,425.74,100
11700.0,425.84,100
11800.0,425.88,100
11900.0,425.88,100
12000.0,425.88,100
12100.0,425.9,100
12200.0,425.98,100
12300.0,426.0,100
12400.0,426.08,100
12500.0,426.1,100
12600.0,426.1,100
12700.0,426.16,100
12800.0,426.18,100
12900.0,426.18,100
13000.0,426.18,100
13100.0,426.22,100
13200.0,426.22,100
13300.0,426.24,100
13400.0,426.26,100
13500.0,426.3,100
13600.0,426.3,100
13700.0,426.38,100
13800.0,426.38,100
13900.0,426.42,100
14000.0,426.48,100
14100.0,426.48,100
14200.0,426.5,100
14300.0,426.5,100
14400.0,426.54,100
14500.0,426.6,100
14600.0,426.62,100
14700.0,426.66,100
14800.0,426.66,100
14900.0,426.86,100
15000.0,426.9,100
15100.0,426.94,100
15200.0,426.94,100
15300.0,426.94,100
15400.0,426.94,100
15500.0,426.96,100
15600.0,426.98,100
15700.0,426.98,100
15800.0,427.0,100
15900.0,427.02,100
16000.0,427.06,100
16100.0,427.06,100
16200.0,427.12,100
16300.0,427.18,100
16400.0,427.22,100
16500.0,427.22,100
16600.0,427.22,100
16700.0,427.22,100
16800.0,427.22,100
16900.0,427.24,100
17000.0,427.32,100
17100.0,427.34,100
17200.0,427.36,100
17300.0,427.36,100
17400.0,427.36,100
17500.0,427.4,100
17600.0,427.42,100
17700.0,427.44,100
17800.0,427.46,100
17900.0,427.46,100
18000.0,427.48,100
18100.0,427.5,100
18200.0,427.5,100
18300.0,427.5,100
18400.0,427.52,100
18500.0,427.6,100
18600.0,427.68,100
18700.0,427.74,100
18800.0,427.76,100
18900.0,427.76,100
19000.0,427.76,100
19100.0,427.8,100
19200.0,427.8,100
19300.0,427.84,100
19400.0,427.86,100
19500.0,427.88,100
19600.0,427.88,100
19700.0,427.88,100
19800.0,427.88,100
19900.0,427.94,100
20000.0,427.98,100
20100.0,428.0,100
20200.0,428.0,100
20300.0,428.06,100
20400.0,428.06,100
20500.0,428.06,100
20600.0,428.1,100
20700.0,428.16,100
20800.0,428.2,100
20900.0,428.22,100
21000.0,428.22,100
21100.0,428.24,100
21200.0,428.26,100
21300.0,428.3,100
21400.0,428.36,100
21500.0,428.44,100
21600.0,428.44,100
21700.0,428.46,100
21800.0,428.46,100
21900.0,428.5,100
22000.0,428.54,100
22100.0,428.54,100
22200.0,428.56,100
22300.0,428.6,100
22400.0,428.68,100
22500.0,428.68,100
22600.0,428.7,100
22700.0,428.76,100
22800.0,428.76,100
22900.0,428.78,100
23000.0,428.78,100
23100.0,428.8,100
23200.0,428.8,100
23300.0,428.8,100
23400.0,428.8,100
