runtime,mean,count
100.0,512.36,100
200.0,663.88,100
300.0,774.34,100
400.0,846.06,100
500.0,905.42,100
600.0,956.62,100
700.0,996.72,100
800.0,1028.18,100
900.0,1053.8,100
1000.0,1078.14,100
1100.0,1103.54,100
1200.0,1117.82,100
1300.0,1127.58,100
1400.0,1134.96,100
1500.0,1142.2,100
1600.0,1148.2,100
1700.0,1152.78,100
1800.0,1155.44,100
1900.0,1157.66,100
2000.0,1160.3,100
2100.0,1162.32,100
2200.0,1164.54,100
2300.0,1166.7,100
2400.0,1168.4,100
2500.0,1169.32,100
2600.0,1170.32,100
2700.0,1171.58,100
2800.0,1172.88,100
2900.0,1174.1,100
3000.0,1174.96,100
3100.0,1176.78,100
3200.0,1177.94,100
3300.0,1179.44,100
3400.0,1180.94,100
3500.0,1181.74,100
3600.0,1182.86,100
3700.0,1184.38,100
3800.0,1185.56,100
3900.0,1186.82,100
4000.0,1188.3,100
4100.0,1189.34,100
4200.0,1190.32,100
4300.0,1191.32,100
4400.0,1192.1,100
4500.0,1193.2,100
4600.0,1194.42,100
4700.0,1195.8,100
4800.0,1196.86,100
4900.0,1197.9,100
5000.0,1198.92,100
5100.0,1199.54,100
5200.0,1200.58,100
5300.0,1201.46,100
5400.0,1202.48,100
5500.0,1203.56,100
5600.0,1204.82,100
5700.0,1205.58,100
5800.0,1206.78,100
5900.0,1207.82,100
6000.0,1208.6,100
6100.0,1209.76,100
6200.0,1210.42,100
6300.0,1211.62,100
6400.0,1212.42,100
6500.0,1213.4,100
6600.0,1214.56,100
6700.0,1215.32,100
6800.0,1216.78,100
6900.0,1217.72,100
7000.0,1218.4,100
7100.0,1219.18,100
7200.0,1220.22,100
7300.0,1221.22,100
7400.0,1221.86,100
7500.0,1222.66,100
7600.0,1223.88,100
7700.0,1224.54,100
7800.0,1225.04,100
7900.0,1225.88,100
8000.0,1226.5,100
8100.0,1227.6,100
8200.0,1228.44,100
8300.0,1229.08,100
8400.0,1229.56,100
8500.0,1230.32,100
8600.0,1230.94,100
8700.0,1232.0,100
8800.0,1232.84,100
8900.0,1233.68,100
9000.0,1234.5,100
9100.0,1234.98,100
9200.0,1235.52,100
9300.0,1236.12,100
9400.0,1236.9,100
9500.0,1237.42,100
9600.0,1237.92,100
9700.0,1238.6,100
9800.0,1239.38,100
9900.0,1239.92,100
10000.0,1240.38,100
10100.0,1241.44,100
10200.0,1242.24,100
10300.0,1243.06,100
10400.0,1243.7,100
10500.0,1244.56,100
10600.0,1245.68,100
10700.0,1246.12,100
10800.0,1246.62,100
10900.0,1247.1,100
11000.0,1247.5,100
11100.0,1247.92,100
11200.0,1248.2,100
11300.0,1248.8,100
11400.0,1249.28,100
11500.0,1249.84,100
11600.0,1250.22,100
11700.0,1250.5,100
11800.0,1250.94,100
11900.0,1251.26,100
12000.0,1251.76,100
12100.0,1252.18,100
12200.0,1252.78,100
12300.0,1253.14,100
12400.0,1253.84,100
12500.0,1254.22,100
12600.0,1254.62,100
12700.0,1255.22,100
12800.0,1255.66,100
12900.0,1256.04,100
13000.0,1256.38,100
13100.0,1256.8,100
13200.0,1257.16,100
13300.0,1257.78,100
13400.0,1258.26,100
13500.0,1258.52,100
13600.0,1258.86,100
13700.0,1259.26,100
13800.0,1259.5,100
13900.0,1259.82,100
14000.0,1260.12,100
14100.0,1260.26,100
14200.0,1260.52,100
14300.0,1260.88,100
14400.0,1261.04,100
14500.0,1261.3,100
14600.0,1261.84,100
14700.0,1262.14,100
14800.0,1262.68,100
14900.0,1262.96,100
15000.0,1263.32,100
15100.0,1263.72,100
15200.0,1263.98,100
15300.0,1264.12,100
15400.0,1264.66,100
15500.0,1265.06,100
15600.0,1265.24,100
15700.0,1265.44,100
15800.0,1265.66,100
15900.0,1266.16,100
16000.0,1266.44,100
16100.0,1266.7,100
16200.0,1266.88,100
16300.0,1267.08,100
16400.0,1267.26,100
16500.0,1267.54,100
16600.0,1267.68,100
16700.0,1267.84,100
16800.0,1268.12,100
16900.0,1268.44,100
17000.0,1268.86,100
17100.0,1269.1,100
17200.0,1269.3,100
17300.0,1269.52,100
17400.0,1269.82,100
17500.0,1269.9,100
17600.0,1270.06,100
17700.0,1270.24,100
17800.0,1270.64,100
17900.0,1270.88,100
18000.0,1271.16,100
18100.0,1271.38,100
18200.0,1271.56,100
18300.0,1271.82,100
18400.0,1272.04,100
18500.0,1272.3,100
18600.0,1272.54,100
18700.0,1272.7,100
18800.0,1272.8,100
18900.0,1273.0,100
19000.0,1273.16,100
19100.0,1273.22,100
19200.0,1273.4,100
19300.0,1273.54,100
19400.0,1273.74,100
19500.0,1273.84,100
19600.0,1274.04,100
19700.0,1274.2,100
19800.0,1274.36,100
19900.0,1274.46,100
20000.0,1274.74,100
20100.0,1274.98,100
20200.0,1275.22,100
20300.0,1275.4,100
20400.0,1275.56,100
20500.0,1275.7,100
20600.0,1275.9,100
20700.0,1276.08,100
20800.0,1276.2,100
20900.0,1276.4,100
21000.0,1276.72,100
21100.0,1276.82,100
21200.0,1276.94,100
21300.0,1277.04,100
21400.0,1277.12,100
21500.0,1277.26,100
21600.0,1277.4,100
21700.0,1277.44,100
21800.0,1277.62,100
21900.0,1277.68,100
22000.0,1277.7,100
22100.0,1277.96,100
22200.0,1278.02,100
22300.0,1278.18,100
22400.0,1278.34,100
22500.0,1278.46,100
22600.0,1278.5,100
22700.0,1278.56,100
22800.0,1278.68,100
22900.0,1278.8,100
23000.0,1278.86,100
23100.0,1278.92,100
23200.0,1279.04,100
23300.0,1279.08,100
23400.0,1279.1,100
23500.0,1279.18,100
23600.0,1279.32,100
23700.0,1279.38,100
23800.0,1279.46,100
23900.0,1279.5,100
24000.0,1279.58,100
24100.0,1279.62,100
24200.0,1279.72,100
24300.0,1279.78,100
24400.0,1279.92,100
24500.0,1280.0,100
24600.0,1280.04,100
24700.0,1280.08,100
24800.0,1280.2,100
24900.0,1280.3,100
25000.0,1280.38,100
25100.0,1280.46,100
25200.0,1280.66,100
25300.0,1280.7,100
25400.0,1280.78,100
25500.0,1280.88,100
25600.0,1280.96,100
25700.0,1281.12,100
25800.0,1281.2,100
25900.0,1281.24,100
26000.0,1281.26,100
26100.0,1281.3,100
26200.0,1281.44,100
26300.0,1281.5,100
26400.0,1281.58,100
26500.0,1281.6,100
26600.0,1281.7,100
26700.0,1281.78,100
26800.0,1281.88,100
26900.0,1281.98,100
27000.0,1282.02,100
27100.0,1282.18,100
27200.0,1282.3,100
27300.0,1282.34,100
27400.0,1282.44,100
27500.0,1282.56,100
27600.0,1282.66,100
27700.0,1282.78,100
27800.0,1283.06,100
27900.0,1283.06,100
28000.0,1283.1,100
28100.0,1283.18,100
28200.0,1283.38,100
28300.0,1283.44,100
28400.0,1283.5,100
28500.0,1283.5,100
28600.0,1283.54,100
28700.0,1283.58,100
28800.0,1283.6,100
28900.0,1283.66,100
29000.0,1283.68,100
29100.0,1283.68,100
29200.0,1283.78,100
29300.0,1283.82,100
29400.0,1283.82,100
29500.0,1283.9,100
29600.0,1283.94,100
29700.0,1283.96,100
29800.0,1284.0,100
29900.0,1284.06,100
30000.0,1284.1,100
30100.0,1284.14,100
30200.0,1284.22,100
30300.0,1284.34,100
30400.0,1284.42,100
30500.0,1284.56,100
30600.0,1284.7,100
30700.0,1284.72,100
30800.0,1284.76,100
30900.0,1284.82,100
31000.0,1284.9,100
31100.0,1284.98,100
31200.0,1285.04,100
31300.0,1285.18,100
31400.0,1285.36,100
31500.0,1285.46,100
31600.0,1285.46,100
