instance,restart,runtime,score,filename
0,0,50000.0,0.7164384374999999,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_0_r_0.txt
0,1,50000.0,0.7098921093749999,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_0_r_1.txt
0,2,50000.0,0.7119784999999998,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_0_r_2.txt
0,3,50000.0,0.6983055625,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_0_r_3.txt
0,4,50000.0,0.7172322968749999,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_0_r_4.txt
0,5,50000.0,0.7026505234374998,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_0_r_5.txt
0,6,50000.0,0.7040571171874996,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_0_r_6.txt
0,7,50000.0,0.6977485234375,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_0_r_7.txt
0,8,50000.0,0.6911230703124999,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_0_r_8.txt
0,9,50000.0,0.7216008437499997,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_0_r_9.txt
1,0,50000.0,0.7311745937500004,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_1_r_0.txt
1,1,50000.0,0.7041568515625002,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_1_r_1.txt
1,2,50000.0,0.7133319765625005,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_1_r_2.txt
1,3,50000.0,0.7302443984375003,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_1_r_3.txt
1,4,50000.0,0.7070040390625002,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_1_r_4.txt
1,5,50000.0,0.7196627187500004,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_1_r_5.txt
1,6,50000.0,0.7049468828125003,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_1_r_6.txt
1,7,50000.0,0.7341256406250003,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_1_r_7.txt
1,8,50000.0,0.7304948125000004,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_1_r_8.txt
1,9,50000.0,0.7136925000000003,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_1_r_9.txt
2,0,50000.0,0.7205316562500002,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_2_r_0.txt
2,1,50000.0,0.7169450468750002,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_2_r_1.txt
2,2,50000.0,0.6976929843750003,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_2_r_2.txt
2,3,50000.0,0.7197941562500004,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_2_r_3.txt
2,4,50000.0,0.7107998359375002,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_2_r_4.txt
2,5,50000.0,0.7185617890625005,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_2_r_5.txt
2,6,50000.0,0.7250320156250003,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_2_r_6.txt
2,7,50000.0,0.7283667343750004,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_2_r_7.txt
2,8,50000.0,0.7146691718750001,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_2_r_8.txt
2,9,50000.0,0.7106857343749999,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_2_r_9.txt
3,0,50000.0,0.7219894765625002,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_3_r_0.txt
3,1,50000.0,0.7232392890625,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_3_r_1.txt
3,2,50000.0,0.7206571640624999,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_3_r_2.txt
3,3,50000.0,0.7345530625,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_3_r_3.txt
3,4,50000.0,0.7260092812499997,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_3_r_4.txt
3,5,50000.0,0.729898296875,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_3_r_5.txt
3,6,50000.0,0.7380309531249999,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_3_r_6.txt
3,7,50000.0,0.7288965625000001,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_3_r_7.txt
3,8,50000.0,0.7200742187499998,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_3_r_8.txt
3,9,50000.0,0.7320956171874999,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_3_r_9.txt
4,0,50000.0,0.7245200312500002,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_4_r_0.txt
4,1,50000.0,0.7285567421874999,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_4_r_1.txt
4,2,50000.0,0.7164827812499998,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_4_r_2.txt
4,3,50000.0,0.7414214296875,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_NK_128_2_budget_50000_2026-03-09_23-08-19_i_4_r_3.txt
