instance,restart,runtime,score,filename
0,0,50000.0,2794.0,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_QUBO_256_5_budget_50000_2026-03-11_21-50-50_i_0_r_0.txt
0,1,50000.0,2636.0,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_QUBO_256_5_budget_50000_2026-03-11_21-50-50_i_0_r_1.txt
0,2,50000.0,2632.0,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_QUBO_256_5_budget_50000_2026-03-11_21-50-50_i_0_r_2.txt
0,3,50000.0,2510.0,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_QUBO_256_5_budget_50000_2026-03-11_21-50-50_i_0_r_3.txt
0,4,50000.0,2294.0,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_QUBO_256_5_budget_50000_2026-03-11_21-50-50_i_0_r_4.txt
0,5,50000.0,2510.0,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_QUBO_256_5_budget_50000_2026-03-11_21-50-50_i_0_r_5.txt
0,6,50000.0,2636.0,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_QUBO_256_5_budget_50000_2026-03-11_21-50-50_i_0_r_6.txt
0,7,50000.0,2250.0,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_QUBO_256_5_budget_50000_2026-03-11_21-50-50_i_0_r_7.txt
0,8,50000.0,2778.0,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_QUBO_256_5_budget_50000_2026-03-11_21-50-50_i_0_r_8.txt
0,9,50000.0,2462.0,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_QUBO_256_5_budget_50000_2026-03-11_21-50-50_i_0_r_9.txt
1,0,50000.0,2378.0,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_QUBO_256_5_budget_50000_2026-03-11_21-50-50_i_1_r_0.txt
1,1,50000.0,2198.0,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_QUBO_256_5_budget_50000_2026-03-11_21-50-50_i_1_r_1.txt
1,2,50000.0,2636.0,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_QUBO_256_5_budget_50000_2026-03-11_21-50-50_i_1_r_2.txt
1,3,50000.0,2438.0,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_QUBO_256_5_budget_50000_2026-03-11_21-50-50_i_1_r_3.txt
1,4,50000.0,2262.0,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_QUBO_256_5_budget_50000_2026-03-11_21-50-50_i_1_r_4.txt
1,5,50000.0,2546.0,results_nevergrad_UltraSmoothElitistRecombiningDiscreteLognormalOnePlusOne_QUBO_256_5_budget_50000_2026-03-11_21-50-50_i_1_r_5.txt
