instance,restart,runtime,score,filename
0,0,50000.0,399.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-10_i_0_r_0.txt
0,1,50000.0,415.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-10_i_0_r_1.txt
0,2,50000.0,405.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-10_i_0_r_2.txt
0,3,50000.0,403.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-09_i_0_r_3.txt
0,4,50000.0,393.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-10_i_0_r_4.txt
0,5,50000.0,411.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-09_i_0_r_5.txt
0,6,50000.0,387.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-09_i_0_r_6.txt
0,7,50000.0,377.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-09_i_0_r_7.txt
0,8,50000.0,401.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-10_i_0_r_8.txt
0,9,50000.0,355.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-10_i_0_r_9.txt
1,0,50000.0,463.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-10_i_1_r_0.txt
1,1,50000.0,349.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-10_i_1_r_1.txt
1,2,50000.0,457.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-10_i_1_r_2.txt
1,3,50000.0,453.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-09_i_1_r_3.txt
1,4,50000.0,441.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-10_i_1_r_4.txt
1,5,50000.0,345.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-09_i_1_r_5.txt
1,6,50000.0,431.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-09_i_1_r_6.txt
1,7,50000.0,427.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-09_i_1_r_7.txt
1,8,50000.0,467.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-10_i_1_r_8.txt
1,9,50000.0,445.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-10_i_1_r_9.txt
2,0,50000.0,441.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-10_i_2_r_0.txt
2,1,50000.0,453.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-10_i_2_r_1.txt
2,2,50000.0,401.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-10_i_2_r_2.txt
2,3,50000.0,411.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-09_i_2_r_3.txt
2,4,50000.0,451.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-10_i_2_r_4.txt
2,5,50000.0,425.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-09_i_2_r_5.txt
2,6,50000.0,363.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-09_i_2_r_6.txt
2,7,50000.0,445.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-09_i_2_r_7.txt
2,8,50000.0,421.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-10_i_2_r_8.txt
2,9,50000.0,441.0,results_nevergrad_XLognormalDiscreteOnePlusOne_QUBO_128_2_budget_50000_2026-03-10_06-44-10_i_2_r_9.txt
