runtime,mean,count
100.0,418.62,100
200.0,551.98,100
300.0,634.52,100
400.0,689.48,100
500.0,722.62,100
600.0,740.26,100
700.0,749.2,100
800.0,754.74,100
900.0,759.2,100
1000.0,762.38,100
1100.0,765.68,100
1200.0,768.6,100
1300.0,770.72,100
1400.0,773.56,100
1500.0,775.86,100
1600.0,778.88,100
1700.0,780.78,100
1800.0,784.34,100
1900.0,787.0,100
2000.0,789.3,100
2100.0,791.32,100
2200.0,794.02,100
2300.0,795.88,100
2400.0,798.48,100
2500.0,800.56,100
2600.0,802.7,100
2700.0,805.22,100
2800.0,807.78,100
2900.0,810.44,100
3000.0,812.58,100
3100.0,814.12,100
3200.0,816.54,100
3300.0,817.98,100
3400.0,819.5,100
3500.0,821.28,100
3600.0,823.16,100
3700.0,825.24,100
3800.0,827.42,100
3900.0,828.82,100
4000.0,829.94,100
4100.0,831.32,100
4200.0,832.72,100
4300.0,833.74,100
4400.0,835.08,100
4500.0,836.06,100
4600.0,837.16,100
4700.0,838.44,100
4800.0,839.78,100
4900.0,841.42,100
5000.0,842.56,100
5100.0,843.22,100
5200.0,843.98,100
5300.0,845.16,100
5400.0,845.88,100
5500.0,846.48,100
5600.0,847.26,100
5700.0,848.04,100
5800.0,848.88,100
5900.0,849.42,100
6000.0,849.94,100
6100.0,850.56,100
6200.0,851.38,100
6300.0,852.06,100
6400.0,853.12,100
6500.0,853.9,100
6600.0,854.68,100
6700.0,855.7,100
6800.0,856.46,100
6900.0,857.44,100
7000.0,857.98,100
7100.0,858.78,100
7200.0,859.14,100
7300.0,859.54,100
7400.0,859.8,100
7500.0,860.6,100
7600.0,861.4,100
7700.0,861.86,100
7800.0,862.2,100
7900.0,862.66,100
8000.0,863.18,100
8100.0,863.4,100
8200.0,863.96,100
8300.0,864.6,100
8400.0,864.8,100
8500.0,865.16,100
8600.0,865.46,100
8700.0,865.94,100
8800.0,866.2,100
8900.0,866.38,100
9000.0,866.74,100
9100.0,867.32,100
9200.0,867.56,100
9300.0,868.24,100
9400.0,869.06,100
9500.0,869.32,100
9600.0,869.7,100
9700.0,869.86,100
9800.0,870.06,100
9900.0,870.22,100
10000.0,870.46,100
10100.0,870.74,100
10200.0,871.04,100
10300.0,871.46,100
10400.0,871.9,100
10500.0,872.06,100
10600.0,872.74,100
10700.0,872.94,100
10800.0,873.18,100
10900.0,873.46,100
11000.0,873.52,100
11100.0,873.72,100
11200.0,874.1,100
11300.0,874.72,100
11400.0,875.1,100
11500.0,875.24,100
11600.0,875.36,100
11700.0,875.58,100
11800.0,875.72,100
11900.0,875.78,100
12000.0,875.88,100
12100.0,876.04,100
12200.0,876.2,100
12300.0,876.3,100
12400.0,876.4,100
12500.0,876.44,100
12600.0,876.52,100
12700.0,876.7,100
12800.0,876.82,100
12900.0,876.96,100
13000.0,877.06,100
13100.0,877.3,100
13200.0,877.42,100
13300.0,877.6,100
13400.0,877.72,100
13500.0,878.06,100
13600.0,878.18,100
13700.0,878.38,100
13800.0,878.44,100
13900.0,878.44,100
14000.0,878.64,100
14100.0,878.68,100
14200.0,878.9,100
14300.0,878.98,100
14400.0,879.0,100
14500.0,879.38,100
14600.0,879.38,100
14700.0,879.4,100
14800.0,879.62,100
14900.0,879.8,100
15000.0,879.96,100
15100.0,880.12,100
15200.0,880.32,100
15300.0,880.34,100
15400.0,880.66,100
15500.0,880.68,100
15600.0,880.96,100
15700.0,881.02,100
15800.0,881.02,100
15900.0,881.08,100
16000.0,881.2,100
16100.0,881.32,100
16200.0,881.42,100
16300.0,881.5,100
16400.0,881.64,100
16500.0,881.82,100
16600.0,882.02,100
16700.0,882.06,100
16800.0,882.18,100
16900.0,882.24,100
17000.0,882.44,100
17100.0,882.6,100
17200.0,883.02,100
17300.0,883.04,100
17400.0,883.12,100
17500.0,883.12,100
17600.0,883.32,100
17700.0,883.68,100
17800.0,883.8,100
17900.0,883.92,100
18000.0,884.22,100
18100.0,884.3,100
18200.0,884.38,100
18300.0,884.52,100
18400.0,884.54,100
18500.0,884.72,100
18600.0,884.84,100
18700.0,884.98,100
18800.0,885.18,100
18900.0,885.26,100
19000.0,885.34,100
19100.0,885.56,100
19200.0,885.66,100
19300.0,885.84,100
19400.0,885.96,100
19500.0,886.04,100
19600.0,886.12,100
19700.0,886.18,100
19800.0,886.42,100
19900.0,886.48,100
20000.0,886.54,100
20100.0,886.72,100
20200.0,886.98,100
20300.0,887.02,100
20400.0,887.1,100
20500.0,887.18,100
20600.0,887.3,100
20700.0,887.46,100
20800.0,887.58,100
20900.0,887.64,100
21000.0,887.7,100
