instance,restart,runtime,score,filename
0,0,50000.0,2752.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_0_r_0.txt
0,1,50000.0,2834.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_0_r_1.txt
0,2,50000.0,2966.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_0_r_2.txt
0,3,50000.0,2910.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_0_r_3.txt
0,4,50000.0,2802.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_0_r_4.txt
0,5,50000.0,2682.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_0_r_5.txt
0,6,50000.0,2870.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_0_r_6.txt
0,7,50000.0,2856.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_0_r_7.txt
0,8,50000.0,2882.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_0_r_8.txt
0,9,50000.0,2850.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_0_r_9.txt
1,0,50000.0,2446.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_1_r_0.txt
1,1,50000.0,2594.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_1_r_1.txt
1,2,50000.0,2558.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_1_r_2.txt
1,3,50000.0,2776.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_1_r_3.txt
1,4,50000.0,2786.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_1_r_4.txt
1,5,50000.0,2636.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_1_r_5.txt
1,6,50000.0,2418.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_1_r_6.txt
1,7,50000.0,2606.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_1_r_7.txt
1,8,50000.0,2728.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_1_r_8.txt
1,9,50000.0,2742.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_1_r_9.txt
2,0,50000.0,2654.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_2_r_0.txt
2,1,50000.0,2592.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_2_r_1.txt
2,2,50000.0,2710.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_2_r_2.txt
2,3,50000.0,2712.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_2_r_3.txt
2,4,50000.0,2542.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_2_r_4.txt
2,5,50000.0,2704.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_2_r_5.txt
2,6,50000.0,2474.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_2_r_6.txt
2,7,50000.0,2678.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_2_r_7.txt
2,8,50000.0,2638.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_2_r_8.txt
2,9,50000.0,2788.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_2_r_9.txt
3,0,50000.0,2817.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_3_r_0.txt
3,1,50000.0,2701.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_3_r_1.txt
3,2,50000.0,2685.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_3_r_2.txt
3,3,50000.0,2719.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_3_r_3.txt
3,4,50000.0,2817.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_3_r_4.txt
3,5,50000.0,2629.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_3_r_5.txt
3,6,50000.0,2605.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_3_r_6.txt
3,7,50000.0,2941.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_3_r_7.txt
3,8,50000.0,2717.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_3_r_8.txt
3,9,50000.0,2671.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_3_r_9.txt
4,0,50000.0,2490.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_4_r_0.txt
4,1,50000.0,2490.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_4_r_1.txt
4,2,50000.0,2464.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_4_r_2.txt
4,3,50000.0,2634.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_4_r_3.txt
4,4,50000.0,2628.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_4_r_4.txt
4,5,50000.0,2644.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_4_r_5.txt
4,6,50000.0,2546.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_4_r_6.txt
4,7,50000.0,2646.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_4_r_7.txt
4,8,50000.0,2580.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_4_r_8.txt
4,9,50000.0,2586.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_4_r_9.txt
5,0,50000.0,2724.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_5_r_0.txt
5,1,50000.0,2754.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_5_r_1.txt
5,2,50000.0,2566.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_5_r_2.txt
5,3,50000.0,2738.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_5_r_3.txt
5,4,50000.0,2488.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_5_r_4.txt
5,5,50000.0,2694.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_5_r_5.txt
5,6,50000.0,2520.0,results_nevergrad_discretememetic_QUBO_256_5_budget_50000_2026-03-11_16-23-54_i_5_r_6.txt
