target_name,budget,score_svgd,nevergrad_algo,score_nevergrad,gap,time_svgd_s,time_nevergrad_s
Taraxacum officinale,100000,-0.399545,DiscreteDE,-0.301707,-0.097838,1227.9,7398.9
Simple Hairpin,100000,-0.004596,DiscreteDE,-0.003031,-0.001566,31.0,106.7
Kudzu,100000,-0.415353,DiscreteDE,-0.109578,-0.305776,81.4,585.1
Chicken feet,100000,-0.455397,DiscreteDE,-0.33559,-0.119807,42.4,222.7
Mat - Martian 2,100000,-0.301814,DiscreteDE,-0.068388,-0.233426,614.7,3750.8
Fractal 2,100000,-0.49536,DiscreteDE,-0.218251,-0.27711,671.2,6532.2
Still Life (Sunflower In A Vase),100000,-0.30157,DiscreteDE,-0.301449,-0.00012,2389.2,13869.1
Quasispecies 2-2 Loop Challenge,100000,-0.326654,DiscreteDE,-0.036486,-0.290167,78.7,628.9
Simple Single Bond,100000,-0.104984,DiscreteDE,-0.024448,-0.080536,35.0,181.5
Pokeball,100000,-0.521052,DiscreteDE,-0.205229,-0.315823,203.4,2127.4
Anemone,100000,-0.123466,DiscreteDE,-0.101167,-0.022299,766.4,4150.2
